CAR_OCHO,NCC_OCHO,NCA_OCHO,NCP_OCHO,NAC_OCHO,NAA_OCHO,NAP_OCHO,EPA_OCHO,ESTADO OCHO,PROMEDIO_NUEVE,NOTA_L_TRES,VECES_L_TRES,CREDITOS_L_TRES,NOTA_EI_TRES,VECES_EI_TRES,CREDITOS_EI_TRES,NOTA_EI_CUATRO,VECES_EI_CUATRO,CREDITOS_EI_CUATRO,NOTA_FGEP,VECES_FGEP,CREDITOS_FGEP,NOTA_FOTOD,VECES_FOTOD,CREDITOS_FOTOD,NOTA_AVAM,VECES_AVAM,CREDITOS_AVAM
0,14,14,0,6,6,0,1,1,37.8,31,1,2,39,1,3,36,1,3,42,1,2,35,1,2,37,1,2
0,14,14,0,6,6,0,1,1,38.6,42,1,2,37,1,3,40,1,3,32,1,2,37,1,2,31,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,39.9,42,1,2,39,1,3,36,1,3,34,1,2,39,1,2,39,1,2
0,14,14,0,6,6,0,1,1,39.5,45,1,2,38,1,3,38,1,3,35,1,2,37,1,2,38,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
1,14,14,0,6,6,0,1,1,37.61538462,42,2,2,34,1,3,31,1,3,44,1,2,31,1,2,45,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,40,45,1,2,37,1,3,36,1,3,33,1,2,42,1,2,38,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,40.9,37,1,2,37,1,3,37,1,3,38,1,2,33,1,2,42,1,2
