NUMERO;ID;GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;CORTE_INGRESO;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;PROMEDIO_TRES;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;PROMEDIO_CINCO;CAR_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;PROMEDIO_SEIS;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;PROMEDIO_SIETE;CAR_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;PROMEDIO_DIEZ;CAR_DIEZ;NCC_DIEZ;NCA_DIEZ;NCP_DIEZ;NAC_DIEZ;NAA_DIEZ;NAP_DIEZ;EPA_DIEZ;SEMESTRES_CURSADOS;ESTADO_FINAL;NOTA_DIF;VECES_DIF;CREDITOS_DIF;NOTA_FIS_UNO;VECES_FIS_UNO;CREDITOS_FIS_UNO;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEM;VECES_SEM;CREDITOS_SEM;NOTA_PROGB;VECES_PROGB;CREDITOS_PROGB;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INT;VECES_INT;CREDITOS_INT;NOTA_DEM;VECES_DEM;CREDITOS_DEM;NOTA_POO;VECES_POO;CREDITOS_POO;NOTA_FIS_DOS;VECES_FIS_DOS;CREDITOS_FIS_DOS;NOTA_CIR_UNO;VECES_CIR_UNO;CREDITOS_CIR_UNO;NOTA_EYB;VECES_EYB;CREDITOS_EYB;NOTA_HCI;VECES_HCI;CREDITOS_HCI;NOTA_MULTI;VECES_MULTI;CREDITOS_MULTI;NOTA_CIR_DOS;VECES_CIR_DOS;CREDITOS_CIR_DOS;NOTA_FIS_TRES;VECES_FIS_TRES;CREDITOS_FIS_TRES;NOTA_ECUA;VECES_ECUA;CREDITOS_ECUA;NOTA_EL_UNO;VECES_EL_UNO;CREDITOS_EL_UNO;NOTA_TERMO;VECES_TERMO;CREDITOS_TERMO;NOTA_MPI;VECES_MPI;CREDITOS_MPI;NOTA_PYE;VECES_PYE;CREDITOS_PYE;NOTA_ELD;VECES_ELD;CREDITOS_ELD;NOTA_EL_DOS;VECES_EL_DOS;CREDITOS_EL_DOS;NOTA_CIR_TRES;VECES_CIR_TRES;CREDITOS_CIR_TRES;NOTA_GEE;VECES_GEE;CREDITOS_GEE;NOTA_ME;VECES_ME;CREDITOS_ME;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;NOTA_IYM;VECES_IYM;CREDITO_IYM;NOTA_ASD;VECE_ASD;CREDITOS_ASD;NOTA_CEM;VECES_CEM;CREDITOS_CEM;NOTA_INSE;VECES_INSE;CREDITOS_INSE;NOTA_GENH;VECES_GENH;CREDITOS_GENH;NOTA_IO_UNO;VECES_IO_UNO;CREDITOS_IO_UNO;NOTA_INGECO;VECES_INGECO;CREDITOS_INGECO;NOTA_DDP;VECES_DDP;CREDITOS_DDP;NOTA_IO_DOS;VECES_IO_DOS;CREDITOS_IO_DOS;NOTA_CONEM;VECES_CONEM;CREDITOS_CONEM;NOTA_TDE;VECES_TDE;CREDITOS_TDE;NOTAS_RDC;VECES_RDC;CREDITOS_RDC;NOTA_CTRL;VECES_CTRL;CREDITOS_CTRL;NOTA_L_UNO;VECES_L_UNO;CREDITOS_L_UNO;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_ECO;VECES_ECO;CREDITOS_ECO;NOTA_AUTO;VECES_AUTO;CREDITOS_AUTO;NOTA_MAQEL;VECES_MAQEL;CREDITOS_MAQEL;NOTA_ELECPOT;VECES_ELECPOT;CREDITOS_ELECPOT;NOTA_ASP;VECES_ASP;CREDITOS_ASP;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;NOTA_L_DOS;VECES_L_DOS;CREDITOS_L_DOS;NOTA_HIST;VECES_HIST;CREDITOS_HIST;NOTA_CCON;VECES_CCON;CREDITOS_CCON;NOTA_FGEP;VECES_FGEP;CREDITOS_FGEP;NOTA_SUBEL;VECES_SUBEL;CREDITOS_SUBEL;NOTA_AIELEC;VECES_AIELEC;CREDITOS_AIELEC;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;NOTA_L_TRES;VECES_L_TRES;CREDITOS_L_TRES;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;NOTA_EI_CUATRO;VECES_EI_CUATRO;CREDITOS_EI_CUATRO;NOTA_HSE;VECES_HSE;CREDITOS_HSE;NOTA_ADMIN;VECES_ADMIN;CREDITOS_ADMIN;NOTA_PROTELEC;VECES_PROTELEC;CREDITOS_PROTELEC;NOTA_TGUNO;VECES_TGUNO;CREDITOS_TGUNO;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;NOTA_EI_CINCO;VECES_EI_CINCO;CREDITOS_EI_CINCO;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_TGDOS;VECES_TGDOS;CREDITOS_TGDOS;NAR_TOTAL;NAC_TOTAL;NAA_TOTAL;NAP_TOTAL;NSC_TOTAL;PROMEDIO_TOTAL
157;3,17954E+19;0;2;10;1;20;5;441,97;59,02;59,02;50,98;52,16;56,79;56,79;57,84;0;48,98;76,45;10;3;10;3;2009;1;42,35294118;0;17;17;0;7;7;0;1;39,375;0;16;16;0;7;7;0;1;30,71428571;1;21;18;3;7;6;1;1;38,23529412;0;17;17;0;7;7;0;1;40,41176471;0;17;17;0;7;7;0;1;34,73684211;1;19;17;2;8;7;1;1;25,5;2;24;18;6;9;7;2;2;37,53333333;0;15;15;0;7;7;0;1;42,41176471;0;17;17;0;8;8;0;1;42,9;0;10;10;0;4;4;0;1;10;8;40;1;4;40;1;3;45;1;1;45;1;2;50;1;1;35;1;3;50;1;3;35;1;3;50;1;1;50;1;3;35;1;3;35;1;3;35;1;2;45;1;1;35;1;3;35;2;3;35;1;3;40;1;3;35;1;3;35;1;3;40;1;2;35;1;2;40;1;3;35;1;3;35;1;2;35;1;2;45;1;3;46;1;3;40;1;3;42;1;2;35;1;3;35;1;2;50;1;2;35;1;2;38;1;2;41;1;3;41;1;2;35;1;3;44;1;3;36;1;2;35;2;2;44;1;2;30;1;3;31;1;2;33;1;2;31;1;3;30;2;3;41;2;3;31;1;3;47;1;2;43;1;2;45;1;1;42;1;2;31;1;3;34;1;2;34;1;3;46;1;2;47;1;2;42;1;3;41;1;1;47;1;2;36;1;2;50;1;2;44;1;2;43;1;3;44;1;3;40;1;2;4;71;71;4;10;37,41712259
158;3,17954E+19;0;2;20;1;36;6;447,84;66,35;66,35;52,53;52,59;60,56;60,56;53,85;0;49,38;80,55;20;6;10;3;2009;1;41,47058824;0;17;17;0;7;7;0;1;32,89473684;1;19;16;3;8;7;1;1;28,75;2;24;18;6;8;6;2;2;39,41176471;0;17;17;0;7;7;0;1;43;0;17;17;0;7;7;0;1;38,17647059;0;17;17;0;7;7;0;1;32,45;1;20;18;2;8;7;1;1;41;0;15;15;0;7;7;0;1;42,35294118;0;17;17;0;8;8;0;1;43,2;0;10;10;0;4;4;0;1;11;8;40;1;4;40;1;3;40;1;1;40;1;2;50;1;1;35;1;3;50;1;3;30;1;3;50;1;1;50;1;3;35;2;3;35;1;3;40;1;2;45;1;1;40;1;3;35;2;3;35;2;3;50;1;3;30;1;3;40;1;3;45;1;2;40;1;2;40;1;3;35;1;3;35;1;2;35;1;2;45;1;3;50;1;3;40;1;3;43;1;2;35;1;3;40;1;2;50;1;2;45;1;2;38;1;2;43;1;3;37;1;2;33;1;3;41;1;3;38;1;2;36;1;2;46;1;2;43;1;3;31;2;2;36;1;2;31;1;3;30;1;3;37;1;3;40;1;3;46;1;2;45;1;2;45;1;1;45;1;2;36;1;3;35;1;2;45;1;3;46;1;2;40;1;2;40;1;3;33;1;1;43;1;2;38;1;2;49;1;2;39;1;2;47;1;3;41;1;3;45;1;2;4;71;71;4;11;38,27065015
159;3,17954E+19;0;1;20;1;196;18;426,22;58,89;58,89;54,91;49,3;54,66;54,66;48,23;0;51,65;37,51;20;6;10;2;2009;1;22,11538462;2;26;15;11;9;6;3;2;16,09375;4;32;13;19;13;6;7;2;10,33333333;1;9;3;6;3;1;2;2;30;0;2;2;0;1;1;0;1;35;0;3;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;35;3;4;30;1;3;40;1;1;0;0;2;50;1;1;45;2;3;40;1;3;30;2;3;40;1;1;35;1;3;30;2;3;25;4;3;35;1;2;45;2;1;1;1;3;0;0;3;30;2;3;0;0;3;0;0;3;0;0;3;30;1;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;3;35;1;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;7;27;15;12;9;11,35424679
160;3,17954E+19;0;1;8;1;20;5;433,27;52,06;52,06;52,53;56,05;65,04;65,04;62,35;0;44,72;55,84;8;3;10;3;2009;1;34,33333333;0;15;15;0;6;6;0;1;22,5;0;16;3;13;7;1;6;2;25;0;3;0;3;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;5;30;1;4;35;1;3;45;1;1;0;0;2;50;1;1;30;1;3;35;1;3;15;1;3;15;1;1;40;1;3;25;1;3;15;1;3;20;1;2;20;1;1;0;0;3;0;0;3;25;1;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;14;7;7;15;8,183333333
161;3,17954E+19;0;1;8;1;20;5;477,09;54,33;54,33;50,09;59,94;60,56;60,56;76,52;0;46,69;69,48;8;3;10;3;2009;1;27,14285714;1;21;17;4;8;7;1;2;25,68181818;2;22;16;6;9;7;2;2;21,66666667;2;27;18;9;9;6;3;2;23,84;3;25;17;8;10;7;3;2;24,07692308;1;26;17;9;10;7;3;2;26;2;23;17;6;10;7;3;2;20,61764706;3;34;18;16;13;7;6;2;29,7;2;20;15;5;9;7;2;2;37,23529412;0;17;17;0;8;8;0;1;36,125;0;8;8;0;3;3;0;1;15;8;30;2;4;35;1;3;45;1;1;35;1;2;50;1;1;30;1;3;30;1;3;35;1;3;50;1;1;30;1;3;35;2;3;35;2;3;40;1;2;30;1;1;35;1;3;30;1;3;35;2;3;30;3;3;35;1;3;30;1;3;30;1;2;30;1;2;42;2;3;33;1;3;44;1;2;32;2;2;33;2;3;41;1;3;45;1;3;36;1;2;32;4;3;30;1;2;30;1;2;40;1;2;32;1;2;43;1;3;40;1;2;36;1;3;31;1;3;32;2;2;30;3;2;46;1;2;40;1;3;42;1;2;33;3;2;42;2;3;33;1;3;38;4;3;35;1;3;44;1;2;48;2;2;43;1;1;41;1;2;32;2;3;42;1;2;34;1;3;44;1;2;42;1;2;39;1;3;38;1;1;32;1;2;33;1;2;37;1;2;0;0;2;37;1;3;30;1;3;44;1;2;16;89;89;23;15;27,20862062
162;3,17954E+19;0;1;20;1;222;21;394,21;40,15;40,15;60,98;48,36;46,83;46,83;56,94;0;46,43;39,16;7;5;5;2;2009;1;21,96428571;2;28;17;11;10;7;3;2;21;2;25;16;9;10;7;3;2;19,72727273;3;33;15;18;11;5;6;2;26,38461538;0;13;10;3;5;4;1;2;30;0;3;3;0;1;1;0;1;42;0;3;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;34;0;2;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;5;35;3;4;40;1;3;45;1;1;40;1;2;50;1;1;30;1;3;30;2;3;30;3;3;50;1;1;30;1;3;30;2;3;30;1;3;40;1;2;35;1;1;31;2;3;29;4;3;30;2;3;39;1;3;38;1;3;50;1;3;35;1;2;30;1;2;32;1;3;34;1;3;0;0;2;0;0;2;5;1;3;0;0;3;30;1;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;42;1;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;34;1;2;0;0;1;0;0;2;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;7;39;26;13;12;19,50761738
163;3,17954E+19;1;1;8;1;20;5;450,91;61,26;61,26;50,09;57,92;67,62;67,62;55,8;0;58,18;54,57;8;3;10;3;2009;1;30,23809524;1;21;17;4;8;7;1;1;32,36842105;1;19;16;3;8;7;1;1;24,375;2;24;18;6;8;6;2;2;31,63157895;1;19;17;2;8;7;1;1;36,70588235;0;17;17;0;7;7;0;1;38,88235294;0;17;17;0;7;7;0;1;22,83333333;3;30;18;12;11;7;4;2;38,53333333;0;15;15;0;7;7;0;1;40,58823529;0;17;17;0;8;8;0;1;36,66666667;1;12;10;2;5;4;1;1;4;8;35;2;4;30;1;3;40;1;1;45;1;2;50;1;1;30;1;3;45;1;3;35;1;3;50;1;1;50;1;3;30;2;3;35;1;3;35;1;2;45;1;1;30;1;3;35;2;3;30;2;3;35;1;3;35;1;3;30;1;3;40;1;2;35;1;2;40;1;3;30;1;3;37;2;2;31;1;2;35;1;3;41;1;3;42;1;3;40;1;2;31;1;3;39;1;2;32;1;2;30;1;2;34;1;2;42;1;3;38;1;2;38;1;3;33;1;3;39;1;2;50;1;2;46;1;2;31;1;3;42;1;2;31;1;2;42;2;3;35;3;3;41;2;3;41;1;3;44;1;2;42;1;2;47;1;1;32;1;2;32;1;3;38;1;2;43;1;3;36;1;2;45;1;2;38;1;3;39;1;1;41;1;2;39;1;2;43;1;2;47;1;2;42;1;3;40;1;3;50;2;2;9;77;77;10;4;33,28228992
164;3,17954E+19;0;0;5;0;0;0;441,38;61,26;61,26;50,09;52,59;48,95;48,95;51,96;0;51,65;43,48;5;6;10;2;2009;1;18,70967742;2;31;17;14;11;7;4;2;31,31578947;1;19;16;3;8;7;1;1;32,14285714;1;21;18;3;7;6;1;1;29,1;1;20;17;3;8;7;1;2;25,2;1;20;11;9;8;5;3;2;25,07692308;1;13;9;4;6;4;2;2;17;0;4;2;2;2;1;1;2;0;0;2;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;5;35;3;4;35;1;3;45;1;1;30;1;2;50;1;1;30;1;3;30;3;3;35;2;3;45;1;1;45;1;3;30;1;3;35;1;3;40;1;2;35;1;1;37;1;3;35;2;3;30;1;3;33;1;3;40;1;3;50;1;3;30;1;2;30;1;2;37;1;3;35;2;3;32;1;2;37;1;2;36;1;3;0;0;3;50;1;3;36;1;2;20;3;3;43;1;2;33;1;2;35;1;2;31;1;2;42;1;3;30;1;2;0;0;3;0;0;3;33;1;2;6;2;2;34;1;2;0;0;3;0;1;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;1;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;7;51;37;14;12;17,85452471
165;3,17954E+19;1;0;9;0;0;0;467,51;70,42;70,42;54,33;60,21;53,57;53,57;48,64;0;56,96;57,27;2;1;10;3;2009;1;40,88235294;0;17;17;0;7;7;0;1;40;0;16;16;0;7;7;0;1;31,42857143;1;21;18;3;7;6;1;1;37,94117647;0;17;17;0;7;7;0;1;44,58823529;0;17;17;0;7;7;0;1;40,17647059;0;17;17;0;7;7;0;1;29,85714286;1;21;18;3;8;7;1;2;40,06666667;0;15;15;0;7;7;0;1;36,78947368;1;19;17;2;9;8;1;1;39,2;0;10;10;0;4;4;0;1;10;8;35;1;4;40;1;3;40;1;1;45;1;2;50;1;1;35;1;3;50;1;3;35;1;3;50;1;1;50;1;3;30;1;3;40;1;3;40;1;2;45;1;1;35;1;3;35;2;3;30;1;3;45;1;3;35;1;3;40;1;3;45;1;2;40;1;2;45;1;3;35;1;3;35;1;2;30;1;2;35;1;3;50;1;3;45;1;3;44;1;2;35;1;3;45;1;2;50;1;2;45;1;2;39;1;2;50;1;3;43;1;2;39;1;3;36;1;3;40;1;2;32;1;2;42;1;2;43;1;3;33;1;2;30;1;2;33;1;3;33;2;3;30;1;3;39;1;3;45;1;2;44;1;2;48;1;1;43;1;2;36;1;3;32;1;2;47;1;3;42;1;2;42;1;2;30;1;3;44;1;1;44;1;2;37;1;2;47;2;2;45;1;2;38;1;3;34;1;3;43;1;2;3;70;70;3;10;38,09300899
166;3,17954E+19;0;2;18;1;20;5;444,35;54,33;54,33;54,91;57,92;48,95;48,95;51,96;0;47,08;58,45;18;3;10;3;2009;1;22,40909091;2;22;15;7;8;6;2;2;13,82352941;1;17;1;16;7;1;6;2;7,5;1;6;0;6;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;5;32;2;4;30;1;3;45;1;1;0;0;2;50;1;1;30;1;3;30;2;3;15;1;3;40;1;1;15;1;3;15;2;3;15;1;3;0;0;2;15;1;1;0;0;3;0;0;3;15;2;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;4;17;7;10;12;4,373262032
