CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,PROMEDIO_DOS,NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA
0,17,17,0,7,7,0,1,39.375,40,1,4,40,1,3,45,1,1,45,1,2,50,1,1,35,1,3,50,1,3
0,17,17,0,7,7,0,1,32.89473684,40,1,4,40,1,3,40,1,1,40,1,2,50,1,1,35,1,3,50,1,3
2,26,15,11,9,6,3,2,16.09375,35,3,4,30,1,3,40,1,1,0,0,2,50,1,1,45,2,3,40,1,3
0,15,15,0,6,6,0,1,22.5,30,1,4,35,1,3,45,1,1,0,0,2,50,1,1,30,1,3,35,1,3
1,21,17,4,8,7,1,2,25.68181818,30,2,4,35,1,3,45,1,1,35,1,2,50,1,1,30,1,3,30,1,3
2,28,17,11,10,7,3,2,21,35,3,4,40,1,3,45,1,1,40,1,2,50,1,1,30,1,3,30,2,3
1,21,17,4,8,7,1,1,32.36842105,35,2,4,30,1,3,40,1,1,45,1,2,50,1,1,30,1,3,45,1,3
2,31,17,14,11,7,4,2,31.31578947,35,3,4,35,1,3,45,1,1,30,1,2,50,1,1,30,1,3,30,3,3
0,17,17,0,7,7,0,1,40,35,1,4,40,1,3,40,1,1,45,1,2,50,1,1,35,1,3,50,1,3
2,22,15,7,8,6,2,2,13.82352941,32,2,4,30,1,3,45,1,1,0,0,2,50,1,1,30,1,3,30,2,3
0,17,17,0,7,7,0,1,29.31818182,30,1,4,40,1,3,45,1,1,40,1,2,50,1,1,35,1,3,40,1,3
0,17,17,0,7,7,0,1,40.9375,45,1,4,35,1,3,45,1,1,35,1,2,50,1,1,35,1,3,50,1,3
0,15,15,0,6,6,0,1,44.375,40,1,4,50,1,3,45,1,1,0,0,2,50,1,1,45,1,3,50,1,3
2,28,17,11,10,7,3,2,22.88,35,3,4,30,1,3,30,1,1,35,1,2,50,1,1,40,2,3,40,1,3
2,22,15,7,8,6,2,2,10.57692308,30,2,4,35,1,3,45,1,1,0,0,2,50,1,1,30,2,3,35,1,3
0,15,15,0,6,6,0,1,14.42307692,35,1,4,30,1,3,40,1,1,0,0,2,50,1,1,30,1,3,35,1,3
0,15,1,14,6,1,5,2,0,15,1,4,15,1,3,15,1,1,0,0,2,50,1,1,15,1,3,15,1,3
3,34,17,17,12,7,5,2,22.91666667,35,3,4,35,2,3,30,1,1,40,1,2,50,1,1,40,3,3,40,1,3
0,17,17,0,7,7,0,1,40.9375,45,1,4,40,1,3,45,1,1,46,1,2,50,1,1,35,1,3,50,1,3
