NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_DEM,VECES_DEM,CREDITOS_DEM,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_CIR_UNO,VECES_CIR_UNO,CREDITOS_CIR_UNO,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_HCI,VECES_HCI,CREDITOS_HCI,CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,PROMEDIO_TRES
35,1,3,50,1,1,50,1,3,35,1,3,35,1,3,35,1,2,45,1,1,0,16,16,0,7,7,0,1,30.71428571
30,1,3,50,1,1,50,1,3,35,2,3,35,1,3,40,1,2,45,1,1,1,19,16,3,8,7,1,1,28.75
30,2,3,40,1,1,35,1,3,30,2,3,25,4,3,35,1,2,45,2,1,4,32,13,19,13,6,7,2,10.33333333
15,1,3,15,1,1,40,1,3,25,1,3,15,1,3,20,1,2,20,1,1,0,16,3,13,7,1,6,2,25
35,1,3,50,1,1,30,1,3,35,2,3,35,2,3,40,1,2,30,1,1,2,22,16,6,9,7,2,2,21.66666667
30,3,3,50,1,1,30,1,3,30,2,3,30,1,3,40,1,2,35,1,1,2,25,16,9,10,7,3,2,19.72727273
35,1,3,50,1,1,50,1,3,30,2,3,35,1,3,35,1,2,45,1,1,1,19,16,3,8,7,1,1,24.375
35,2,3,45,1,1,45,1,3,30,1,3,35,1,3,40,1,2,35,1,1,1,19,16,3,8,7,1,1,32.14285714
35,1,3,50,1,1,50,1,3,30,1,3,40,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,31.42857143
15,1,3,40,1,1,15,1,3,15,2,3,15,1,3,0,0,2,15,1,1,1,17,1,16,7,1,6,2,7.5
40,2,3,50,1,1,50,1,3,30,1,3,35,2,3,45,1,2,40,1,1,2,22,16,6,9,7,2,2,35
40,1,3,50,1,1,50,1,3,35,1,3,35,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,30
50,1,3,50,1,1,50,1,3,35,1,3,40,1,3,45,1,2,45,1,1,0,16,16,0,7,7,0,1,35
35,1,3,45,1,1,40,1,3,35,3,3,34,2,3,30,1,2,35,1,1,2,25,16,9,10,7,3,2,16.83333333
15,2,3,30,1,1,0,0,3,25,3,3,15,2,3,30,1,2,20,2,1,4,26,3,23,11,2,9,2,8.333333333
20,2,3,40,1,1,15,2,3,30,1,3,15,2,3,40,1,2,15,2,1,4,26,6,20,11,3,8,2,30
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,2,3,50,1,1,35,1,3,30,2,3,30,1,3,40,1,2,45,3,1,3,24,16,8,11,7,4,2,19.8
45,1,3,45,1,1,50,1,3,30,1,3,40,1,3,35,1,2,45,1,1,0,16,16,0,7,7,0,1,28.57142857
30,2,3,40,1,1,45,1,3,30,2,3,30,2,3,40,1,2,35,1,1,3,25,16,9,10,7,3,2,20.375
0,0,3,15,1,1,30,1,3,15,1,3,0,0,3,35,1,2,25,1,1,0,10,5,5,5,2,3,2,15
30,3,3,40,1,1,40,1,3,30,2,3,30,2,3,45,1,2,50,2,1,4,29,16,13,12,7,5,2,24.5
0,0,3,45,1,1,40,1,3,35,1,3,0,0,3,35,1,2,35,1,1,0,10,10,0,5,5,0,1,35
30,1,3,50,1,1,45,1,3,30,1,3,30,1,3,45,1,2,45,1,1,0,16,16,0,7,7,0,1,21
30,1,3,50,1,1,40,1,3,30,1,3,40,2,3,45,1,2,35,1,1,1,19,16,3,8,7,1,1,30
40,2,3,45,1,1,50,1,3,30,1,3,30,2,3,40,1,2,50,1,1,2,22,16,6,9,7,2,2,30.83333333
30,2,3,50,1,1,45,1,3,30,2,3,45,2,3,45,1,2,45,1,1,3,25,16,9,10,7,3,2,18
40,1,3,50,1,1,45,1,3,30,1,3,30,1,3,45,1,2,40,1,1,0,16,16,0,7,7,0,1,36.66666667
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,1,3,50,1,1,40,1,3,30,3,3,30,2,3,35,1,2,35,1,1,2,25,16,9,10,7,3,2,19.36363636
0,0,3,15,1,1,0,0,3,0,0,3,0,0,3,15,1,2,15,1,1,0,4,0,4,3,0,3,2,0
40,1,3,45,1,1,50,1,3,35,1,3,35,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,33.57142857
0,0,3,45,1,1,35,1,3,20,2,3,0,0,3,40,1,2,25,2,1,2,14,6,8,7,3,4,2,10
45,2,3,45,1,1,45,1,3,35,1,3,35,1,3,40,1,2,30,1,1,1,19,16,3,8,7,1,1,39.16666667
25,2,3,40,1,1,35,1,3,25,3,3,15,1,3,45,1,2,40,1,1,2,25,7,18,10,4,6,2,8.333333333
30,2,3,50,1,1,45,1,3,30,2,3,35,1,3,45,1,2,45,1,1,2,22,16,6,9,7,2,2,17.08333333
30,1,3,50,1,1,45,1,3,30,1,3,40,2,3,40,1,2,45,1,1,1,19,16,3,8,7,1,1,29.28571429
30,1,3,39,1,1,40,1,3,35,3,3,35,1,3,35,1,2,35,1,1,1,22,16,6,9,7,2,2,17.54545455
