NOTA_MPI,VECES_MPI,CREDITOS_MPI,NOTA_PYE,VECES_PYE,CREDITOS_PYE,NOTA_ELD,VECES_ELD,CREDITOS_ELD,NOTA_EL_DOS,VECES_EL_DOS,CREDITOS_EL_DOS,NOTA_CIR_TRES,VECES_CIR_TRES,CREDITOS_CIR_TRES,NOTA_GEE,VECES_GEE,CREDITOS_GEE,NOTA_ME,VECES_ME,CREDITOS_ME,CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO
40,1,2,35,1,2,40,1,3,35,1,3,35,1,2,35,1,2,45,1,3,0,17,17,0,7,7,0,1,40.41176471
45,1,2,40,1,2,40,1,3,35,1,3,35,1,2,35,1,2,45,1,3,0,17,17,0,7,7,0,1,43
30,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,2,0,1,1,0,1,35
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
30,1,2,30,1,2,42,2,3,33,1,3,44,1,2,32,2,2,33,2,3,3,25,17,8,10,7,3,2,24.07692308
35,1,2,30,1,2,32,1,3,34,1,3,0,0,2,0,0,2,5,1,3,0,13,10,3,5,4,1,2,30
40,1,2,35,1,2,40,1,3,30,1,3,37,2,2,31,1,2,35,1,3,1,19,17,2,8,7,1,1,36.70588235
30,1,2,30,1,2,37,1,3,35,2,3,32,1,2,37,1,2,36,1,3,1,20,17,3,8,7,1,2,25.2
45,1,2,40,1,2,45,1,3,35,1,3,35,1,2,30,1,2,35,1,3,0,17,17,0,7,7,0,1,44.58823529
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
40,1,2,30,1,2,40,1,3,30,1,3,35,1,2,30,1,2,35,1,3,0,17,17,0,7,7,0,1,40.82352941
40,1,2,35,1,2,40,1,3,30,1,3,35,1,2,35,1,2,41,1,3,0,17,17,0,7,7,0,1,45.47058824
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
33,1,2,31,3,2,40,1,3,36,1,3,35,1,2,30,1,2,39,2,3,2,24,17,7,10,7,3,2,29.4
15,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,0,2,1,0,1,2,0
15,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,0,2,1,0,1,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
30,1,2,33,2,2,38,1,3,30,1,3,48,1,2,39,2,2,33,1,3,2,21,17,4,9,7,2,2,30.75
40,1,2,45,1,2,45,1,3,35,1,3,35,1,2,40,1,2,45,1,3,0,17,17,0,7,7,0,1,42.88235294
35,1,2,35,1,2,27,1,3,0,0,3,0,0,2,0,0,2,35,1,3,0,10,7,3,4,3,1,1,19.33333333
