CAR_CINCO,NCC_CINCO,NCA_CINCO,NCP_CINCO,NAC_CINCO,NAA_CINCO,NAP_CINCO,EPA_CINCO,PROMEDIO_SEIS,NOTA_EE_UNO,VECES_EE_UNO,CREDITOS_EE_UNO,NOTA_IYM,VECES_IYM,CREDITO_IYM,NOTA_ASD,VECE_ASD,CREDITOS_ASD,NOTA_CEM,VECES_CEM,CREDITOS_CEM,NOTA_INSE,VECES_INSE,CREDITOS_INSE,NOTA_GENH,VECES_GENH,CREDITOS_GENH,NOTA_IO_UNO,VECES_IO_UNO,CREDITOS_IO_UNO
0,17,17,0,7,7,0,1,34.73684211,46,1,3,40,1,3,42,1,2,35,1,3,35,1,2,50,1,2,35,1,2
0,17,17,0,7,7,0,1,38.17647059,50,1,3,40,1,3,43,1,2,35,1,3,40,1,2,50,1,2,45,1,2
0,3,3,0,1,1,0,1,0,35,1,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,26,17,9,10,7,3,2,26,41,1,3,45,1,3,36,1,2,32,4,3,30,1,2,30,1,2,40,1,2
0,3,3,0,1,1,0,1,42,0,0,3,30,1,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,38.88235294,41,1,3,42,1,3,40,1,2,31,1,3,39,1,2,32,1,2,30,1,2
1,20,11,9,8,5,3,2,25.07692308,0,0,3,50,1,3,36,1,2,20,3,3,43,1,2,33,1,2,35,1,2
0,17,17,0,7,7,0,1,40.17647059,50,1,3,45,1,3,44,1,2,35,1,3,45,1,2,50,1,2,45,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,40.29411765,45,1,3,43,1,3,45,1,2,30,1,3,44,1,2,50,1,2,31,1,2
0,17,17,0,7,7,0,1,39.35294118,49,1,3,45,1,3,43,1,2,45,1,3,40,1,2,50,1,2,45,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,20,17,3,8,7,1,2,26.65217391,45,1,3,32,1,3,34,1,2,33,2,3,33,1,2,30,1,2,32,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,20,17,3,8,7,1,1,35.63157895,40,1,3,42,1,3,31,1,2,33,2,3,32,1,2,33,1,2,39,1,2
0,17,17,0,7,7,0,1,40.05882353,41,1,3,45,1,3,43,1,2,35,1,3,45,1,2,50,1,2,45,1,2
1,9,3,6,3,1,2,2,27,42,1,3,0,0,3,0,0,2,16,2,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,23,17,6,9,7,2,2,29.57142857,36,1,3,44,1,3,35,1,2,30,3,3,30,1,2,34,1,2,35,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,23,17,6,9,7,2,2,22.80769231,40,1,3,40,1,3,38,1,2,35,3,3,33,1,2,30,1,2,30,1,2
0,17,17,0,7,7,0,1,41.64705882,40,1,3,33,1,3,39,1,2,30,1,3,32,1,2,40,1,2,33,1,2
2,31,14,17,12,6,6,2,28.33333333,42,1,3,40,1,3,43,2,2,27,5,3,35,1,2,32,1,2,33,1,2
1,26,17,9,10,7,3,2,28.76190476,42,1,3,47,1,3,34,1,2,32,4,3,40,1,2,32,1,2,39,1,2
0,17,17,0,7,7,0,1,45,40,1,3,45,1,3,46,1,2,45,1,3,40,1,2,50,1,2,50,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,20,17,3,8,7,1,1,35.35294118,37,1,3,41,1,3,42,1,2,30,2,3,35,1,2,35,1,2,37,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,39.58823529,43,1,3,40,1,3,43,1,2,45,1,3,35,1,2,50,1,2,45,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,43.76470588,50,1,3,40,1,3,43,1,2,35,1,3,40,1,2,42,1,2,48,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,2,0,2,1,0,1,2,10,0,0,3,0,0,3,20,1,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,42.35294118,42,1,3,44,1,3,42,1,2,30,1,3,43,1,2,31,1,2,45,1,2
2,25,17,8,10,7,3,2,30,43,1,3,36,1,3,40,2,2,34,3,3,30,1,2,34,1,2,34,1,2
1,26,17,9,10,7,3,2,32.68421053,44,1,3,45,1,3,32,1,2,30,4,3,34,1,2,32,1,2,36,1,2
1,18,9,9,7,4,3,2,30,0,0,3,32,1,3,0,0,2,29,3,3,33,1,2,33,1,2,37,1,2
1,23,17,6,9,7,2,2,36.35294118,40,1,3,39,1,3,40,1,2,30,3,3,37,1,2,32,1,2,38,1,2
1,20,17,3,8,7,1,1,42.23529412,50,1,3,47,1,3,44,1,2,33,2,3,41,1,2,34,1,2,35,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
1,23,17,6,9,7,2,2,27.47826087,40,1,3,42,1,3,36,1,2,30,3,3,38,1,2,36,1,2,42,1,2
0,17,17,0,7,7,0,1,33.15,40,1,3,34,1,3,34,1,2,32,1,3,40,1,2,35,1,2,39,1,2
0,0,0,0,0,0,0,0,27,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,43.64705882,50,1,3,48,1,3,35,1,2,40,1,3,44,1,2,50,1,2,37,1,2
0,17,17,0,7,7,0,1,40.17647059,40,1,3,46,1,3,40,1,2,30,1,3,43,1,2,50,1,2,32,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
0,17,17,0,7,7,0,1,41.11764706,50,1,3,45,1,3,43,1,2,30,1,3,45,1,2,50,1,2,42,1,2
1,20,17,3,8,7,1,1,33.15,50,1,3,50,1,3,39,1,2,32,2,3,36,1,2,50,1,2,41,1,2
0,17,17,0,7,7,0,1,34.25,50,1,3,43,1,3,45,1,2,30,1,3,39,1,2,30,1,2,35,1,2
0,17,17,0,7,7,0,1,38.76470588,39,1,3,41,1,3,43,1,2,31,1,3,38,1,2,31,1,2,41,1,2
0,17,17,0,7,7,0,1,39.05882353,37,1,3,40,1,3,45,1,2,35,1,3,40,1,2,50,1,2,35,1,2
1,20,17,3,8,7,1,1,34.55,44,1,3,43,1,3,39,1,2,30,2,3,43,1,2,41,1,2,43,1,2
2,25,17,8,10,7,3,2,31.14285714,43,1,3,38,1,3,37,2,2,42,3,3,34,1,2,34,1,2,34,1,2
1,20,17,3,8,7,1,1,39.58823529,40,1,3,45,1,3,43,1,2,30,2,3,37,1,2,31,1,2,33,1,2
0,14,14,0,6,6,0,1,38.94117647,0,0,3,40,1,3,45,1,2,35,1,3,40,1,2,50,1,2,45,1,2
2,17,11,6,6,4,2,2,31,40,1,3,41,2,3,0,0,2,41,2,3,0,0,2,30,1,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2
