NOTA_EI_DOS,VECES_EI_DOS,CREDITOS_EI_DOS,NOTA_L_DOS,VECES_L_DOS,CREDITOS_L_DOS,NOTA_HIST,VECES_HIST,CREDITOS_HIST,NOTA_CCON,VECES_CCON,CREDITOS_CCON,NOTA_FGEP,VECES_FGEP,CREDITOS_FGEP,NOTA_SUBEL,VECES_SUBEL,CREDITOS_SUBEL,NOTA_AIELEC,VECES_AIELEC,CREDITOS_AIELEC,CAR_OCHO,NCC_OCHO,NCA_OCHO,NCP_OCHO,NAC_OCHO,NAA_OCHO,NAP_OCHO,EPA_OCHO,PROMEDIO_NUEVE
31,1,3,47,1,2,43,1,2,45,1,1,42,1,2,31,1,3,34,1,2,0,15,15,0,7,7,0,1,42.41176471
40,1,3,46,1,2,45,1,2,45,1,1,45,1,2,36,1,3,35,1,2,0,15,15,0,7,7,0,1,42.35294118
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
35,1,3,44,1,2,48,2,2,43,1,1,41,1,2,32,2,3,42,1,2,2,20,15,5,9,7,2,2,37.23529412
0,0,3,0,0,2,34,1,2,0,0,1,0,0,2,0,0,3,0,0,2,0,2,2,0,1,1,0,1,0
41,1,3,44,1,2,42,1,2,47,1,1,32,1,2,32,1,3,38,1,2,0,15,15,0,7,7,0,1,40.58823529
0,0,3,0,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,2,0,2,1,0,1,0,0
39,1,3,45,1,2,44,1,2,48,1,1,43,1,2,36,1,3,32,1,2,0,15,15,0,7,7,0,1,36.78947368
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
35,1,3,42,1,2,48,1,2,39,1,1,42,1,2,35,1,3,37,1,2,0,15,15,0,7,7,0,1,43.11764706
41,1,3,47,1,2,48,1,2,47,1,1,32,1,2,38,1,3,36,1,2,0,15,15,0,7,7,0,1,43.05882353
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
36,1,3,37,1,2,44,1,2,50,1,1,34,1,2,33,2,3,34,1,2,1,18,15,3,8,7,1,1,36.63157895
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,41,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,2,2,0,1,1,0,1,0
37,1,3,34,1,2,46,1,2,45,1,1,44,1,2,30,2,3,38,2,2,2,20,15,5,9,7,2,2,39.82352941
30,1,3,45,1,2,46,1,2,46,1,1,44,1,2,38,1,3,35,1,2,0,15,15,0,7,7,0,1,40.41176471
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
45,1,3,42,1,2,47,1,2,45,1,1,34,1,2,30,1,3,42,1,2,0,15,15,0,7,7,0,1,38.94117647
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
38,1,3,35,1,2,47,1,2,45,1,1,33,1,2,30,1,3,36,1,2,0,15,15,0,7,7,0,1,38.41176471
38,1,3,39,1,2,45,1,2,46,1,1,37,1,2,38,3,3,33,1,2,1,21,15,6,9,7,2,2,41.82352941
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
35,1,3,42,1,2,42,1,2,46,1,1,44,1,2,31,1,3,35,1,2,0,15,15,0,7,7,0,1,37.13333333
45,1,3,44,1,2,48,1,2,38,1,1,40,1,2,41,1,3,41,1,2,0,15,15,0,7,7,0,1,45.58823529
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
39,1,3,41,1,2,46,1,2,43,1,1,48,1,2,36,1,3,34,1,2,0,15,15,0,7,7,0,1,39.47058824
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
30,1,3,42,1,2,44,1,2,47,1,1,39,1,2,34,1,3,39,1,2,0,15,15,0,7,7,0,1,41.66666667
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
43,1,3,36,1,2,42,1,2,42,1,1,44,1,2,41,1,3,38,1,2,0,15,15,0,7,7,0,1,43.52941176
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
44,1,3,45,1,2,43,1,2,44,1,1,40,1,2,34,1,3,39,1,2,0,15,15,0,7,7,0,1,41.70588235
42,1,3,41,1,2,33,1,2,45,1,1,36,1,2,33,2,3,34,2,2,2,20,15,5,9,7,2,2,38.2
39,1,3,40,1,2,37,1,2,47,1,1,30,1,2,30,2,3,36,1,2,1,18,15,3,8,7,1,1,37.41176471
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
38,1,3,47,1,2,48,1,2,44,1,1,35,1,2,33,2,3,32,1,2,1,18,15,3,8,7,1,1,42.94117647
42,1,3,46,1,2,45,1,2,44,1,1,45,1,2,34,1,3,34,1,2,0,15,15,0,7,7,0,1,46.41176471
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
41,1,3,38,1,2,42,1,2,44,1,1,39,1,2,34,1,3,33,1,2,0,15,15,0,7,7,0,1,39.64705882
30,1,3,38,1,2,43,1,2,45,1,1,41,1,2,35,3,3,33,1,2,1,21,15,6,9,7,2,2,29.91304348
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
43,1,3,45,1,2,48,1,2,48,1,1,39,1,2,35,1,3,34,1,2,0,15,15,0,7,7,0,1,43.23529412
37,1,3,42,1,2,43,1,2,43,1,1,37,1,2,30,1,3,32,1,2,0,15,15,0,7,7,0,1,41.47058824
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
47,1,3,42,1,2,45,1,2,34,1,1,40,1,2,35,1,3,38,1,2,0,15,15,0,7,7,0,1,44.41176471
36,1,3,35,1,2,30,1,2,35,1,1,39,1,2,32,1,3,34,1,2,0,15,15,0,7,7,0,1,38.70588235
39,1,3,41,1,2,45,1,2,41,1,1,37,1,2,35,2,3,34,1,2,1,18,15,3,8,7,1,1,44.23529412
34,1,3,41,1,2,32,1,2,39,1,1,35,1,2,34,2,3,35,1,2,1,18,15,3,8,7,1,2,42.29411765
42,1,3,46,1,2,47,1,2,42,1,1,38,1,2,38,1,3,33,1,2,0,15,15,0,7,7,0,1,43.17647059
41,1,3,43,1,2,46,1,2,44,1,1,43,1,2,33,1,3,37,1,2,0,15,15,0,7,7,0,1,42.35294118
36,1,3,38,1,2,48,1,2,47,1,1,31,1,2,34,1,3,30,1,2,0,15,15,0,7,7,0,1,36.21052632
41,1,3,44,1,2,45,1,2,42,1,1,33,1,2,32,2,3,34,1,2,1,18,15,3,8,7,1,1,44.35294118
33,1,3,45,1,2,44,1,2,43,1,1,39,1,2,33,1,3,35,1,2,0,15,15,0,7,7,0,1,44.46666667
0,0,3,41,1,2,44,1,2,47,1,1,32,1,2,0,0,3,0,0,2,0,7,7,0,4,4,0,1,45
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
42,1,3,35,1,2,42,1,2,40,1,1,35,1,2,30,1,3,37,1,2,0,15,15,0,7,7,0,1,40.64705882
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
43,1,3,46,1,2,47,1,2,47,1,1,45,1,2,38,1,3,35,1,2,0,15,15,0,7,7,0,1,43.94117647
36,1,3,42,1,2,44,1,2,49,1,1,40,1,2,30,1,3,30,1,2,0,15,15,0,7,7,0,1,37.68421053
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,32,1,2,0,2,2,0,1,1,0,1,36
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
37,1,3,48,1,2,38,1,2,45,1,1,41,2,2,35,2,3,35,1,2,2,20,15,5,9,7,2,2,40.76470588
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,40
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
37,1,3,37,1,2,43,1,2,43,1,1,39,2,2,30,2,3,35,2,2,3,22,15,7,10,7,3,2,39.06666667
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
37,1,3,42,1,2,46,1,2,46,1,1,40,1,2,37,3,3,33,1,2,1,21,15,6,9,7,2,2,40.94117647
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
37,1,3,44,1,2,42,1,2,45,1,1,40,1,2,43,2,3,37,1,2,1,18,15,3,8,7,1,1,45.17647059
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
34,1,3,48,1,2,39,2,2,42,1,1,36,1,2,37,1,3,33,1,2,1,17,15,2,8,7,1,1,37.55555556
0,0,3,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
38,1,3,37,1,2,50,1,2,47,1,1,47,1,2,30,1,3,34,1,2,0,15,15,0,7,7,0,1,36.89473684
33,1,3,46,1,2,45,1,2,42,1,1,34,1,2,30,3,3,34,2,2,2,23,15,8,10,7,3,2,39.05882353
