CAR_DIEZ,NCC_DIEZ,NCA_DIEZ,NCP_DIEZ,NAC_DIEZ,NAA_DIEZ,NAP_DIEZ,EPA_DIEZ,SEMESTRES_CURSADOS,NOTA_EI_IB,VECES_EI_IB,CREDITOS_EI_IB,NOTA_EI_IIB,VECES_EI_IIB,CREDITOS_EI_IIB,NOTA_EI_IIIB,VECES_EI_IIIB,CREDITOS_EI_IIIB,NOTA_EE_CUATRO,VECES_EE_CUATRO,CREDITOS_EE_CUATRO,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_ELEC_IND,VECES_ELEC_IND,CREDITOS_ELEC_IND,NOTA_TGDOS,VECES_TGDOS,CREDITOS_TGDOS
2,18,14,4,5,3,2,1,13,30,2,3,45,1,3,38,1,3,0,1,1,32.5,2,2,45,1,3,0,0,3
1,18,14,4,5,4,1,1,13,35,2,3,43,1,3,36,1,3,0,1,1,42,1,2,45,1,3,0,0,3
0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,11,36,1,3,38,1,3,41,2,3,0,1,1,41,1,2,44,1,3,0,0,3
0,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,11,40,3,3,43,0,3,41,1,3,0,1,1,45,1,2,44,1,3,0,0,3
0,18,14,4,5,5,0,1,12,46,1,3,33,1,3,33,1,3,0,1,1,44,1,2,33,1,3,0,0,3
0,18,0,18,1,1,0,2,11,0,0,3,0,0,3,0,0,3,0,1,1,28,1,2,0,0,3,0,0,3
2,18,11,7,5,3,2,2,15,25,3,3,42,1,3,30.5,2,3,0,1,1,40,1,2,34,1,3,0,0,3
1,18,14,4,5,4,1,1,11,40,3,3,37,0,3,39,1,3,0,1,1,44,1,2,45,1,3,0,0,3
0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,12,40,2,3,38,1,3,40,1,3,0,1,1,42,1,2,45,1,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,11,40,2,3,41,1,3,38,1,3,0,1,1,42,1,2,42,1,3,0,0,3
