CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,PROMEDIO_TRES,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA,NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_HIST,VECES_HIST,CREDITOS_HIST,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_CIR_UNO,VECES_CIR_UNO,CREDITOS_CIR_UNO
2,17,14,3,6,4,2,1,3.42857E+14,32.5,2,3,25,3,3,45,1,2,45,1,3,35,1,3,30,1,3
1,17,14,3,6,5,1,1,3.27143E+14,35,1,3,30,1,3,30,1,2,40,1,3,35,1,3,27.5,2,3
1,17,17,0,6,5,1,1,32.5,30,1,3,35,1,3,35,1,2,32.5,2,3,35,1,3,35,1,3
0,17,6,11,6,6,0,1,5.71429E+14,30,1,3,25,1,3,25,1,2,20,1,3,35,1,3,20,1,3
1,17,17,0,6,5,1,1,39,35,1,3,40,1,3,35,2,2,40,1,3,40,1,3,35,1,3
4,17,14,3,6,2,4,2,1.53571E+14,30,2,3,27.5,2,3,45,1,2,40,1,3,30,2,3,30,2,3
3,17,0,17,3,0,3,2,1.04286E+14,20.5,6,3,0,0,3,0,0,2,0,0,3,12.5,2,3,18,2,3
0,17,17,0,6,6,0,1,3.07143E+14,35,1,3,30,1,3,30,1,2,50,1,3,40,1,3,30,1,3
3,17,14,3,6,3,3,2,3.43571E+14,35,2,3,22.5,2,3,32.5,2,2,40,1,3,30,1,3,35,1,3
2,17,11,6,6,4,2,1,2.63571E+14,30,1,3,26.66666667,3,3,45,1,2,40,1,3,27.5,2,3,30,1,3
3,17,9,8,6,3,3,2,3.46429E+14,30,1,3,27.5,2,3,27.5,2,2,45,1,3,35,1,3,26.66666667,3,3
0,17,17,0,6,6,0,1,35,40,1,3,45,1,3,35,1,2,45,1,3,40,1,3,40,1,3
2,17,11,6,6,4,2,1,3.35714E+14,30,1,3,25,2,3,45,1,2,35,1,3,30,1,3,22.5,2,3
0,17,17,0,6,6,0,1,3.10714E+14,30,1,3,30,1,3,30,1,2,40,1,3,35,1,3,30,1,3
0,17,0,17,1,1,0,1,4.28571E+14,15,1,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,14,3,6,4,2,1,3.14286E+14,30,1,3,27.5,2,3,30,1,2,45,1,3,35,1,3,35,2,3
0,17,0,17,1,1,0,1,4.28571E+14,20,1,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,5,12,4,4,0,1,4.28571E+14,30,1,3,15,1,3,40,1,2,0,0,3,15,1,3,0,0,3
0,17,17,0,6,6,0,1,35,30,1,3,35,1,3,35,1,2,35,1,3,40,1,3,35,1,3
0,17,17,0,6,6,0,1,3.07143E+14,40,1,3,40,1,3,30,1,2,45,1,3,40,1,3,35,1,3
1,17,15,2,6,5,1,1,35,30,1,3,30,1,3,25,2,2,45,1,3,35,1,3,30,1,3
2,17,11,6,6,4,2,1,2.16667E+14,30,1,3,22.5,2,3,45,1,2,35,1,3,30,1,3,22.5,2,3
4,17,8,9,6,2,4,2,6.42857E+14,25,2,3,17.5,2,3,35,2,2,30,1,3,30,1,3,15,3,3
0,17,17,0,6,6,0,1,3.14286E+14,35,1,3,45,1,3,35,1,2,50,1,3,40,1,3,35,1,3
1,17,14,3,6,5,1,1,2.56667E+14,30,1,3,27.5,2,3,30,1,2,35,1,3,35,1,3,35,1,3
1,17,17,0,6,5,1,1,2.55952E+14,35,1,3,30,1,3,30,2,2,45,1,3,40,1,3,35,1,3
0,17,0,17,1,1,0,1,6.42857E+14,15,1,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
3,17,8,9,6,3,3,2,2.07143E+14,20,3,3,30,1,3,45,1,2,26.66666667,3,3,45,1,3,22.5,2,3
0,17,17,0,6,6,0,1,3.67857E+14,40,1,3,30,1,3,30,1,2,40,1,3,40,1,3,40,1,3
0,17,0,17,1,1,0,1,2.14286E+14,15,1,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,14,3,6,4,2,1,35,35,1,3,25,2,3,30,1,2,45,1,3,35,1,3,30,2,3
1,17,17,0,6,5,1,1,2.70714E+14,30,1,3,40,1,3,30,1,2,40,1,3,35,1,3,30,2,3
0,17,3,14,1,1,0,1,6.42857E+14,30,1,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
1,17,17,0,6,5,1,1,2.96429E+14,35,1,3,40,1,3,30,1,2,35,1,3,35,1,3,32.5,2,3
0,17,17,0,6,6,0,1,3.28571E+14,30,1,3,30,1,3,30,1,2,35,1,3,35,1,3,30,1,3
0,17,17,0,6,6,0,1,2.85714E+14,40,1,3,35,1,3,35,1,2,50,1,3,35,1,3,35,1,3
1,17,17,0,6,5,1,1,3.10714E+14,35,1,3,31.66666667,3,3,30,1,2,35,1,3,40,1,3,30,1,3
1,17,14,3,6,5,1,1,2.82143E+14,35,1,3,27.5,2,3,30,1,2,35,1,3,35,1,3,30,1,3
0,17,17,0,6,6,0,1,3.67857E+14,30,1,3,30,1,3,30,1,2,50,1,3,35,1,3,40,1,3
1,17,0,17,1,0,1,1,5.71429E+14,25,2,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
1,17,2,15,2,1,1,1,6.42857E+14,16.66666667,3,3,0,0,3,40,1,2,0,0,3,0,0,3,0,0,3
0,17,17,0,6,6,0,1,27.5,30,1,3,35,1,3,35,1,2,30,1,3,30,1,3,35,1,3
1,17,0,17,2,1,1,1,4.28571E+14,15,2,3,0,0,3,15,1,2,0,0,3,0,0,3,0,0,3
2,17,17,0,6,4,2,1,3.02857E+14,30,1,3,30,2,3,37.5,2,2,35,1,3,35,1,3,30,1,3
2,17,17,0,6,4,2,1,3.71429E+14,35,2,3,30,1,3,32.5,2,2,40,1,3,30,1,3,40,1,3
2,17,14,3,6,4,2,1,1.78571E+14,40,1,3,23.33333333,3,3,35,1,2,40,1,3,30,1,3,32.5,2,3
1,17,17,0,6,5,1,1,3.92857E+14,35,2,3,30,1,3,45,1,2,30,1,3,35,1,3,30,1,3
1,17,2,15,6,5,1,1,5.71429E+14,22.5,2,3,15,1,3,40,1,2,15,1,3,15,1,3,15,1,3
2,17,11,6,6,4,2,1,1.99405E+14,22.5,2,3,30,1,3,45,1,2,30,1,3,35,1,3,25,4,3
1,17,14,3,6,5,1,1,1.12143E+14,30,1,3,30,1,3,45,1,2,30,1,3,40,1,3,22.5,2,3
2,17,11,6,6,4,2,1,3.14286E+14,30,1,3,27.5,2,3,30,1,2,30,1,3,30,1,3,22.5,2,3
1,17,17,0,6,5,1,1,3.07143E+14,35,1,3,30,1,3,30,1,2,45,1,3,35,1,3,30,2,3
