CAR_NUEVE,NCC_NUEVE,NCA_NUEVE,NCP_NUEVE,NAC_NUEVE,NAA_NUEVE,NAP_NUEVE,EPA_NUEVE,PROMEDIO_DIEZ,NOTA_EI_IA,VECES_EI_IA,CREDITOS_EI_IA,NOTA_EI_IIA,VECES_EI_IIA,CREDITOS_EI_IIA,NOTA_EI_IIIA,VECES_EI_IIIA,CREDITOS_EI_IIIA,NOTA_TRABGRAD,VECES_TRABGRAD,CREDITOS_TRABGRAD,NOTA_TV,VECES_TV,CREDITOS_TV,NOTA_FGEP,VECES_FGEP,CREDITOS_FGEP
4,17,17,0,6,2,4,2,31.75,42,2,3,43,1,3,41,2,3,35,3,3,45,2,3,30,1,2
4,17,17,0,6,2,4,2,33.5,37,2,3,44,1,3,49,2,3,45,3,3,34,1,3,44,2,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,1,3,0,0,3,0,0,2
2,17,17,0,6,4,2,1,3.33333E+14,48,1,3,37,1,3,39,3,3,40,2,3,38,1,3,44,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
4,17,17,0,6,2,4,2,35.5,49,3,3,40,0,3,49,2,3,47,2,3,43,1,3,50,2,2
3,17,17,0,6,3,3,2,31.5,46,2,3,43,1,3,35,2,3,44,2,3,30,1,3,44,1,2
0,17,3,14,1,1,0,2,4.66667E+14,43,1,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
4,17,17,0,6,2,4,2,2.85833E+14,43,3,3,40,1,3,41,3,3,32,2,3,33,1,3,48,2,2
4,17,17,0,6,2,4,2,3.41667E+14,49,3,3,37,0,3,45,2,3,45,3,3,42,2,3,45,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
3,17,17,0,6,3,3,2,3.41667E+14,45,2,3,42,1,3,35,2,3,36,3,3,37,1,3,44,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
3,17,17,0,6,3,3,2,3.38333E+14,48,2,3,42,1,3,40,2,3,48,2,3,41,1,3,43,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
2,17,14,3,6,4,2,1,25.5,46,2,3,37,0,3,35,1,3,43,3,3,25.5,1,3,50,1,2
1,17,17,0,6,5,1,1,2.23333E+14,41,1,3,41,1,3,46,1,3,44,2,3,44,1,3,44,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
3,17,17,0,6,3,3,2,3.53333E+14,48,2,3,40,0,3,39,3,3,44,2,3,37,1,3,48,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
1,17,0,17,1,0,1,2,6.83333E+14,13,0,3,0,1,3,0,0,3,0,3,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
3,17,17,0,6,3,3,2,3.66667E+14,47,4,3,49,1,3,38,2,3,49,2,3,40,1,3,45,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
3,17,17,0,6,3,3,2,32.75,45,2,3,33,2,3,45,1,3,45,2,3,31,1,3,36,1,2
3,17,12,5,4,1,3,2,1.85833E+14,42,4,3,35,0,3,44,3,3,38,3,3,0,1,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
5,17,17,0,6,1,5,2,3.46667E+14,50,2,3,44,1,3,46,2,3,43,2,3,37,2,3,45,2,2
3,17,17,0,6,3,3,2,3.43333E+14,47,3,3,49,1,3,38,2,3,49,2,3,40,1,3,44,1,2
4,17,17,0,6,2,4,2,36.5,50,3,3,35,0,3,40,2,3,45,2,3,38,2,3,41,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
4,17,17,0,6,2,4,2,3.15833E+14,47,3,3,47,1,3,47,3,3,47,2,3,31,2,3,44,1,2
3,17,17,0,6,3,3,2,3.56667E+14,48,2,3,45,1,3,37,2,3,45,2,3,39,1,3,43,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
4,17,17,0,6,2,4,2,3.41667E+14,38,3,3,44,1,3,30,2,3,43,2,3,37,1,3,34,2,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
1,17,17,0,6,5,1,1,2.13333E+14,42,1,3,48,1,3,46,1,3,38,2,3,35,1,3,44,1,2
2,17,17,0,6,4,2,1,33.5,44,1,3,39,1,3,37.5,3,3,45,3,3,40,1,3,43,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
3,17,17,0,6,3,3,2,35,42,2,3,42,1,3,43,2,3,47,2,3,42,1,3,38,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
3,17,17,0,6,3,3,2,37.5,44,3,3,39,0,3,45,2,3,45,2,3,36,1,3,47,1,2
2,17,17,0,6,4,2,1,27,44,1,3,44,2,3,34,1,3,49,2,3,41,1,3,41,1,2
3,17,17,0,6,3,3,2,3.68333E+14,47,3,3,33,0,3,46,2,3,45,2,3,37,1,3,48,1,2
2,17,17,0,6,4,2,1,20.5,44,1,3,40,1,3,38,2,3,48,2,3,43,1,3,50,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
4,17,17,0,6,2,4,2,4.03333E+14,48,2,3,40,0,3,39,3,3,44,2,3,37,2,3,48,1,2
3,17,17,0,6,3,3,2,3.78333E+14,49,2,3,31,0,3,44,3,3,48,2,3,40,1,3,46,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
4,17,17,0,6,2,4,2,3.37167E+14,47,3,3,33,0,3,34,2,3,42,2,3,35,1,3,40,2,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
3,17,17,0,6,3,3,2,3.48333E+14,48,3,3,30,0,3,46,2,3,44,2,3,37,1,3,42,1,2
3,17,17,0,6,3,3,2,3.56667E+14,46,1,3,40,1,3,34,2,3,44,2,3,47,2,3,45,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
3,17,17,0,6,3,3,2,2.11667E+14,40,3,3,33,0,3,41,2,3,45,2,3,31,1,3,46,0,2
2,17,17,0,6,4,2,1,4.53333E+14,44,2,3,45,1,3,33,1,3,47,2,3,34,1,3,34,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
2,17,17,0,6,4,2,1,3.36667E+14,40,1,3,46,1,3,43,2,3,45,2,3,35,1,3,44,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
3,17,17,0,6,3,3,2,3.01667E+14,45,2,3,39,0,3,30,2,3,50,2,3,42,1,3,45,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,1,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
1,17,17,0,6,5,1,1,23,42,1,3,46,1,3,45,1,3,33,2,3,37,1,3,44,1,2
2,17,17,0,6,4,2,1,28.5,47,1,3,47,2,3,43,1,3,47,2,3,35,1,3,44,1,2
4,17,17,0,6,2,4,2,34.5,45,3,3,48,1,3,30,2,3,47,2,3,38,2,3,45,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
2,17,17,0,6,4,2,1,3.20833E+14,42,3,3,31,0,3,41,1,3,43,2,3,41,1,3,37,1,2
3,17,17,0,6,3,3,2,3.58333E+14,50,2,3,46,1,3,50,2,3,48,2,3,38,1,3,50,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
2,17,17,0,6,4,2,1,2.08333E+14,43,1,3,46,1,3,40,1,3,43,2,3,33,1,3,32,2,2
3,17,17,0,6,3,3,2,3.13333E+14,45,2,3,35,0,3,43,3,3,43,2,3,44,1,3,48,1,2
2,17,17,0,6,4,2,1,3.26667E+14,46,1,3,47,1,3,40,3,3,44,2,3,38,1,3,39,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2
3,17,17,0,6,3,3,2,3.36667E+14,48,3,3,45,0,3,30,4,3,45,2,3,41,1,3,34,1,2
