NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;CREDITOS_DIFERENCIAL;ESTADO_FINAL;NOTA_DIFERENCIAL;VECES_DIFERENCIAL;NOTA_DIBUJO;VECES_DIBUJO;CREDITOS_DIBUJO;NOTA_QUIMICA;VECES_QUIMICA;CREDITOS_QUIMICA;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEMINARIO;VECES_SEMINARIO;CREDITOS_SEMINARIO;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
1;20;472.22;65.25;63.43;59.24;62.81;8;39.4444444444444;0;9;9;0;4;4;0;1;4;1;35.0;1;0.0;0;2;45.0;1;3;40.0;1;1;0.0;0;2;40.0;1;1;0.0;0;2;1;11.25
2;0;478.78;62.84;58.68;59.24;53.56;8;31.8;1;19;15;4;7;6;1;1;4;5;22.5;2;30.0;1;2;40.0;1;3;35.0;1;1;30.0;1;2;40.0;1;1;36.0;1;2;2;31.65625
3;20;465.59;78.22;66.74;49.87;88.67;19;30.833333333333332;1;21;15;6;7;5;2;1;4;3;30.0;1;23.75;4;2;35.0;1;3;40.0;1;1;15.0;1;2;40.0;1;1;40.0;1;2;1;26.53846153846154
4;10;491.36;72.55;56.51;65.0;53.32;10;31.153846153846153;1;21;13;8;6;5;1;1;4;10;20.0;3;40.0;1;2;35.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;0.0;0;2;2;33.333333333333336
5;20;464.62;67.54;64.0;62.54;53.32;20;36.333333333333336;0;15;15;0;7;7;0;1;4;5;30.0;1;35.0;1;2;40.0;1;3;40.0;1;1;35.0;1;2;35.0;1;1;45.0;1;2;2;34.78125
6;15;465.73;75.27;58.93;55.99;65.86;16;35.333333333333336;1;18;15;3;7;7;0;1;4;5;30.0;1;40.0;1;2;30.0;2;3;35.0;1;1;40.0;1;2;45.0;1;1;40.0;1;2;2;35.0
7;6;555.13;89.86;81.3;58.09;45.98;5;23.846153846153847;1;21;13;8;6;4;2;2;4;1;15.0;3;15.0;1;2;30.0;1;3;35.0;1;1;30.0;1;2;35.0;1;1;0.0;0;2;1;25.714285714285715
8;9;491.66;89.86;54.12;65.0;53.32;9;38.07692307692308;0;13;13;0;6;6;0;1;4;1;45.0;1;30.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;0.0;0;2;2;36.25
9;15;478.1;72.55;56.51;53.95;69.48;5;38.666666666666664;1;19;15;4;7;7;0;1;4;5;30.0;2;40.0;1;2;40.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;50.0;1;2;2;34.3125
10;15;465.69;67.54;56.51;58.09;62.69;18;33.666666666666664;1;19;15;4;7;6;1;1;4;5;22.5;2;40.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;40.0;1;2;2;34.5625
