NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES;PROMEDIO_TRES
1;20;472.22;65.25;63.43;59.24;62.81;8;39.4444444444444;0;9;0;4;0;1;35.0;0.0;45.0;40.0;0.0;40.0;0.0;11.25;0;3;3;0;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;1;3;0.0;0;2;1;0.0
2;0;478.78;62.84;58.68;59.24;53.56;8;31.8;1;19;4;6;1;5;22.5;30.0;40.0;35.0;30.0;40.0;36.0;31.65625;1;19;16;3;6;5;1;1;22.5;2;3;30.0;1;3;35.0;1;3;30.0;1;2;0.0;0;1;40.0;1;3;32.0;1;2;2;37.93333333333333
3;20;465.59;78.22;66.74;49.87;88.67;19;30.833333333333332;1;21;6;5;2;3;30.0;23.75;35.0;40.0;15.0;40.0;40.0;26.53846153846154;3;28;13;15;5;2;3;1;25.0;2;3;20.0;4;3;25.0;2;3;0.0;0;2;30.0;1;1;35.0;1;3;0.0;0;2;2;31.666666666666668
4;10;491.36;72.55;56.51;65.0;53.32;10;31.153846153846153;1;21;8;5;1;10;20.0;40.0;35.0;40.0;30.0;40.0;0.0;33.333333333333336;0;9;9;0;3;3;0;1;30.0;1;3;0.0;0;3;30.0;1;3;0.0;0;2;0.0;0;1;40.0;1;3;0.0;0;2;2;30.0
5;20;464.62;67.54;64.0;62.54;53.32;20;36.333333333333336;0;15;0;7;0;5;30.0;35.0;40.0;40.0;35.0;35.0;45.0;34.78125;1;19;16;3;6;6;0;1;35.0;1;3;32.5;2;3;35.0;1;3;35.0;1;2;0.0;0;1;35.0;1;3;37.0;1;2;2;37.0
6;15;465.73;75.27;58.93;55.99;65.86;16;35.333333333333336;1;18;3;7;0;5;30.0;40.0;30.0;35.0;40.0;45.0;40.0;35.0;0;16;16;0;6;6;0;1;30.0;1;3;30.0;1;3;40.0;1;3;35.0;1;2;0.0;0;1;40.0;1;3;35.0;1;2;3;40.733333333333334
7;6;555.13;89.86;81.3;58.09;45.98;5;23.846153846153847;1;21;8;4;2;1;15.0;15.0;30.0;35.0;30.0;35.0;0.0;25.714285714285715;0;6;6;0;2;2;0;2;0.0;0;3;0.0;0;3;30.0;1;3;0.0;0;2;0.0;0;1;30.0;1;3;0.0;0;2;1;22.5
8;9;491.66;89.86;54.12;65.0;53.32;9;38.07692307692308;0;13;0;6;0;1;45.0;30.0;35.0;40.0;35.0;40.0;0.0;36.25;0;12;12;0;4;4;0;1;30.0;1;3;35.0;1;3;35.0;1;3;0.0;0;2;0.0;0;1;45.0;1;3;0.0;0;2;2;34.5
9;15;478.1;72.55;56.51;53.95;69.48;5;38.666666666666664;1;19;4;7;0;5;30.0;40.0;40.0;40.0;40.0;40.0;50.0;34.3125;0;16;16;0;6;6;0;1;35.0;1;3;30.0;1;3;35.0;1;3;35.0;1;2;0.0;0;1;35.0;1;3;37.0;1;2;3;40.733333333333334
10;15;465.69;67.54;56.51;58.09;62.69;18;33.666666666666664;1;19;4;6;1;5;22.5;40.0;35.0;40.0;35.0;40.0;40.0;34.5625;1;18;16;2;6;5;1;1;35.0;1;3;30.0;1;3;35.0;1;3;28.5;2;2;0.0;0;1;40.0;1;3;38.0;1;2;2;37.53333333333333
