NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;NOTA_ECONOMIA_UNO;VECES_ECONOMIA_UNO;CREDITOS_ECONOMIA_UNO;NOTA_ECUACIONES;VECES_ECUACIONES;CREDITOS_ECUACIONES;NOTA_ESTADISTICA_DOS;VECES_ESTADISTICA_DOS;CREDITOS_ESTADISTICA DOS;NOTA_FISICA_DOS;VECES_FISICA_DOS;CREDITOS_FISICA_DOS;NOTA_MECANICA;VECES_MECANICA;CREDITOS_MECANICA;NOTA_PROCESOSQ;VECES_PROCESOSQ;CREDITOS_PROCESOS Q;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
2;31.8;36.0;31.65625;22.5;30.0;30.0;32.0;37.93333333333333;6;35.0;40.0;0.0;35.0;39.0;30.13888888888889;2;23;18;5;7;5;2;1;22.5;2;2;35.0;1;3;30.0;1;3;30.0;1;3;35.0;1;2;27.5;2;3;30;1;2;2;34.0625
3;30.833333333333332;40.0;26.53846153846154;25.0;20.0;0.0;0.0;31.666666666666668;4;35.0;35.0;0.0;40.0;0.0;15.0625;2;22;11;11;4;1;3;2;30.0;2;2;15.0;1;3;4.0;1;3;0.0;0;3;0.0;0;2;21.25;4;3;0;0;2;1;27.916666666666668
5;36.333333333333336;45.0;34.78125;35.0;32.5;35.0;37.0;37.0;5;35.0;45.0;0.0;40.0;25.0;38.05555555555556;0;18;18;0;7;7;0;1;30.0;1;2;40.0;1;3;35.0;1;3;40.0;1;3;35.0;1;2;40.0;1;3;45;1;2;2;30.416666666666668
6;35.333333333333336;40.0;35.0;30.0;30.0;35.0;35.0;40.733333333333334;6;35.0;40.0;0.0;40.0;50.0;36.55555555555556;0;18;18;0;7;7;0;1;35.0;1;2;40.0;1;3;35.0;1;3;30.0;1;3;40.0;1;2;35.0;1;3;44;1;2;2;38.333333333333336
8;38.07692307692308;0.0;36.25;30.0;35.0;0.0;0.0;34.5;3;30.0;40.0;0.0;0.0;0.0;23.333333333333332;0;2;2;0;1;1;0;2;35.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;26.25
9;38.666666666666664;50.0;34.3125;35.0;30.0;35.0;37.0;40.733333333333334;6;35.0;45.0;0.0;45.0;45.0;36.388888888888886;0;18;18;0;7;7;0;1;35.0;1;2;35.0;1;3;35.0;1;3;35.0;1;3;35.0;1;2;40.0;1;3;40;1;2;2;32.857142857142854
10;33.666666666666664;40.0;34.5625;35.0;30.0;28.5;38.0;37.53333333333333;6;35.0;30.0;0.0;40.0;40.0;35.888888888888886;1;21;18;3;7;7;0;1;40.0;1;2;30.0;1;3;45.0;1;3;35.0;1;3;30.0;1;2;30.0;2;3;43;1;2;2;30.625
11;32.53333333333333;39.0;30.833333333333332;22.5;27.5;28.666666666666668;38.0;28.142857142857142;4;25.0;30.0;0.0;30.0;0.0;31.63888888888889;1;21;18;3;7;6;1;1;30.0;1;2;28.5;2;3;35.0;1;3;30.0;1;3;30.0;1;2;35.0;1;3;32;1;2;2;32.2
12;34.2;39.0;33.09375;27.5;35.0;30.0;36.0;36.733333333333334;6;30.0;35.0;0.0;33.0;45.0;33.5;1;21;18;3;7;6;1;1;30.0;1;2;40.0;1;3;30.0;1;3;30.0;1;3;40.0;1;2;25.0;2;3;44;1;2;2;31.642857142857142
14;36.15384615384615;45.0;37.5;40.0;30.0;0.0;0.0;23.571428571428573;1;15.0;0.0;0.0;0.0;0.0;10.0;0;2;2;0;1;0;1;2;15.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;15.0
