NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;NAC_SEIS;NOTA_PLINEAL;NOTA_IECONOMICA;NOTA_DISEÑO;NOTA_METODOS;NOTA_EI_TRES;PROMEDIO_SIETE;CAR_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;NOTA_EMPRENDIMIENTO;VECES_EMPRENDIMIENTO;CREDITOS_EMPRENDIMIENTO;NOTA_GRAFOS;VECES_GRAFOS;CREDITOS_GRAFOS;NOTA_CALIDAD_UNO;VECES_CALIDAD_UNO;CREDITOS_CALIDAD_UNO;NOTA_MECARDOTECNIA;VECES_MERCADOTECNIA;CREDITOS_MERCADOTECNIA;NOTA_ERGONOMIA;VECES_ERGONOMIA;CREDITOS_ERGONOMIA;NOTA_HOMBRE;VECES_HOMBRE;CREDITOS_HOMBRE;NOTA_EI_CUATRO;VECES_EI_CUATRO;CREDITOS_EI_CUATRO;NOTA_EI_CINCO;VECES_EI_CINCO;CREDITOS_EI_CINCO;RENDIMIENTO_OCHO;PROMEDIO_OCHO
2;31.8;31.65625;32.0;37.93333333333333;35.0;30.0;30;34.0625;40.0;27.5;42.5;45.0;0.0;30.375;7;30.0;40.0;30.0;30.0;0;30.5;0;9;9;0;5;5;0;1;0.0;0;2;41.0;1;2;31.0;1;2;33.0;1;2;30.0;1;2;35.0;1;1;0.0;0;2;0.0;0;2;1;27.0
5;36.333333333333336;34.78125;37.0;37.0;35.0;40.0;45;30.416666666666668;30.0;35.0;0.0;0.0;0.0;33.25;7;25.0;40.0;45.0;30.0;0;33.2;0;9;9;0;5;5;0;1;0.0;0;2;46.0;1;2;35.0;1;2;35.0;1;2;35.0;1;2;30.0;1;1;0.0;0;2;0.0;0;2;2;34.2
6;35.333333333333336;35.0;35.0;40.733333333333334;35.0;30.0;44;38.333333333333336;45.0;40.0;0.0;0.0;0.0;36.0625;7;30.0;40.0;40.0;40.0;0;35.5;0;9;9;0;5;5;0;1;0.0;0;2;50.0;1;2;35.0;1;2;35.0;1;2;40.0;1;2;35.0;1;1;0.0;0;2;0.0;0;2;2;36.6
9;38.666666666666664;34.3125;37.0;40.733333333333334;35.0;35.0;40;32.857142857142854;30.0;30.0;42.5;0.0;0.0;34.0;7;35.0;30.0;35.0;40.0;0;36.1;0;9;9;0;5;5;0;1;0.0;0;2;45.0;1;2;45.0;1;2;33.0;1;2;35.0;1;2;45.0;1;1;0.0;0;2;0.0;0;2;2;34.583333333333336
10;33.666666666666664;34.5625;38.0;37.53333333333333;35.0;35.0;43;30.625;40.0;35.0;0.0;0.0;0.0;32.5;7;30.0;30.0;35.0;40.0;0;35.5;0;9;9;0;5;5;0;1;0.0;0;2;40.0;1;2;45.0;1;2;30.0;1;2;40.0;1;2;45.0;1;1;0.0;0;2;0.0;0;2;2;34.8
11;32.53333333333333;30.833333333333332;38.0;28.142857142857142;25.0;30.0;32;32.2;31.0;35.0;0.0;35.0;30.0;33.16666666666667;8;29.5;21.666666666666668;40.0;36.0;40;33.9;0;9;9;0;5;5;0;1;0.0;0;2;37.0;1;2;41.0;1;2;33.0;1;2;41.0;1;2;35.0;1;1;0.0;0;2;0.0;0;2;2;31.6
12;34.2;33.09375;36.0;36.733333333333334;30.0;30.0;44;31.642857142857142;33.0;35.0;42.0;0.0;0.0;33.0625;7;30.0;30.0;40.0;35.0;0;34.9;0;9;9;0;5;5;0;1;0.0;0;2;49.0;1;2;37.0;1;2;31.0;1;2;40.0;1;2;35.0;1;1;0.0;0;2;0.0;0;2;1;27.9
15;37.93333333333333;39.0625;50.0;40.333333333333336;40.0;40.0;45;40.42857142857143;45.0;45.0;45.5;0.0;0.0;39.5;7;35.0;40.0;35.0;50.0;0;39.0;0;9;9;0;5;5;0;1;0.0;0;2;40.0;1;2;45.0;1;2;45.0;1;2;45.0;1;2;40.0;1;1;0.0;0;2;0.0;0;2;3;41.5
16;35.4;33.3125;34.0;39.06666666666667;30.0;35.0;45;38.05882352941177;40.0;40.0;40.0;45.0;36.0;36.64705882352941;8;30.0;30.0;40.0;40.0;43;35.4;0;9;9;0;5;5;0;1;0.0;0;2;40.0;1;2;40.0;1;2;32.0;1;2;45.0;1;2;40.0;1;1;0.0;0;2;0.0;0;2;2;31.444444444444446
18;32.733333333333334;32.03125;35.0;33.766666666666666;27.5;30.0;35;32.4;30.0;35.0;0.0;40.0;38.0;30.625;7;24.666666666666668;30.0;40.0;35.0;0;35.0;0;9;9;0;5;5;0;1;0.0;0;2;49.0;1;2;35.0;1;2;30.0;1;2;41.0;1;2;40.0;1;1;0.0;0;2;0.0;0;2;2;30.7
