NUMERO;ID;GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;CORTE_INGRESO;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;RENDIMIENTO_1;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;RENDIMIENTO_2;PROMEDIO_TRES;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;RENDIMIENTO_3;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;RENDIMIENTO_4;PROMEDIO_CINCO;CAR_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;RENDIMIENTO_5;PROMEDIO_SIES;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;RENDIMIENTO_6;PROMEDIO_SIETE;CAR_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;RENDIMIENTO_7;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;RENDIMIENTO_8;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;RENDIMIENTO_9;PROMEDIO_DIEZ;CAR_DIEZ;NCC_DIEZ;NCA_DIEZ;NCP_DIEZ;NAC_DIEZ;NAA_DIEZ;NAP_DIEZ;EPA_DIEZ;RENDIMIENTO_10;NOTA_DIFERENCIAL;VECES_DIFERENCIAL;CREDITOS_DIFERENCIAL;NOTA_PROG_BASICA;VECES_PROG_BASICA;CREDITOS_PROG_BASICA;NOTA_CATEDRA_FJC;VECES_CATEDRA_FJC;CREDITOS_CATEDRA_FJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEMINARIO;VECES_SEMINARIO;CREDITOS_SEMINARIO;NOTA_CATEDRA_DEM;VECES_CATEDRA_DEM;CREDITOS_CATEDRA_DEM;NOTA_CATEDRA_CON;VECES_CATEDRA_CON;CREDITOS_CATEDRA_CON;NOTA_LOGICA;VECES_LOGICA;CREDITOS_LOGICA;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;NOTA_SEGUNDA_LENGUA_UNO;VECES_SEGUNDA_LENGUA_UNO;CREDITOS_SEGUNDA_LENGUA_UNO;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_PROG_ORIENTADA;VECES_PROG_ORIENTADA;CREDITOS_PROG_ORIENTADA;NOTA_ETICA;VECES_ETICA;CREDITOS_ETICA;NOTA_GT_UNO;VECES_GT_UNO;CREDITOS_GT_UNO;NOTA_SEGUNDA_LENGUA_DOS;VECES_SEGUNDA_LENGUA_DOS;CREDITOS_SEGUNDA_LENGUA_DOS;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;NOTA_FISICA_DOS;VECES_FISICA_DOS;CREDITOS_FISICA_DOS;NOTA_MULTIVARIADO;VECES_MULTIVARIADO;CREDITOS_MULTIVARIADO;NOTA_ECUACIONES;VECES_ECUACIONES;CREDITOS_ECUACIONES;NOTA_TGS;VECES_TGS;CREDITOS_TGS;NOTA_PROG_AVANZADA;VECES_PROG_AVANZADA;CREDITOS_PROG_AVANZADA;NOTA_SEGUNDA_LENGUA_TRES;VECES_SEGUNDA_LENGUA_TRES;CREDITOS_SEGUNDA_LENGUA_TRES;NOTA_HOMBRE;VECES_HOMBRE;CREDITOS_HOMBRE;NOTA_GT_DOS;VECES_GT_DOS;CREDITOS_GT_DOS;NOTA_MAT_ESP;VECES_MAT_ESP;CREDITOS_MAT_ESP;NOTA_MOD_PROG_UNO;VECES_MOD_PROG_UNO;CREDITOS_MOD_PROG_UNO;NOTA_A_SISTEMAS;VECES_A_SISTEMAS;CREDITOS_A_SISTEMAS;NOTA_METODOS_NUM;VECES_METODOS_NUM;CREDITOS_METODOS_NUM;NOTA_FUND_BASES;VECES_FUND_BASES;CREDITOS_FUND_BASES;NOTA_MAT_DIS;VECES_MAT_DIS;CREDITOS_MAT_DIS;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;NOTA_FISICA_TRES;VECES_FISICA_TRES;CREDITOS_FISICA_TRES;NOTA_ARQ_COMP;VECES_ARQ_COMP;CREDITOS_ARQ_COMP;NOTA_MOD_PROG_DOS;VECES_MOD_PROG_DOS;CREDITOS_MOD_PROG_DOS;NOTA_CIENCIAS_COMP_UNO;VECES_CIENCIAS_COMP_UNO;CREDITOS_CIENCIAS_COMP_UNO;NOTA_INV_OP_UNO;VECES_INV_OP_UNO;CREDITOS_INV_OP_UNO;NOTA_PROB;VECES_PROB;CREDITOS_PROB;NOTA_HISTORIA_COL;VECES_HISTORIA_COL;CREDITOS_HISTORIA_COL;NOTA_GI_UNO;VECES_GI_UNO;CREDITOS_GI_UNO;NOTA_CIBERNETICA_UNO;VECES_CIBERNETICA_UNO;CREDITOS_CIBERNETICA_UNO;NOTA_REDES_COM_UNO;VECES_REDES_COM_UNO;CREDITOS_REDES_COM_UNO;NOTA_CIENCIAS_COMP_DOS;VECES_CIENCIAS_COMP_DOS;CREDITOS_CIENCIAS_COMP_DOS;NOTA_INV_OP_DOS;VECES_INV_OP_DOS;CREDITOS_INV_OP_DOS;NOTA_ESTADISTICA;VECES_ESTADISTICA;CREDITOS_ESTADISTICA;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;NOTA_ECONOMIA;VECES_ECONOMIA;CREDITOS_ECONOMIA;NOTA_GT_TRES;VECES_GT_TRES;CREDITOS_GT_TRES;NOTA_CIBERNETICA_UDOS;VECES_CIBERNETICA_DOS;CREDITOS_CIBERNETICA_DOS;NOTA_REDES_COM_DOS;VECES_REDES_COM_DOS;CREDITOS_REDES_COM_DOS;NOTA_INV_OP_TRES;VECES_INV_OP_TRES;CREDITOS_INV_OP_TRES;NOTA_F_ING_SOF;VECES_F_ING_SOF;CREDITOS_F_ING_SOF;NOTA_GI_DOS;VECES_GI_DOS;CREDITOS_GI_DOS;NOTA_FUND_IA;VECES_FUND_IA;CREDITOS_FUND_IA;NOTA_EI_OP_AI;VECES_EI_OP_AI;CREDITOS_EI_OP_AI;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;NOTA_EI_OP_BI;VECES_EI_OP_BI;CREDITOS_EI_OP_BI;NOTA_ING_ECONOMICA;VECES_ING_ECONOMICA;CREDITOS_ING_ECONOMICA;NOTA_CIBERNETICA_TRES;VECES_CIBERNETICA_TRES;CREDITOS_CIBERNETICA_TRES;NOTA_REDES_COM_TRES;VECES_REDES_COM_TRES;CREDITOS_REDES_COM_TRES;NOTA_DIS_ARQ_SOFT;VECES_DIS_ARQ_SOFT;CRADITOS_DIS_ARQ_SOFT;NOTA_EI_OP_AII;VECES_EI_OP_AII;CREDITOS_EI_OP_AII;NOTA_EI_OP_BII;VECES_EI_OP_BII;CREDITOS_EI_OP_BII;NOTA_EI_OP_CI;VECES_EI_OP_CI;CREDITOS_EI_OP_CI;NOTA_GES_CAL_VAL_SOFT;VECES_GES_CAL_VAL_SOFT;CREDITOS_GES_CAL_VAL_SOFT;NOTA_SIS_OP;VECES_SIS_OP;CREDITOS_SIS_OP;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_EI_OP_AIII;VECES_EI_OP_AIII;CREDITOS_EI_OP_AIII;NOTA_EI_OP_BIII;VECES_EI_OP_BIII;CREDITOS_EI_OP_BIII;NOTA_EI_OP_CII;VECES_EI_OP_CII;CREDITOS_EI_OP_CII;NOTA_EI_OP_DI;VECES_EI_OP_DI;CREDITOS_EI_OP_DI;NOTA_FOGEP;VECES_FOGEP;CREDITOS_FOGEP;NOTA_GRADO_DOS;VECES_GRADO_DOS;CREDITOS_GRADO DOS;NAR_TOTAL;NAC_TOTAL;NAA_TOTAL;NAP_TOTAL;NSC_TOTAL;PROMEDIO_TOTAL;ESTADO_FINAL;PG_ICFES_APROX;PROMEDIO_APROX;PROMEDIO_CATEGORIAS;RENDIMIENTO_CREDITOS;RENDIMIENTO_FINAL
1;31811196344742300000;0;1;20;1;224;7;429,91;67,13;67,13;55,56;62,42;54,54;54,54;53,07;0;34,19;47,17;20;6;10;2;2010;1;14,5;3;25;5;20;10;4;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;3;3;0;1;1;0;1;4;0;0;0;0;0;0;0;0;0;0;15;2;4;20;2;3;40;1;1;30;1;2;35;1;1;40;1;1;0;0;0;23;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;11;5;6;2;17,76785714;13;450;18;20;0;1
2;31811196346324800000;1;0;7;0;0;0;447,57;61,49;61,49;48,33;54,3;63,42;63,42;52,77;0;49,02;50,86;7;5;6;2;2010;1;28,4;1;22;14;8;10;8;2;2;1;24;3;28;16;12;11;7;4;2;1;16,96969697;5;33;9;24;12;4;8;2;1;37,05555556;0;18;18;0;9;9;0;1;2;37,84210526;0;19;19;0;7;7;0;1;2;38,55555556;0;18;18;0;7;7;0;1;2;36,68421053;0;19;17;2;9;8;1;1;2;43,625;0;16;16;0;6;6;0;1;3;40,30769231;0;13;13;0;5;5;0;1;3;41,64705882;0;17;17;0;6;5;1;1;3;23;2;4;35;1;3;40;1;1;45;1;2;45;1;1;35;1;1;46;1;1;30;1;3;42;1;2;30;1;2;46;1;2;30;2;3;26;3;3;30;1;3;40;1;3;45;1;2;50;1;1;41;1;2;47;1;2;23;3;3;23;3;3;24;2;3;35;1;2;35;1;3;33;1;2;46;1;1;50;1;1;30;1;3;44;1;3;40;1;2;38;1;1;30;1;2;35;1;3;50;1;2;36;1;3;35;1;2;41;1;3;33;1;3;35;1;3;38;1;3;32;1;2;50;1;3;30;1;2;36;1;2;32;1;3;46;1;3;38;1;3;19;1;2;30;1;2;40;1;1;36;1;2;39;1;3;42;1;2;34;1;3;50;1;3;34;1;1;45;1;3;0;0;0;41;1;3;39;1;2;46;1;2;39;1;2;48;1;4;0;0;0;44;1;3;44;1;3;35;1;3;35;1;3;50;1;1;34;1;3;41;1;3;39;1;3;50;1;3;33;1;2;50;1;3;9;82;66;16;13;32,32512315;5;450;32;30;4;2
3;31811196347907400000;0;2;1;1;19;5;452,04;70,11;70,11;58,27;54,3;48,26;48,26;50,78;0;55,96;67,51;11;5;10;3;2010;1;27,9;1;19;11;8;8;6;2;2;1;22;2;22;10;12;8;4;4;2;1;22,85714286;1;7;3;4;3;1;2;2;1;36,90909091;0;11;11;0;5;5;0;1;2;39,125;0;8;8;0;3;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;2;4;45;1;3;45;1;1;40;1;2;45;1;1;45;1;1;0;0;0;30;1;3;0;0;0;46;1;2;0;0;0;30;1;3;19;2;3;23;2;3;40;1;3;30;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;2;2;35;1;3;0;0;0;0;0;0;0;0;0;0;0;0;40;1;3;37;1;2;36;1;1;37;1;2;34;1;3;0;0;0;0;0;0;38;1;2;45;1;3;34;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;27;19;8;4;28,26865672;9;450;28;30;1;1
4;31811196349490000000;1;1;20;1;2;12;411,47;55,73;55,73;65,58;50,18;59,42;59,42;60,55;0;46,43;43,4;8;3;10;3;2010;1;15,0;0;15;0;15;7;0;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;4;15;1;3;15;1;1;15;1;2;15;1;1;15;1;1;0;0;0;15;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;1;15;10;400;15;20;0;1
5;31811196351072500000;0;2;11;1;19;5;493,08;80,57;80,57;58,23;59,25;54,87;54,87;64,99;0;58,57;76,45;11;5;10;3;2010;1;19,6;0;14;0;14;6;0;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;4;20;1;3;0;0;0;20;1;2;15;1;1;20;1;1;0;0;0;20;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;1;19,64285714;10;500;20;20;0;1
6;31811196352655100000;0;1;20;1;225;15;440,44;70,26;70,26;50,58;60,27;50,37;50,37;51,06;0;51,14;41,68;20;6;10;3;2010;1;16,2;3;25;5;20;10;4;6;2;1;7;7;35;5;30;12;2;10;2;1;3,142857143;1;7;0;7;3;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;2;4;23;2;3;35;1;1;30;1;2;40;1;1;45;1;1;0;0;0;23;2;3;0;0;0;0;0;0;0;0;0;9;4;3;1;2;3;16;4;3;35;1;3;30;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;25;6;19;4;9,97761194;9;450;10;10;0;1
7;31811196354237700000;0;0;8;0;0;0;460,21;58,94;58,94;60,41;54,59;61,03;61,03;51,06;0;55,86;58,06;8;3;10;2;2010;1;8,5;14;50;4;46;22;2;20;2;1;21;3;24;9;15;9;4;5;2;1;32,57142857;0;7;5;2;3;2;1;1;2;34,75;0;4;4;0;2;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;4;4;22;3;3;22;3;1;30;1;2;20;3;1;20;3;1;0;0;0;21;4;3;50;1;2;0;0;0;0;0;0;29;2;3;23;3;3;32;1;3;38;1;3;40;1;2;50;1;1;44;1;2;0;0;0;0;0;0;0;0;0;0;0;0;25;1;2;30;1;3;0;0;0;0;0;0;0;0;0;0;0;0;32;1;3;0;0;0;43;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;36;10;26;5;15,15784314;9;450;15;20;1;1
8;31811196355820200000;0;1;19;1;19;5;392,85;43,8;43,8;50,58;51,1;54,6;54,6;47;0;46,59;48,4;19;5;7;1;2010;1;18,4;4;31;13;18;12;7;5;2;1;18;4;29;11;18;11;5;6;2;1;23,36842105;1;19;7;12;7;3;4;2;1;34,66666667;0;3;3;0;2;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;3;3;0;1;1;0;1;4;0;0;0;0;0;0;0;0;0;0;22;3;4;33;2;3;40;1;1;40;1;2;45;1;1;40;1;1;0;0;0;30;2;3;45;1;2;32;1;2;0;0;0;19;3;3;26;2;3;34;1;3;32;2;3;35;1;2;50;1;1;34;1;2;0;0;0;31;1;3;28;1;3;23;2;3;41;1;2;16;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;1;2;42;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;33;18;15;5;20,89607843;9;400;21;20;1;1
9;31811196358985400000;0;1;19;1;19;5;497,91;56,46;56,46;48,33;70,24;50,37;50,37;52,77;0;55,96;59,64;19;5;10;2;2010;1;31,0;1;22;18;4;10;9;1;2;2;34;1;21;17;4;9;7;2;1;2;17,25757576;5;33;12;21;12;5;7;2;1;40,61111111;0;18;18;0;9;9;0;1;3;18,51470588;5;34;10;24;12;4;8;2;1;36,3;1;20;16;4;8;6;2;1;2;40,47368421;0;19;19;0;9;9;0;1;3;32,18421053;1;19;13;6;7;5;2;1;2;34,76315789;1;19;16;3;7;6;1;1;2;42,05882353;0;17;17;0;6;5;1;1;3;30;2;4;40;1;3;40;1;1;45;1;2;45;1;1;50;1;1;37;1;1;40;1;3;30;1;2;28;2;2;42;1;2;30;1;3;35;1;3;45;1;3;30;1;3;50;1;2;50;1;1;42;1;2;39;1;2;26;3;3;31;3;3;24;2;3;30;1;2;35;1;3;40;1;2;43;1;1;50;1;1;35;1;3;49;1;3;37;1;2;40;1;1;36;1;2;40;1;3;50;1;2;24;3;3;31;1;2;43;1;3;29;2;3;32;2;3;28;2;3;48;1;2;50;1;3;22;2;2;40;1;2;41;1;3;44;1;3;34;1;3;35;1;2;39;1;2;45;1;1;32;1;2;38;1;3;44;1;2;41;1;3;50;1;3;37;1;1;23,5;2;3;0;0;0;39;1;3;36;1;2;45;1;2;41;1;2;45;1;4;36;1;3;42;1;3;42;1;3;49;1;3;37;2;3;44;1;1;41;1;3;44;1;3;38;1;3;39;1;3;47;1;2;45;1;3;15;89;65;24;14;30,64864865;5;500;31;30;4;2
10;31811196360567900000;0;0;8;0;0;0;461,23;63,86;63,86;51,08;57,04;57,65;57,65;54,55;0;57,41;48,65;8;3;10;2;2010;1;24,3;2;25;11;14;11;7;4;2;1;15;8;43;10;33;16;5;11;2;1;32,19047619;1;21;18;3;8;7;1;1;2;35,16666667;0;18;18;0;9;9;0;1;2;31,90909091;1;22;19;3;8;7;1;2;2;41;0;18;18;0;7;7;0;1;3;30,47916667;2;24;17;7;11;8;3;2;2;42,61111111;0;18;18;0;7;7;0;1;3;38,46153846;0;13;13;0;5;5;0;1;2;43,05882353;0;17;17;0;6;5;1;1;3;25;2;4;35;1;3;40;1;1;45;1;2;40;1;1;40;1;1;43;1;1;25;2;3;37;1;2;30;1;2;44;1;2;25;4;3;24;4;3;26;3;3;45;1;3;50;1;2;50;1;1;40;1;2;41;1;2;37;1;3;31;2;3;41;1;3;41;1;2;35;1;3;39;1;2;40;1;1;50;1;1;32;1;3;35;1;3;33;1;2;32;1;1;32;1;2;34;1;3;45;1;2;32;1;3;45;1;2;43;1;3;38;1;3;30;1;3;31;2;3;33;1;2;50;1;3;32;1;2;40;1;2;36;1;3;49;1;3;41;1;3;35;1;2;29;2;2;50;1;1;36;1;2;40;1;3;43;1;2;32;2;3;50;1;3;32;1;1;45;1;3;47;1;2;34;1;3;39;1;2;41;1;2;46;1;2;46;1;4;0;0;0;41;1;3;35;1;3;40;1;3;34;1;3;50;1;1;34;1;3;44;1;3;45;1;3;47;1;3;36;1;2;50;1;3;14;88;67;21;14;30,78652968;5;450;31;30;4;2
