NOTA_EI_OP_AII,VECES_EI_OP_AII,CREDITOS_EI_OP_AII,NOTA_EI_OP_BII,VECES_EI_OP_BII,CREDITOS_EI_OP_BII,NOTA_EI_OP_CI,VECES_EI_OP_CI,CREDITOS_EI_OP_CI,NOTA_GES_CAL_VAL_SOFT,VECES_GES_CAL_VAL_SOFT,CREDITOS_GES_CAL_VAL_SOFT,NOTA_SIS_OP,VECES_SIS_OP,CREDITOS_SIS_OP,NOTA_GRADO_UNO,VECES_GRADO_UNO,CREDITOS_GRADO_UNO,CAR_NUEVE,NCC_NUEVE,NCA_NUEVE,NCP_NUEVE,NAC_NUEVE,NAA_NUEVE,NAP_NUEVE,EPA_NUEVE,PROMEDIO_DIEZ
45,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0
0,0,0,44,1,3,44,1,3,35,1,3,35,1,3,50,1,1,0,13,13,0,5,5,0,1,41.64705882
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0
36,1,3,42,1,3,42,1,3,49,1,3,36.5,2,3,44,1,1,1,19,16,3,7,6,1,1,42.05882353
0,0,0,41,1,3,35,1,3,40,1,3,34,1,3,50,1,1,0,13,13,0,5,5,0,1,43.05882353
0,0,0,46,2,3,40,1,3,49,1,3,39,1,3,36,1,1,1,16,13,3,6,5,1,1,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45.5,2,3,45,1,3,43,1,3,46,1,3,50,1,1,1,16,13,3,6,5,1,1,43.21428571
