NOTA_SEGUNDA_LENGUA_TRES,VECES_SEGUNDA_LENGUA_TRES,CREDITOS_SEGUNDA_LENGUA_TRES,NOTA_HOMBRE,VECES_HOMBRE,CREDITOS_HOMBRE,NOTA_GT_DOS,VECES_GT_DOS,CREDITOS_GT_DOS,NOTA_MAT_ESP,VECES_MAT_ESP,CREDITOS_MAT_ESP,NOTA_MOD_PROG_UNO,VECES_MOD_PROG_UNO,CREDITOS_MOD_PROG_UNO,NOTA_A_SISTEMAS,VECES_A_SISTEMAS,CREDITOS_A_SISTEMAS,NOTA_METODOS_NUM,VECES_METODOS_NUM,CREDITOS_METODOS_NUM,NOTA_FUND_BASES,VECES_FUND_BASES,CREDITOS_FUND_BASES,NOTA_MAT_DIS,VECES_MAT_DIS,CREDITOS_MAT_DIS,CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,2,46,1,1,50,1,1,30,1,3,44,1,3,40,1,2,38,1,1,30,1,2,35,1,3,0,18,18,0,9,9,0,1,37.84210526
0,0,0,0,0,0,0,0,0,0,0,0,40,1,3,37,1,2,36,1,1,37,1,2,34,1,3,0,11,11,0,5,5,0,1,39.125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,32,1,3,0,0,0,43,1,1,0,0,0,0,0,0,0,4,4,0,2,2,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,2,42,1,1,0,0,0,0,0,0,0,3,3,0,2,2,0,1,0
40,1,2,43,1,1,50,1,1,35,1,3,49,1,3,37,1,2,40,1,1,36,1,2,40,1,3,0,18,18,0,9,9,0,1,18.51470588
39,1,2,40,1,1,50,1,1,32,1,3,35,1,3,33,1,2,32,1,1,32,1,2,34,1,3,0,18,18,0,9,9,0,1,31.90909091
44,1,2,44,1,1,50,1,1,33,1,3,45,1,3,38,1,2,34,1,1,31,1,2,35,1,3,0,18,18,0,9,9,0,1,38.31578947
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,2,0,0,0,31.5,2,2,0,0,0,1,6,4,2,3,2,1,2,0
41,1,2,44,1,1,50,1,1,37,1,3,42,1,3,39,1,2,39,1,1,44,1,2,38,1,3,0,18,18,0,9,9,0,1,36.28571429
39,1,2,44,1,1,50,1,1,35,1,3,40,1,3,37,1,2,41,1,1,37,1,2,37,1,3,0,18,18,0,9,9,0,1,25.14814815
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,2,42,1,1,50,1,1,38,1,3,49,1,3,38,1,2,41,1,1,34,1,2,38,1,3,0,18,18,0,9,9,0,1,37.63157895
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,2,47,1,1,50,1,1,29.66666667,3,3,32,1,3,41,1,2,35,1,1,44,1,2,36,1,3,2,24,15,9,11,8,3,2,22.75
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,2,33,1,1,50,1,1,30,1,3,50,1,3,32,2,2,40,1,1,38,1,2,37,1,3,1,20,18,2,10,9,1,1,30.75
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,2,43,1,1,45,1,1,26.5,2,3,47,1,3,43,1,2,42,1,1,35,1,2,31,1,3,1,21,15,6,10,8,2,1,29
47,1,2,21,2,1,50,1,1,32,1,3,31,1,3,40,1,2,35,1,1,37,1,2,39,1,3,1,19,17,2,10,8,2,1,25.40740741
