CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,ESTADO DOS,PROMEDIO_TRES,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_ASES,VECES_ASES,CREDITOS_ASES,NOTA_TOP,VECES_TOP,CREDITOS_TOP
2,17,17,0,6,6,0,1,1,34.72222222,50,1,3,35,1,3,30,2,3,45,1,2,30,2,3,30,1,3
2,17,17,0,6,6,0,2,3,35.55555556,30,1,3,35,2,3,36,3,3,50,1,2,30,1,3,35,1,3
1,17,11,6,5,4,2,1,1,38,0,0,3,30,1,3,31,1,3,35,1,2,18,2,3,36,1,3
1,17,17,0,6,6,0,1,1,33.88888889,30,1,3,30,1,3,30,2,3,40,1,2,30,1,3,40,1,3
2,17,17,0,6,6,0,1,1,36.55555556,30,1,3,35,2,3,30,2,3,35,1,2,30,1,3,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
2,17,0,17,2,0,6,2,3,0,0,0,3,0,0,3,0,0,3,15,3,2,15,3,3,0,0,3
2,17,17,0,6,6,0,1,1,34.44444444,50,1,3,30,1,3,30,2,3,30,1,2,30,1,3,30,2,3
0,0,0,0,0,0,0,0,2,15,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
3,17,17,0,6,6,0,2,3,25.4,50,1,3,30,1,3,31,3,3,30,1,2,37,2,3,30,2,3
1,17,17,0,6,6,0,1,1,36.38888889,30,1,3,30,1,3,35,2,3,35,1,2,30,1,3,35,1,3
2,17,14,3,6,5,1,2,3,33.33333333,35,2,3,30,1,3,15,3,3,40,1,2,30,1,3,40,1,3
0,17,17,0,6,6,0,1,1,32.11111111,43,1,3,30,1,3,32,1,3,35,1,2,35,1,3,30,1,3
2,17,6,11,4,2,4,2,3,38,0,0,3,24,5,3,0,0,3,19,3,2,38,1,3,39,1,3
2,17,17,0,6,6,0,1,1,32.55555556,50,1,3,30,1,3,30,2,3,35,1,2,30,1,3,30,2,3
2,17,17,0,6,6,0,1,1,34.72222222,30,1,3,30,2,3,30,2,3,45,1,2,30,1,3,40,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
2,17,17,0,6,6,0,1,1,33.05555556,45,2,3,30,1,3,30,2,3,40,1,2,30,1,3,35,1,3
1,17,17,0,6,6,0,1,1,40,35,1,3,35,2,3,40,1,3,40,1,2,30,1,3,40,1,3
3,17,17,0,6,6,0,2,3,35.94444444,45,2,3,35,3,3,30,3,3,40,1,2,30,1,3,35,1,3
0,17,17,0,6,6,0,1,1,37.22222222,30,1,3,35,1,3,30,1,3,40,1,2,30,1,3,35,1,3
1,17,17,0,6,6,0,1,1,33.33333333,30,2,3,40,1,3,35,1,3,40,1,2,30,1,3,35,1,3
0,17,17,0,6,6,0,1,1,37.5,30,1,3,35,1,3,35,1,3,45,1,2,30,1,3,35,1,3
1,17,17,0,6,6,0,1,1,36.05555556,30,1,3,35,1,3,30,1,3,35,1,2,40,2,3,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
0,17,17,0,6,6,0,1,1,38.33333333,30,1,3,40,1,3,30,1,3,45,1,2,35,1,3,40,1,3
1,17,17,0,6,6,0,1,1,36.94444444,30,1,3,35,1,3,40,2,3,40,1,2,30,1,3,40,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
1,17,0,17,2,0,6,2,3,0,0,0,3,15,1,3,0,0,3,15,2,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
1,17,17,0,6,6,0,1,1,34.94444444,30,1,3,30,1,3,30,2,3,40,1,2,30,1,3,30,1,3
0,17,17,0,6,6,0,1,1,36.88888889,30,1,3,30,1,3,35,1,3,40,1,2,30,1,3,35,1,3
2,17,17,0,6,6,0,2,3,34.5,30,2,3,30,1,3,30,1,3,35,1,2,30,3,3,30,1,3
3,17,17,0,6,6,0,2,3,35.05555556,35,3,3,30,2,3,30,1,3,40,1,2,30,2,3,40,1,3
4,17,11,6,6,4,2,2,3,27.375,40,4,3,30,1,3,0,2,3,35,1,2,20,3,3,40,3,3
2,17,17,0,6,6,0,2,3,31.66666667,30,2,3,35,1,3,30,3,3,35,1,2,30,1,3,35,1,3
0,17,2,15,6,1,5,2,3,0,15,1,3,20,1,3,15,1,3,35,1,2,15,1,3,25,1,3
1,17,17,0,6,6,0,1,1,34.44444444,30,1,3,35,1,3,45,2,3,45,1,2,30,1,3,35,1,3
3,17,14,3,6,5,1,2,3,28.66666667,30,3,3,35,4,3,21,3,3,37,1,2,30,1,3,32,1,3
2,17,17,0,6,6,0,2,3,33.88888889,50,1,3,30,2,3,33,4,3,30,1,2,30,1,3,35,1,3
2,17,17,0,6,6,0,1,1,35.77777778,30,1,3,35,2,3,30,2,3,40,1,2,30,1,3,40,1,3
2,17,17,0,6,6,0,2,3,30.33333333,50,1,3,30,3,3,30,3,3,45,1,2,30,1,3,30,1,3
1,17,17,0,6,6,0,1,1,43.05555556,45,2,3,35,1,3,40,1,3,40,1,2,30,1,3,35,1,3
2,17,17,0,6,6,0,1,1,36.83333333,30,1,3,30,1,3,35,2,3,45,1,2,35,2,3,35,1,3
1,17,17,0,6,6,0,1,1,33.61111111,45,1,3,30,1,3,30,2,3,35,1,2,30,1,3,30,1,3
2,17,0,17,2,0,6,2,3,0,15,2,3,0,0,3,0,0,3,15,2,2,0,0,3,0,0,3
1,17,17,0,6,6,0,1,1,35,30,2,3,35,1,3,30,1,3,35,1,2,30,1,3,35,1,3
0,17,17,0,6,6,0,1,1,34.55555556,45,1,3,30,1,3,30,1,3,40,1,2,30,1,3,35,1,3
0,17,2,15,1,1,5,2,3,0,0,0,3,0,0,3,0,0,3,40,1,2,0,0,3,0,0,3
2,17,17,0,6,6,0,2,3,33,30,3,3,30,1,3,30,2,3,35,1,2,30,1,3,35,1,3
4,17,17,0,6,6,0,2,3,36,30,2,3,30,3,3,34,2,3,35,1,2,30,2,3,30,1,3
3,17,17,0,6,6,0,2,3,34.27777778,30,1,3,30,3,3,30,2,3,35,1,2,30,2,3,30,1,3
0,17,17,0,6,6,0,1,1,34.77777778,50,1,3,30,1,3,35,1,3,35,1,2,30,1,3,30,1,3
2,17,17,0,6,6,0,1,1,30.55555556,30,2,3,30,1,3,30,2,3,40,1,2,30,1,3,35,1,3
3,17,17,0,6,6,0,1,1,31.72222222,30,2,3,35,2,3,30,1,3,40,1,2,30,2,3,35,1,3
3,17,11,6,4,4,2,2,3,30,35,2,3,0,0,3,0,0,3,40,1,2,30,3,3,30,2,3
3,17,17,0,6,6,0,2,3,34.27777778,44,1,3,32,2,3,34,3,3,40,3,2,34,1,3,40,1,3
0,17,17,0,6,6,0,1,1,34.44444444,30,1,3,30,1,3,30,1,3,40,1,2,35,1,3,35,1,3
3,17,8,9,4,3,3,2,3,0,30,3,3,0,0,3,0,0,3,40,1,2,27,4,3,30,3,3
3,17,17,0,6,6,0,2,3,34.55555556,30,3,3,35,1,3,35,3,3,35,1,2,30,2,3,30,1,3
4,17,17,0,6,6,0,2,3,34.38888889,35,3,3,40,2,3,31,3,3,35,1,2,30,3,3,30,1,3
3,17,17,0,6,6,0,2,3,33.38888889,30,3,3,30,2,3,30,1,3,40,1,2,30,2,3,30,1,3
1,17,17,0,6,6,0,1,1,35,30,2,3,30,1,3,30,1,3,40,1,2,30,1,3,30,1,3
2,17,0,17,2,0,6,2,3,0,15,3,3,0,0,3,0,0,3,15,3,2,0,0,3,0,0,3
2,17,17,0,6,6,0,1,1,33.83333333,30,1,3,38,2,3,38,2,3,35,1,2,30,1,3,35,1,3
0,17,2,15,3,1,5,2,3,0,0,0,3,0,0,3,0,0,3,40,1,2,15,1,3,25,1,3
2,17,17,0,6,6,0,2,3,34.38888889,50,1,3,43,1,3,33,1,3,35,1,2,35,3,3,30,2,3
0,17,17,0,6,6,0,1,1,36.72222222,40,1,3,30,1,3,40,1,3,50,1,2,35,1,3,35,1,3
0,17,17,0,6,6,0,1,1,35.27777778,35,1,3,30,1,3,30,1,3,50,1,2,30,1,3,30,1,3
0,17,2,15,1,1,5,2,3,0,0,0,3,0,0,3,0,0,3,40,1,2,0,0,3,0,0,3
1,17,0,17,1,0,6,2,3,0,0,0,3,0,0,3,0,0,3,0,0,2,15,2,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
1,17,14,3,5,5,1,2,3,0,45,1,3,30,1,3,0,0,3,35,1,2,30,3,3,30,1,3
3,17,17,0,6,6,0,2,3,32.83333333,50,1,3,38,3,3,30,2,3,40,1,2,30,1,3,35,2,3
0,17,17,0,6,6,0,1,1,34.77777778,41,1,3,30,1,3,40,1,3,40,1,2,30,1,3,35,1,3
3,17,17,0,6,6,0,2,3,33.16666667,35,2,3,38,1,3,30,3,3,40,1,2,32,1,3,30,2,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
3,17,0,17,4,0,6,2,3,0,15,2,3,15,1,3,0,0,3,24,2,2,15,2,3,0,0,3
4,17,14,3,6,5,1,2,3,33.91666667,30,2,3,30,1,3,25,5,3,40,1,2,30,2,3,30,2,3
0,17,17,0,6,6,0,1,1,36.22222222,50,1,3,30,1,3,35,1,3,40,1,2,30,1,3,35,1,3
0,17,17,0,6,6,0,1,1,36.38888889,50,1,3,35,1,3,40,1,3,30,1,2,35,1,3,35,1,3
1,17,17,0,6,6,0,1,1,32.77777778,35,2,3,35,1,3,30,1,3,35,1,2,30,1,3,35,1,3
2,17,11,6,5,4,2,1,1,31.22222222,50,1,3,34,1,3,8,2,3,35,2,2,0,0,3,30,1,3
0,17,2,15,1,1,5,2,3,0,0,0,3,0,0,3,0,0,3,40,1,2,0,0,3,0,0,3
