CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,ESTADO DOS,PROMEDIO_TRES,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_MULTI,VECES_MULTI,CREDITOS_MULTI,NOTA_ECUA,VECES_ECUA,CREDITOS_ECUA,NOTA_FOTO,VECES_FOTO,CREDITOS_FOTO,NOTA_SUELOS,VECES_SUELOS,CREDITOS_SUELOS
2,17,17,0,6,6,0,1,1,34.72222222,45,1,1,45,1,3,30,1,3,30,2,3,35,1,3,35,1,2,30,1,3
2,17,17,0,6,6,0,2,3,35.55555556,45,1,1,40,1,3,39,1,3,31,2,3,30,1,3,35,1,2,35,1,3
1,17,11,6,5,4,2,1,1,38,38,2,1,0,0,3,0,1,3,0,1,3,0,1,3,0,1,2,0,0,3
1,17,17,0,6,6,0,1,1,33.88888889,45,1,1,40,1,3,30,1,3,30,1,3,35,1,3,35,1,2,30,1,3
2,17,17,0,6,6,0,1,1,36.55555556,45,1,1,40,1,3,36,1,3,30,1,3,40,1,3,35,1,2,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
2,17,0,17,2,0,6,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
2,17,17,0,6,6,0,1,1,34.44444444,40,1,1,35,1,3,35,1,3,30,1,3,40,1,3,35,1,2,30,1,3
0,0,0,0,0,0,0,0,2,15,15,1,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
3,17,17,0,6,6,0,2,3,25.4,39,1,1,31,1,3,30,1,3,3,1,3,0,0,3,30,1,2,30,1,3
