iter	RMSE
0	11.90424931
1	11.60585204
2	11.31113529
3	11.03023594
4	10.77763978
5	10.55115611
6	10.34778662
7	10.12636599
8	9.926755729
9	9.738312089
10	9.556604935
11	9.388404747
12	9.227025003
13	9.087542799
14	8.945111665
15	8.803181317
16	8.670798328
17	8.569710767
18	8.440106447
19	8.346056722
20	8.227800025
21	8.115588884
22	8.010499244
23	7.938926501
24	7.855964758
25	7.789250155
26	7.703383613
27	7.627463202
28	7.564944721
29	7.501430181
30	7.42928375
31	7.373641424
32	7.326741989
33	7.279544693
34	7.238100175
35	7.193092958
36	7.147322871
37	7.095202184
38	7.05655948
39	7.019856922
40	6.985850394
41	6.961606311
42	6.920914793
43	6.890122199
44	6.86120623
45	6.8282518
46	6.798527592
47	6.775253982
48	6.744918737
49	6.728838357
50	6.710787581
51	6.684597536
52	6.656892354
53	6.640432226
54	6.622733026
55	6.605520133
56	6.58173647
57	6.559821306
58	6.54548481
59	6.534689369
60	6.517815727
61	6.499821038
62	6.486656326
63	6.469301793
64	6.45482
65	6.43758226
66	6.425019988
67	6.406614308
68	6.394161918
69	6.38403536
70	6.373626015
71	6.357966776
72	6.345154464
73	6.335453238
74	6.327795269
75	6.316612906
76	6.306151482
77	6.291373466
78	6.28279151
79	6.274852486
80	6.266010847
81	6.25764665
82	6.251359563
83	6.237122855
84	6.229104495
85	6.222528457
86	6.21007145
87	6.203319011
88	6.191830229
89	6.183172562
90	6.172595327
91	6.162523277
92	6.157621468
93	6.149018787
94	6.145007297
95	6.141133133
96	6.130689628
97	6.12366076
98	6.116958342
99	6.112483065
100	6.101292792
101	6.093789133
102	6.084647898
103	6.080503991
104	6.072910362
105	6.07025068
106	6.063327485
107	6.056843262
108	6.049591758
109	6.043652501
110	6.037660845
111	6.027039811
112	6.021500935
113	6.0185019
114	6.014551088
115	6.005021755
116	6.000394946
117	5.987935222
118	5.975299835
119	5.967720101
120	5.964876358
121	5.960214834
122	5.951987609
123	5.948958664
124	5.942731742
