NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_HIST,VECES_HIST,CREDITOS_HIST,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA,NOTA_CD&C,VECES_CD&C,CREDITOS_CD&C,NOTA_DITO,VECES_DITO,CREDITOS_DITO,CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,ESTADO_UNO,PROMEDIO_DOS
30,2,4,40,1,2,40,1,1,45,1,2,35,1,3,35,1,1,35,1,2,1,15,15,0,7,7,0,1,1,36.17647059
30,2,4,45,1,2,45,1,1,45,1,2,30,2,3,35,1,1,35,1,2,2,15,15,0,7,7,0,1,1,35.17647059
30,3,4,30,1,2,45,1,1,45,1,2,30,3,3,39,3,1,33,3,2,4,15,15,0,7,7,0,2,3,29.64285714
30,1,4,45,1,2,45,1,1,45,1,2,40,1,3,30,1,1,35,1,2,0,15,15,0,7,7,0,1,1,32.94117647
30,1,4,45,1,2,40,1,1,45,1,2,30,2,3,30,1,1,30,1,2,1,15,15,0,7,7,0,1,1,32.35294118
15,1,4,15,1,2,35,1,1,15,1,2,15,1,3,15,1,1,15,1,2,0,15,1,14,7,1,6,2,3,0
15,4,4,35,1,2,50,1,1,35,1,2,15,4,3,45,2,1,15,4,2,4,15,6,9,7,4,3,2,3,15
30,1,4,45,1,2,45,1,1,45,1,2,30,1,3,30,1,1,35,1,2,0,15,15,0,7,7,0,1,1,33.52941176
15,2,4,15,1,2,15,1,1,15,2,2,15,2,3,15,1,1,15,2,2,4,15,0,15,7,0,7,2,3,0
15,1,4,25,1,2,45,1,1,40,1,2,20,1,3,15,1,1,15,1,2,0,15,3,12,7,2,5,2,3,0
30,2,4,40,1,2,50,1,1,40,1,2,30,3,3,30,1,1,35,1,2,2,15,15,0,7,7,0,2,3,34.94117647
30,1,4,40,1,2,45,1,1,40,1,2,45,1,3,30,1,1,40,1,2,0,15,15,0,7,7,0,1,1,32.35294118
30,1,4,40,1,2,40,1,1,40,1,2,40,1,3,30,1,1,35,1,2,0,15,15,0,7,7,0,1,1,31.17647059
35,3,4,30,2,2,35,2,1,40,1,2,35,3,3,45,2,1,40,2,2,6,15,15,0,7,7,0,2,3,34.11764706
23,7,4,40,4,2,35,1,1,36,3,2,30,5,3,40,3,1,39,5,2,6,15,11,4,7,6,1,2,3,31
35,2,4,40,1,2,45,1,1,45,1,2,30,1,3,30,1,1,35,1,2,1,15,15,0,7,7,0,1,1,34.11764706
