NOTA_L_UNO,VECES_L_UNO,CREDITOS_L_UNO,NOTA_FIS_TRES,VECES_FIS_TRES,CREDITOS_FIS_TRES,NOTA_CCON,VECES_CCON,CREDITOS_CCON,NOTA_PROB,VECES_PROB,CREDITOS_PROB,NOTA_GEOGEO,VECES_GEOGEO,CREDITOS_GEOGEO,NOTA_PRII,VECES_PRII,CREDITOS_PRII,NOTA_GHF,VECES_GHF,CREDITOS_GHF,CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,ESTADO CUATRO,PROMEDIO_CINCO
30,1,2,39,1,3,40,1,1,40,1,2,32,1,3,38,1,3,40,1,3,0,17,17,0,7,7,0,1,1,36.83333333
40,1,2,30,2,3,36,1,1,38,1,2,40,2,3,37,1,3,40,1,3,2,17,17,0,7,7,0,1,1,38.66666667
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
45,1,2,30,1,3,40,1,1,35,1,2,40,1,3,38,1,3,45,1,3,0,17,17,0,7,7,0,1,1,38.77777778
40,1,2,32,1,3,40,1,1,43,1,2,31,1,3,41,1,3,40,1,3,0,17,17,0,7,7,0,1,1,34.83333333
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
39,1,2,32,1,3,39,1,1,30,1,2,37,1,3,35,1,3,35,1,3,0,17,17,0,7,7,0,1,1,35.05555556
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,30,2,3,36,1,1,30,1,2,0,0,3,35,1,3,35,1,3,1,17,12,5,6,5,2,1,1,28.75
35,1,2,33,1,3,40,1,1,35,1,2,35,2,3,30,1,3,40,1,3,1,17,17,0,7,7,0,1,1,35.88888889
40,1,2,0,0,3,0,0,1,0,0,2,0,0,3,25,1,3,30,1,3,0,17,5,12,3,2,5,2,3,0
40,1,2,32,1,3,38,1,1,30,1,2,36,1,3,38,1,3,31,1,3,0,17,17,0,7,7,0,1,1,37.05555556
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
45,1,2,30,1,3,40,1,1,30,1,2,36,1,3,41,1,3,45,1,3,0,17,17,0,7,7,0,1,1,36.77777778
45,1,2,34,1,3,43,1,1,40,1,2,30,1,3,40,1,3,45,1,3,0,17,17,0,7,7,0,1,1,35.83333333
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
43,1,2,30,1,3,30,1,1,37,1,2,38,2,3,44,1,3,40,2,3,2,17,17,0,7,7,0,1,1,34.61111111
0,0,2,35,1,3,40,1,1,0,0,2,0,0,3,38,1,3,0,0,3,0,17,7,10,4,3,4,2,3,30
40,1,2,39,1,3,34,1,1,38,1,2,30,1,3,41,1,3,35,1,3,0,17,17,0,7,7,0,1,1,36.38888889
45,1,2,39,1,3,45,1,1,40,1,2,33,1,3,40,1,3,45,1,3,0,17,17,0,7,7,0,1,1,37.33333333
41,1,2,41,1,3,35,1,1,30,1,2,30,1,3,30,1,3,32,1,3,0,17,17,0,7,7,0,1,1,39.22222222
48,1,2,36,2,3,40,1,1,30,1,2,40,1,3,39,1,3,40,1,3,1,17,17,0,7,7,0,1,1,37.94444444
46,1,2,36,2,3,35,1,1,37,1,2,38,1,3,39,1,3,35,1,3,1,17,17,0,7,7,0,1,1,38.55555556
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
47,1,2,44,1,3,35,1,1,30,1,2,45,1,3,35,1,3,40,1,3,0,17,17,0,7,7,0,1,1,38.27777778
45,1,2,30,1,3,45,1,1,30,1,2,40,1,3,40,1,3,45,1,3,0,17,17,0,7,7,0,1,1,36.61111111
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
38,1,2,40,1,3,35,1,1,30,1,2,30,1,3,38,1,3,35,1,3,0,17,17,0,7,7,0,1,1,36.66666667
45,1,2,40,1,3,44,1,1,35,1,2,31,1,3,40,1,3,45,1,3,0,17,17,0,7,7,0,1,1,37.66666667
45,1,2,37,2,3,41,1,1,46,1,2,38,1,3,39,1,3,32,1,3,1,17,17,0,7,7,0,1,1,35.16666667
40,1,2,31,1,3,40,1,1,39,1,2,34,1,3,46,1,3,35,1,3,0,17,17,0,7,7,0,1,1,38.38888889
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
34,1,2,38,1,3,44,1,1,43,1,2,31,1,3,35,1,3,35,1,3,0,17,17,0,7,7,0,1,1,34.88888889
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
45,1,2,35,1,3,45,1,1,35,1,2,30,1,3,40,1,3,45,1,3,0,17,17,0,7,7,0,1,1,39.05555556
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,24
34,1,2,32,1,3,38,1,1,44,1,2,32,1,3,39,2,3,32,1,3,1,17,17,0,7,7,0,1,1,35.94444444
45,1,2,40,1,3,40,1,1,40,1,2,37,2,3,33,1,3,30,1,3,1,17,17,0,7,7,0,1,1,36.94444444
42,1,2,0,0,3,30,1,1,45,2,2,0,0,3,40,1,3,30,1,3,1,17,11,6,5,5,2,1,1,34.25
44,1,2,44,1,3,44,1,1,40,1,2,50,1,3,40,1,3,40,1,3,0,17,17,0,7,7,0,1,1,40.5
40,1,2,38,1,3,40,1,1,30,1,2,36,2,3,36,1,3,32,1,3,1,17,17,0,7,7,0,1,1,35.16666667
43,1,2,33,1,3,40,1,1,32,1,2,36,1,3,44,1,3,38,1,3,0,17,17,0,7,7,0,1,1,35.27777778
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
45,1,2,30,1,3,46,1,1,40,1,2,34,2,3,34,1,3,35,1,3,1,17,17,0,7,7,0,1,1,34.83333333
44,1,2,35,1,3,44,1,1,30,1,2,30,1,3,30,1,3,32,2,3,1,17,17,0,7,7,0,1,1,35.22222222
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
40,1,2,0,0,3,36,1,1,35,1,2,31,1,3,35,2,3,30,1,3,1,17,14,3,6,6,1,1,1,36.53846154
40,1,2,30,1,3,35,1,1,33,1,2,30,1,3,39,1,3,31,1,3,0,17,17,0,7,7,0,1,1,33.55555556
43,1,2,31,1,3,42,1,1,42,1,2,32,1,3,32,1,3,40,2,3,1,17,17,0,7,7,0,1,1,33.83333333
40,1,2,41,1,3,41,1,1,30,1,2,32,1,3,35,1,3,35,1,3,0,17,17,0,7,7,0,1,1,40.5
45,1,2,30,1,3,35,1,1,46,1,2,40,1,3,37,1,3,35,1,3,0,17,17,0,7,7,0,1,1,37
49,1,2,37,1,3,35,1,1,41,1,2,33,2,3,35,1,3,32,1,3,1,17,17,0,7,7,0,1,1,37.5
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
37,2,2,31,1,3,41,1,1,42,1,2,32,1,3,41,1,3,50,1,3,1,17,17,0,7,7,0,1,1,36.72222222
45,1,2,33,1,3,43,1,1,41,1,2,32,1,3,39,1,3,35,1,3,0,17,17,0,7,7,0,1,1,38.11111111
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
33,1,2,33,1,3,43,1,1,30,1,2,33,1,3,46,1,3,34,1,3,0,17,17,0,7,7,0,1,1,35.05555556
35,1,2,31,2,3,37,1,1,40,1,2,30,1,3,42,1,3,35,1,3,1,17,17,0,7,7,0,1,1,32.33333333
47,1,2,35,1,3,44,1,1,48,2,2,37,1,3,39,1,3,35,1,3,1,17,17,0,7,7,0,1,1,35.11111111
50,1,2,36,1,3,40,1,1,30,1,2,33,1,3,37,1,3,40,1,3,0,17,17,0,7,7,0,1,1,37.66666667
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
45,1,2,38,1,3,47,1,1,35,1,2,36,1,3,38,1,3,37,1,3,0,17,17,0,7,7,0,1,1,40.61111111
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
40,1,2,35,1,3,42,1,1,32,2,2,39,1,3,30,1,3,35,1,3,1,17,17,0,7,7,0,1,1,33.16666667
45,1,2,30,1,3,45,2,1,30,1,2,30,1,3,38,1,3,40,1,3,1,17,17,0,7,7,0,1,1,34.66666667
43,1,2,30,1,3,35,1,1,30,1,2,34,1,3,40,1,3,35,1,3,0,17,17,0,7,7,0,1,1,38
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
36,1,2,30,2,3,35,1,1,37,1,2,34,1,3,37,1,3,35,1,3,1,17,17,0,7,7,0,1,1,37.44444444
40,1,2,34,1,3,35,1,1,45,1,2,32,2,3,36,1,3,38,2,3,2,17,17,0,7,7,0,1,1,36.55555556
0,0,2,38,1,3,34,1,1,45,1,2,38,1,3,34,1,3,33,1,3,0,17,15,2,7,6,1,1,1,32.22222222
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
31,1,2,0,0,3,39,1,1,0,0,2,0,0,3,0,0,3,32,1,3,0,17,6,11,3,3,4,2,3,28.4
35,1,2,38,2,3,43,1,1,30,1,2,31,2,3,46,1,3,32,2,3,3,17,17,0,7,7,0,1,1,38.11111111
45,1,2,30,1,3,40,1,1,50,1,2,42,1,3,41,1,3,40,1,3,0,17,17,0,7,7,0,1,1,39.44444444
0,0,2,0,0,3,35,1,1,35,1,2,38,1,3,37,1,3,35,1,3,0,17,12,5,6,5,2,1,1,32.75
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
35,1,2,39,1,3,45,1,1,39,1,2,30,1,3,40,1,3,34,1,3,0,17,17,0,7,7,0,1,1,37.16666667
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
40,1,2,32,1,3,44,1,1,30,1,2,33,1,3,36,1,3,35,1,3,0,17,17,0,7,7,0,1,1,35.38888889
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
42,1,2,39,1,3,44,1,1,43,1,2,32,1,3,37,1,3,35,2,3,1,17,17,0,7,7,0,1,1,35.05555556
40,1,2,39,1,3,45,1,1,35,1,2,37,2,3,40,1,3,34,1,3,1,17,17,0,7,7,0,1,1,39
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,31,1,2,30,1,3,0,0,3,0,0,3,0,17,5,12,3,2,5,2,3,0
0,0,2,0,0,3,44,1,1,42,1,2,38,1,3,35,1,3,42,1,3,0,17,12,5,6,5,2,1,1,28.5
39,1,2,36,1,3,44,1,1,45,1,2,30,1,3,36,1,3,34,1,3,0,17,17,0,7,7,0,1,1,35.72222222
45,1,2,40,2,3,43,1,1,43,1,2,38,1,3,39,1,3,34,1,3,1,17,17,0,7,7,0,1,1,36.55555556
34,1,2,30,1,3,40,1,1,32,1,2,37,1,3,31,1,3,30,2,3,1,17,17,0,7,7,0,1,1,34.61111111
43,1,2,36,2,3,44,1,1,30,1,2,34,1,3,38,1,3,47,1,3,1,17,17,0,7,7,0,1,1,35.33333333
48,1,2,37,1,3,41,1,1,46,1,2,35,1,3,32,1,3,36,1,3,0,17,17,0,7,7,0,1,1,36.38888889
30,2,2,34,1,3,44,1,1,47,2,2,39,1,3,36,1,3,30,1,3,2,17,17,0,7,7,0,1,1,35.94444444
0,0,2,0,0,3,39,1,1,0,0,2,0,0,3,0,0,3,0,0,3,0,17,1,16,2,1,6,2,3,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
41,1,2,30,1,3,46,1,1,30,1,2,32,2,3,38,1,3,36,1,3,1,17,17,0,7,7,0,1,1,38.16666667
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
40,1,2,36,1,3,40,1,1,30,1,2,38,2,3,34,1,3,45,1,3,1,17,17,0,7,7,0,1,1,34
39,1,2,30,2,3,42,1,1,38,1,2,40,1,3,41,2,3,38,1,3,2,17,17,0,7,7,0,1,1,33.94444444
35,1,2,39,1,3,35,1,1,30,1,2,34,2,3,35,1,3,40,1,3,1,17,17,0,7,7,0,1,1,34.5
30,1,2,35,1,3,30,1,1,40,1,2,33,1,3,39,1,3,35,1,3,0,17,17,0,7,7,0,1,1,37.16666667
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
42,1,2,35,1,3,45,1,1,46,1,2,36,1,3,37,1,3,38,1,3,0,17,17,0,7,7,0,1,1,38.05555556
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
50,1,2,30,1,3,33,1,1,33,1,2,36,2,3,35,1,3,45,1,3,1,17,17,0,7,7,0,1,1,35.16666667
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,20,1,3,0,17,0,17,2,0,7,2,3,36
46,1,2,42,1,3,39,1,1,47,1,2,42,1,3,44,1,3,40,1,3,0,17,17,0,7,7,0,1,1,38.5
45,1,2,37,1,3,40,1,1,38,1,2,40,1,3,38,1,3,38,1,3,0,17,17,0,7,7,0,1,1,36.33333333
47,1,2,38,1,3,39,1,1,38,1,2,32,1,3,36,1,3,36,1,3,0,17,17,0,7,7,0,1,1,37.66666667
31,1,2,0,0,3,34,1,1,0,0,2,0,0,3,0,0,3,0,0,3,0,17,3,14,2,2,5,2,3,10
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
40,1,2,32,2,3,37,1,1,42,1,2,36,1,3,38,1,3,40,1,3,1,17,17,0,7,7,0,1,1,35.83333333
45,1,2,30,1,3,39,1,1,35,1,2,39,2,3,30,1,3,31,1,3,1,17,17,0,7,7,0,1,1,37.11111111
40,1,2,39,1,3,45,1,1,47,1,2,31,1,3,41,1,3,41,1,3,0,17,17,0,7,7,0,1,1,38.16666667
50,1,2,41,1,3,44,1,1,47,1,2,36,1,3,39,1,3,40,1,3,0,17,17,0,7,7,0,1,1,41.55555556
40,1,2,33,1,3,39,1,1,44,1,2,32,1,3,46,1,3,37,1,3,0,17,17,0,7,7,0,1,1,38.05555556
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
45,1,2,38,1,3,40,1,1,48,1,2,42,1,3,40,1,3,40,1,3,0,17,17,0,7,7,0,1,1,37.05555556
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
45,1,2,43,1,3,42,1,1,46,1,2,30,1,3,42,1,3,40,1,3,0,17,17,0,7,7,0,1,1,41.11111111
35,1,2,38,2,3,41,1,1,32,1,2,33,1,3,34,1,3,35,1,3,1,17,17,0,7,7,0,1,1,33.77777778
45,1,2,31,1,3,38,1,1,40,1,2,36,1,3,39,1,3,30,1,3,0,17,17,0,7,7,0,1,1,40.11111111
45,1,2,44,1,3,40,1,1,44,1,2,34,1,3,37,1,3,38,1,3,0,17,17,0,7,7,0,1,1,37.72222222
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
40,1,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,17,2,15,1,1,6,2,3,10
