CAR_CINCO,NCC_CINCO,NCA_CINCO,NCP_CINCO,NAC_CINCO,NAA_CINCO,NAP_CINCO,EPA_CINCO,ESTADO CINCO,PROMEDIO_SEIS,NOTA_ECO_UNO,VECES_ECO_UNO,CREDITOS_ECO_UNO,NOTA_ME,VECES_ME,CREDITOS_ME,NOTA_EST,VECES_EST,CREDITOS_EST,NOTA_AGEO,VECES_AGEO,CREDITOS_AGEO,NOTA_BD,VECES_BD,CREDITOS_BD,NOTA_CARTO,VECES_CARTO,CREDITOS_CARTO,NOTAS_SISC,VECES_SISC,CREDITOS_SISC
1,18,18,0,7,7,0,1,1,38.35294118,36,1,2,34,1,2,35,1,2,40,1,3,30,1,3,43,1,3,38,2,3
1,18,18,0,7,7,0,1,1,36.35294118,34,1,2,30,2,2,44,1,2,33,1,3,42,1,3,39,1,3,46,1,3
0,0,0,0,0,0,0,0,2,50,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
2,18,18,0,7,7,0,1,1,41,37,1,2,31,2,2,41,1,2,38,2,3,39,1,3,44,1,3,39,1,3
2,18,18,0,7,7,0,1,1,38.88235294,32,2,2,30,1,2,40,1,2,30,2,3,30,1,3,41,1,3,40,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,39.64705882,33,1,2,38,2,2,42,1,2,30,1,3,30,1,3,40,1,3,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,6,12,3,2,5,2,3,0,25,3,2,0,0,2,0,0,2,0,0,3,30,1,3,30,1,3,0,0,3
1,18,18,0,7,7,0,1,1,38.52941176,32,1,2,32,1,2,46,1,2,35,2,3,39,1,3,33,1,3,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
2,18,18,0,7,7,0,2,3,37.47058824,34,3,2,32,1,2,35,1,2,37,2,3,46,1,3,39,1,3,33,1,3
0,0,0,0,0,0,0,0,2,39,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,1,38.52941176,30,1,2,37,1,2,45,1,2,31,1,3,33,1,3,41,1,3,41,1,3
1,18,18,0,7,7,0,1,1,40.76470588,30,1,2,30,1,2,42,1,2,32,1,3,37,2,3,35,1,3,43,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
3,18,18,0,7,7,0,1,1,38.05882353,33,2,2,31,2,2,45,1,2,32,1,3,31,1,3,32,1,3,40,2,3
0,18,3,15,1,1,6,2,3,0,0,0,2,0,0,2,0,0,2,0,0,3,30,1,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,37.11764706,37,2,2,42,1,2,37,1,2,37,1,3,35,1,3,39,1,3,30,1,3
1,18,18,0,7,7,0,1,1,39.52941176,42,1,2,38,2,2,46,1,2,35,1,3,30,1,3,37,1,3,38,1,3
3,18,18,0,7,7,0,1,1,38.64705882,35,2,2,36,2,2,45,1,2,40,1,3,38,2,3,41,1,3,39,1,3
1,18,18,0,7,7,0,1,1,38.17647059,32,1,2,37,1,2,40,1,2,37,2,3,41,1,3,40,1,3,37,1,3
1,18,18,0,7,7,0,1,1,36.88235294,30,1,2,34,1,2,46,1,2,38,2,3,39,1,3,37,1,3,44,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
2,18,18,0,7,7,0,1,1,41.11764706,34,1,2,32,1,2,46,1,2,35,2,3,46,2,3,39,1,3,35,1,3
1,18,18,0,7,7,0,1,1,40.05882353,37,1,2,30,1,2,42,1,2,30,1,3,45,2,3,37,1,3,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
