NOTA_EE_UNO,VECES_EE_UNO,CREDITOS_EE_UNO,NOTA_L_DOS,VECES_L_DOS,CREDITOS_L_DOS,NOTA_HSE,VECES_HSE,CREDITOS_HSE,NOTA_INGECO,VECES_INGECO,CREDITOS_INGECO,NOTA_GEO_FIS,VECES GEO_FIS,CREDITOS_GEO_FIS,NOTA_SIG,VECES_SIG,CREDITOS_SIG,NOTA_LEGIC,VECES_LEGIC,CREDITOS_LEGIC,NOTA_ECO_DOS,VECES_ECO_DOS,CREDITO_ECO_DOS,CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,ESTADO SEIS,PROMEDIO_SIETE
43,1,2,44,1,2,36,1,1,34,1,2,37,2,3,33,1,3,42,1,2,40,1,2,1,17,17,0,8,8,0,1,1,40.375
40,1,2,30,1,2,38,1,1,30,1,2,30,2,3,40,1,3,43,1,2,42,1,2,1,17,17,0,8,8,0,1,1,39.5625
50,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,2,1,7,2,3,0
42,1,2,40,1,2,48,1,1,42,1,2,37,2,3,40,1,3,44,1,2,41,1,2,1,17,17,0,8,8,0,1,1,40.9375
46,1,2,32,1,2,47,1,1,42,1,2,36,1,3,38,2,3,38,1,2,38,1,2,1,17,17,0,8,8,0,1,1,36.1875
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
45,1,2,36,1,2,46,1,1,42,1,2,42,1,3,38,1,3,37,1,2,34,1,2,0,17,17,0,8,8,0,1,1,38.5
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
49,1,2,41,1,2,39,1,1,31,1,2,45,1,3,33,1,3,37,1,2,33,1,2,0,17,17,0,8,8,0,1,1,39.0625
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
40,1,2,37,1,2,43,1,1,38,1,2,38,2,3,34,1,3,39,1,2,35,1,2,1,17,17,0,8,8,0,1,1,39.375
39,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,2,1,7,2,3,0
38,1,2,40,1,2,43,1,1,36,1,2,36,2,3,40,1,3,37,1,2,41,1,2,1,17,17,0,8,8,0,1,1,37.75
50,1,2,41,1,2,45,1,1,42,1,2,30,1,3,38,1,3,43,1,2,46,1,2,0,17,17,0,8,8,0,1,1,38.375
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
38,1,2,41,1,2,35,1,1,35,1,2,40,1,3,42,1,3,38,1,2,31,1,2,0,17,17,0,8,8,0,1,1,36.5625
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
44,1,2,35,1,2,45,1,1,40,1,2,31,1,3,37,1,3,35,1,2,37,1,2,0,17,17,0,8,8,0,1,1,35.25
42,1,2,43,1,2,45,1,1,37,1,2,30,1,3,43,1,3,42,1,2,40,1,2,0,17,17,0,8,8,0,1,1,36.5
42,1,2,42,1,2,43,1,1,34,1,2,36,2,3,40,1,3,39,1,2,36,1,2,1,17,17,0,8,8,0,1,1,35.8125
43,1,2,46,1,2,32,1,1,35,1,2,30,1,3,41,1,3,38,1,2,40,1,2,0,17,17,0,8,8,0,1,1,37.0625
40,1,2,46,1,2,40,1,1,33,2,2,31,3,3,38,1,3,41,1,2,30,1,2,2,17,17,0,8,8,0,2,3,40.3125
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
50,1,2,43,1,2,44,1,1,43,1,2,37,1,3,40,1,3,40,1,2,36,1,2,0,17,17,0,8,8,0,1,1,37.3125
43,1,2,39,1,2,47,1,1,45,1,2,34,1,3,38,1,3,42,1,2,40,1,2,0,17,17,0,8,8,0,1,1,38.1875
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
48,1,2,45,1,2,39,1,1,39,1,2,32,1,3,39,1,3,38,1,2,36,1,2,0,17,17,0,8,8,0,1,1,38.1875
45,1,2,44,1,2,45,1,1,44,1,2,35,1,3,42,1,3,38,1,2,41,1,2,0,17,17,0,8,8,0,1,1,38.9375
47,1,2,45,1,2,44,1,1,37,1,2,30,4,3,36,1,3,35,1,2,37,1,2,1,17,17,0,8,8,0,2,3,39
49,1,2,39,1,2,43,1,1,43,1,2,43,1,3,40,1,3,38,1,2,38,1,2,0,17,17,0,8,8,0,1,1,40.625
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
41,1,2,39,1,2,42,1,1,44,1,2,41,1,3,38,1,3,37,1,2,34,1,2,0,17,17,0,8,8,0,1,1,37.25
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
47,1,2,42,1,2,43,1,1,45,1,2,36,2,3,36,1,3,36,1,2,33,1,2,1,17,17,0,8,8,0,1,1,28.25
33,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,2,1,7,2,3,0
41,1,2,36,2,2,37,1,1,34,1,2,34,3,3,35,2,3,35,1,2,30,1,2,3,17,17,0,8,8,0,2,3,40.1875
47,1,2,35,1,2,44,1,1,43,1,2,31,1,3,40,1,3,40,1,2,33,1,2,0,17,17,0,8,8,0,1,1,38.8125
50,1,2,0,0,2,33,1,1,33,1,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,5,12,4,3,5,2,3,30
36,1,2,43,1,2,43,1,1,39,1,2,38,1,3,44,1,3,38,1,2,47,1,2,0,17,17,0,8,8,0,1,1,39.875
37,1,2,33,1,2,42,1,1,31,1,2,31,1,3,39,1,3,37,1,2,37,1,2,0,17,17,0,8,8,0,1,1,35.0625
43,1,2,43,1,2,42,1,1,40,1,2,31,2,3,39,1,3,40,1,2,37,1,2,1,17,17,0,8,8,0,1,1,39.0625
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
44,1,2,32,1,2,46,1,1,45,1,2,30,1,3,34,1,3,39,1,2,37,1,2,0,17,17,0,8,8,0,1,1,37.6875
36,1,2,44,1,2,46,1,1,36,1,2,38,2,3,38,1,3,39,1,2,33,1,2,1,17,17,0,8,8,0,1,1,37.75
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
32,1,2,0,0,2,45,1,1,34,1,2,0,0,3,0,0,3,38,1,2,34,1,2,0,17,9,8,6,5,3,2,3,33
42,1,2,43,1,2,40,1,1,38,1,2,40,1,3,33,1,3,34,1,2,39,1,2,0,17,17,0,8,8,0,1,1,39.9375
42,1,2,34,1,2,39,1,1,46,2,2,30,2,3,31,2,3,33,1,2,38,1,2,3,17,17,0,8,8,0,1,1,35.875
41,1,2,44,1,2,44,1,1,31,1,2,31,1,3,42,1,3,39,1,2,35,1,2,0,17,17,0,8,8,0,1,1,43.0625
39,1,2,39,1,2,36,1,1,36,1,2,32,1,3,38,1,3,37,1,2,36,1,2,0,17,17,0,8,8,0,1,1,36.125
47,1,2,43,1,2,43,1,1,37,1,2,33,1,3,37,1,3,42,1,2,37,1,2,0,17,17,0,8,8,0,1,1,39.6875
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
36,1,2,39,1,2,42,1,1,50,1,2,30,3,3,33,1,3,39,1,2,43,1,2,1,17,17,0,8,8,0,2,3,38.0625
40,1,2,47,1,2,46,1,1,44,1,2,33,1,3,40,1,3,40,1,2,45,1,2,0,17,17,0,8,8,0,1,1,36.125
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
50,1,2,34,1,2,47,1,1,32,1,2,35,1,3,30,1,3,34,1,2,35,1,2,0,17,17,0,8,8,0,1,1,37.6875
37,1,2,33,1,2,33,1,1,34,1,2,39,2,3,38,1,3,37,1,2,37,1,2,1,17,17,0,8,8,0,1,1,37.4375
44,1,2,45,1,2,46,1,1,47,1,2,40,2,3,42,1,3,43,1,2,43,1,2,1,17,17,0,8,8,0,1,1,39.125
46,1,2,47,1,2,43,1,1,36,1,2,33,2,3,41,1,3,44,1,2,38,1,2,1,17,17,0,8,8,0,1,1,40.375
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
42,1,2,47,1,2,47,1,1,49,1,2,30,1,3,41,1,3,39,1,2,34,1,2,0,17,17,0,8,8,0,1,1,41.5
50,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,2,1,7,2,3,0
44,1,2,36,2,2,42,1,1,30,3,2,30,1,3,31,2,3,31,1,2,33,2,2,4,17,17,0,8,8,0,2,3,35.1875
46,1,2,34,1,2,36,1,1,36,1,2,32,1,3,31,1,3,39,1,2,34,1,2,0,17,17,0,8,8,0,1,1,38
50,1,2,43,1,2,47,1,1,33,1,2,40,1,3,36,1,3,42,1,2,45,1,2,0,17,17,0,8,8,0,1,1,39.0625
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
50,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,2,1,7,2,3,0
46,1,2,40,1,2,45,1,1,35,1,2,31,3,3,34,1,3,42,1,2,30,1,2,1,17,17,0,8,8,0,2,3,37.4375
41,1,2,36,1,2,42,1,1,43,1,2,33,1,3,38,1,3,38,1,2,39,1,2,0,17,17,0,8,8,0,1,1,42.9375
15,1,2,0,0,2,48,1,1,30,1,2,0,0,3,30,2,3,36,1,2,38,1,2,1,17,10,7,7,5,3,2,3,33.84615385
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
50,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,2,1,7,2,3,0
0,0,2,0,0,2,39,1,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,1,16,2,1,7,2,3,0
41,1,2,30,1,2,46,1,1,37,1,2,30,1,3,41,1,3,42,1,2,47,1,2,0,17,17,0,8,8,0,1,1,38.625
50,1,2,41,1,2,40,1,1,42,1,2,33,1,3,38,1,3,35,1,2,45,1,2,0,17,17,0,8,8,0,1,1,38.8125
45,1,2,0,0,2,44,1,1,0,0,2,0,0,3,33,1,3,40,1,2,0,0,2,0,17,8,9,5,4,4,2,3,0
0,,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,1,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
35,1,2,36,1,2,41,1,1,43,1,2,31,1,3,36,1,3,40,1,2,39,1,2,0,17,17,0,8,8,0,1,1,35.75
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
40,1,2,42,1,2,46,1,1,34,1,2,42,1,3,39,1,3,37,1,2,37,1,2,0,17,17,0,8,8,0,1,1,41.4375
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
44,1,2,37,1,2,41,1,1,36,1,2,30,1,3,40,1,3,39,1,2,35,1,2,0,17,17,0,8,8,0,1,1,39.75
44,1,2,40,1,2,43,1,1,30,1,2,37,2,3,36,1,3,38,1,2,38,1,2,1,17,17,0,8,8,0,1,1,37.6875
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
36,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,2,1,7,2,3,0
39,1,2,0,0,2,41,1,1,30,1,2,0,0,3,11,1,3,38,1,2,37,1,2,0,17,9,8,7,5,3,2,3,22
47,1,2,37,1,2,43,1,1,35,1,2,30,1,3,37,1,3,38,1,2,38,1,2,0,17,17,0,8,8,0,1,1,37.9375
44,1,2,43,1,2,46,1,1,36,1,2,30,2,3,37,1,3,34,1,2,38,1,2,1,17,17,0,8,8,0,1,1,39.4375
34,1,2,32,3,2,47,1,1,34,2,2,30,1,3,31,1,3,43,1,2,38,1,2,2,17,17,0,8,8,0,2,3,36.875
43,1,2,31,1,2,40,1,1,33,3,2,30,2,3,32,1,3,37,1,2,42,1,2,2,17,17,0,8,8,0,2,3,37.75
33,1,2,35,1,2,43,1,1,35,1,2,31,1,3,32,1,3,36,1,2,31,1,2,0,17,17,0,8,8,0,1,1,39.625
38,1,2,33,1,2,40,1,1,41,1,2,33,1,3,30,1,3,38,1,2,32,1,2,0,17,17,0,8,8,0,1,1,35.5
50,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,2,1,7,2,3,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
50,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,2,1,7,2,3,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
47,1,2,38,1,2,46,1,1,34,1,2,34,1,3,41,1,3,42,1,2,45,1,2,0,17,17,0,8,8,0,1,1,39
50,1,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,2,1,7,2,3,0
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
47,1,2,42,1,2,38,1,1,43,1,2,32,2,3,37,1,3,41,1,2,35,1,2,1,17,17,0,8,8,0,1,1,39.6875
32,1,2,37,1,2,41,1,1,32,2,2,32,2,3,37,1,3,39,1,2,39,1,2,2,17,17,0,8,8,0,1,1,36.875
41,1,2,32,1,2,32,1,1,31,1,2,30,3,3,33,1,3,37,1,2,36,1,2,1,17,17,0,8,8,0,2,3,38.625
42,1,2,32,1,2,41,1,1,41,1,2,30,1,3,42,1,3,38,1,2,39,1,2,0,17,17,0,8,8,0,1,1,37.375
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
43,1,2,44,1,2,43,1,1,34,1,2,43,1,3,39,1,3,43,1,2,42,1,2,0,17,17,0,8,8,0,1,1,40.8125
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
50,1,2,39,1,2,45,1,1,43,1,2,45,2,3,35,1,3,38,1,2,38,1,2,1,17,17,0,8,8,0,1,1,40.4375
0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
49,1,2,46,1,2,45,1,1,40,1,2,33,1,3,40,1,3,40,1,2,41,1,2,0,17,17,0,8,8,0,1,1,38.4375
35,1,2,43,1,2,44,1,1,38,1,2,36,1,3,40,1,3,42,1,2,35,1,2,0,17,17,0,8,8,0,1,1,38.25
43,1,2,48,1,2,48,1,1,34,1,2,31,1,3,34,1,3,40,1,2,44,1,2,0,17,17,0,8,8,0,1,1,42.25
35,1,2,0,0,2,14,1,1,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,17,2,15,3,1,7,2,3,0
