CAR_TRES,NCC_TRES,NCA_TRES,NCP_TRES,NAC_TRES,NAA_TRES,NAP_TRES,EPA_TRES,PROMEDIO_CUATRO,NOTA_MULTI,VECES_MULTI,CREDITOS_MULTI,NOTA_CIR_DOS,VECES_CIR_DOS,CREDITOS_CIR_DOS,NOTA_FIS_TRES,VECES_FIS_TRES,CREDITOS_FIS_TRES,NOTA_ECUA,VECES_ECUA,CREDITOS_ECUA,NOTA_EL_UNO,VECES_EL_UNO,CREDITOS_EL_UNO,NOTA_TERMO,VECES_TERMO,CREDITOS_TERMO
1,21,18,3,7,6,1,1,38.23529412,35,1,3,35,2,3,35,1,3,40,1,3,35,1,3,35,1,3
2,24,18,6,8,6,2,2,39.41176471,40,1,3,35,2,3,35,2,3,50,1,3,30,1,3,40,1,3
1,9,3,6,3,1,2,2,30,1,1,3,0,0,3,30,2,3,0,0,3,0,0,3,0,0,3
0,3,0,3,1,0,1,2,0,0,0,3,0,0,3,25,1,3,0,0,3,0,0,3,0,0,3
2,27,18,9,9,6,3,2,23.84,35,1,3,30,1,3,35,2,3,30,3,3,35,1,3,30,1,3
3,33,15,18,11,5,6,2,26.38461538,31,2,3,29,4,3,30,2,3,39,1,3,38,1,3,50,1,3
2,24,18,6,8,6,2,2,31.63157895,30,1,3,35,2,3,30,2,3,35,1,3,35,1,3,30,1,3
1,21,18,3,7,6,1,1,29.1,37,1,3,35,2,3,30,1,3,33,1,3,40,1,3,50,1,3
1,21,18,3,7,6,1,1,37.94117647,35,1,3,35,2,3,30,1,3,45,1,3,35,1,3,40,1,3
1,6,0,6,2,0,2,2,0,0,0,3,0,0,3,15,2,3,0,0,3,0,0,3,0,0,3
0,18,18,0,6,6,0,1,34.41176471,45,1,3,30,1,3,30,1,3,35,1,3,35,1,3,35,1,3
1,21,18,3,7,6,1,1,36.64705882,40,1,3,35,2,3,35,1,3,35,1,3,30,1,3,35,1,3
0,3,3,0,1,1,0,1,0,0,0,3,0,0,3,35,1,3,0,0,3,0,0,3,0,0,3
3,36,18,18,12,6,6,2,25.125,35,1,3,38,3,3,35,3,3,31,1,3,33,3,3,30,1,3
1,9,0,9,3,0,3,2,15,0,0,3,0,0,3,25,3,3,0,0,3,0,0,3,0,0,3
0,3,3,0,1,1,0,1,15,0,0,3,0,0,3,30,1,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3
4,30,18,12,10,6,4,2,28.71428571,30,2,3,33,2,3,30,2,3,37,1,3,32,1,3,36,2,3
1,21,18,3,7,6,1,2,40.88235294,35,1,3,35,2,3,30,1,3,35,1,3,30,1,3,35,1,3
3,24,12,12,8,4,4,2,32.6,35,1,3,26,2,3,30,2,3,30,2,3,42,1,3,0,0,3
0,3,0,3,1,0,1,2,0,0,0,3,0,0,3,15,1,3,0,0,3,0,0,3,0,0,3
2,24,18,6,8,6,2,2,27.68181818,34,1,3,33,1,3,30,2,3,34,1,3,35,2,3,30,1,3
0,3,3,0,1,1,0,1,40,0,0,3,0,0,3,35,1,3,0,0,3,0,0,3,0,0,3
2,30,18,12,10,6,4,2,28.8,30,1,3,30,4,3,30,1,3,30,1,3,40,2,3,50,1,3
1,21,18,3,7,6,1,1,31.31818182,35,1,3,30,2,3,30,1,3,35,1,3,30,1,3,50,1,3
0,18,18,0,6,6,0,1,24.72,35,1,3,30,1,3,30,1,3,30,1,3,30,1,3,30,1,3
4,33,18,15,11,6,5,2,26.34782609,30,1,3,33,2,3,30,2,3,30,3,3,45,2,3,30,1,3
0,18,18,0,6,6,0,1,43.23529412,40,1,3,35,1,3,30,1,3,45,1,3,35,1,3,35,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3
4,33,18,15,11,6,5,2,34,30,1,3,44,2,3,30,3,3,34,2,3,30,2,3,45,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3
