NOTA_INGECO,VECES_INGECO,CREDITOS_INGECO,NOTA_DDP,VECES_DDP,CREDITOS_DDP,NOTA_IO_DOS,VECES_IO_DOS,CREDITOS_IO_DOS,NOTA_CONEM,VECES_CONEM,CREDITOS_CONEM,NOTA_TDE,VECES_TDE,CREDITOS_TDE,NOTAS_RDC,VECES_RDC,CREDITOS_RDC,NOTA_CTRL,VECES_CTRL,CREDITOS_CTRL,CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,PROMEDIO_SIETE
38,1,2,41,1,3,41,1,2,35,1,3,44,1,3,36,1,2,35,2,2,1,19,17,2,8,7,1,1,25.5
38,1,2,43,1,3,37,1,2,33,1,3,41,1,3,38,1,2,36,1,2,0,17,17,0,7,7,0,1,32.45
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
32,1,2,43,1,3,40,1,2,36,1,3,31,1,3,32,2,2,30,3,2,2,23,17,6,10,7,3,2,20.61764706
0,0,2,42,1,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,3,3,0,1,1,0,1,0
34,1,2,42,1,3,38,1,2,38,1,3,33,1,3,39,1,2,50,1,2,0,17,17,0,7,7,0,1,22.83333333
31,1,2,42,1,3,30,1,2,0,0,3,0,0,3,33,1,2,6,2,2,1,13,9,4,6,4,2,2,17
39,1,2,50,1,3,43,1,2,39,1,3,36,1,3,40,1,2,32,1,2,0,17,17,0,7,7,0,1,29.85714286
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
42,1,2,44,1,3,43,1,2,34,1,3,41,1,3,42,1,2,37,1,2,0,17,17,0,7,7,0,1,27.95238095
33,1,2,43,1,3,44,1,2,45,1,3,37,1,3,38,1,2,32,1,2,0,17,17,0,7,7,0,1,34.11111111
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
31,1,2,44,1,3,30,1,2,37,3,3,36,1,3,39,1,2,31,1,2,1,23,17,6,9,7,2,2,33.55
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
49,1,2,47,1,3,30,1,2,44,1,3,32,1,3,43,1,2,32,2,2,1,19,17,2,8,7,1,1,19.46875
39,1,2,50,1,3,41,1,2,36,1,3,35,1,3,38,1,2,41,1,2,0,17,17,0,7,7,0,1,37.72222222
0,0,2,27,1,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,3,0,3,1,0,1,2,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
30,1,2,43,1,3,31,1,2,37,1,3,37,1,3,43,1,2,31,3,2,1,21,17,4,9,7,2,2,23.66666667
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
31,2,2,44,1,3,35,1,2,32,2,3,33,1,3,37,1,2,30,3,2,3,26,17,9,11,7,4,2,20.96774194
40,1,2,41,1,3,41,1,2,39,1,3,46,1,3,38,1,2,46,1,2,0,17,17,0,7,7,0,1,31.80952381
31,1,2,37,1,3,11,1,2,0,0,3,0,0,3,0,0,2,30,1,2,0,9,7,2,4,3,1,2,0
30,1,2,40,1,3,43,1,2,37,1,3,33,1,3,33,2,2,31,2,2,2,21,17,4,9,7,2,2,29.7826087
45,1,2,50,1,3,46,1,2,46,1,3,39,1,3,44,1,2,45,1,2,0,17,17,0,7,7,0,1,41.72222222
