CAR_SIETE,NCC_SIETE,NCA_SIETE,NCP_SIETE,NAC_SIETE,NAA_SIETE,NAP_SIETE,EPA_SIETE,PROMEDIO_OCHO,NOTA_L_UNO,VECES_L_UNO,CREDITOS_L_UNO,NOTA_EI_UNO,VECES_EI_UNO,CREDITOS_EI_UNO,NOTA_ECO,VECES_ECO,CREDITOS_ECO,NOTA_AUTO,VECES_AUTO,CREDITOS_AUTO,NOTA_MAQEL,VECES_MAQEL,CREDITOS_MAQEL,NOTA_ELECPOT,VECES_ELECPOT,CREDITOS_ELECPOT,NOTA_ASP,VECES_ASP,CREDITOS_ASP
2,24,18,6,9,7,2,2,37.53333333,44,1,2,30,1,3,31,1,2,33,1,2,31,1,3,30,2,3,41,2,3
1,20,18,2,8,7,1,1,41,46,1,2,43,1,3,31,2,2,36,1,2,31,1,3,30,1,3,37,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
3,34,18,16,13,7,6,2,29.7,46,1,2,40,1,3,42,1,2,33,3,2,42,2,3,33,1,3,38,4,3
0,0,0,0,0,0,0,0,34,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
3,30,18,12,11,7,4,2,38.53333333,46,1,2,31,1,3,42,1,2,31,1,2,42,2,3,35,3,3,41,2,3
0,4,2,2,2,1,1,2,0,34,1,2,0,0,3,0,1,2,0,0,2,0,0,3,0,0,3,0,0,3
1,21,18,3,8,7,1,2,40.06666667,42,1,2,43,1,3,33,1,2,30,1,2,33,1,3,33,2,3,30,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
1,21,18,3,8,7,1,2,39.13333333,42,1,2,31,1,3,30,1,2,31,1,2,30,1,3,36,2,3,30,1,3
0,18,18,0,7,7,0,1,40.66666667,35,1,2,43,1,3,31,1,2,37,1,2,31,1,3,32,1,3,30,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
1,20,18,2,8,7,1,1,30.83333333,43,1,2,38,1,3,40,1,2,32,2,2,40,1,3,35,1,3,34,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,41,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
3,32,18,14,12,7,5,2,28.5,46,1,2,35,1,3,33,1,2,33,2,2,33,1,3,31,2,3,34,4,3
0,18,18,0,7,7,0,1,39.33333333,41,1,2,44,1,3,42,1,2,30,1,2,42,1,3,30,1,3,35,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
2,27,18,9,10,7,3,2,40,49,1,2,32,1,3,36,1,2,38,1,2,36,1,3,30,2,3,33,3,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
3,31,18,13,12,7,5,2,36.73333333,34,1,2,39,1,3,30,1,2,42,3,2,30,3,3,34,2,3,43,1,3
1,21,18,3,8,7,1,1,27.71428571,43,1,2,40,1,3,42,1,2,33,1,2,42,2,3,30,1,3,32,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
2,23,18,5,9,7,2,2,38,44,1,2,38,1,3,45,1,2,33,2,2,45,2,3,32,1,3,32,1,3
0,18,18,0,7,7,0,1,42.8,46,1,2,36,1,3,43,1,2,36,1,2,43,1,3,46,1,3,42,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
3,27,18,9,10,7,3,2,40.4,44,1,2,34,1,3,32,1,2,31,1,2,32,2,3,31,2,3,30,2,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,37.8,47,1,2,44,1,3,34,1,2,32,1,2,34,1,3,34,1,3,34,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,40.93333333,40,1,2,32,1,3,41,1,2,30,1,2,41,1,3,44,1,3,42,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,40.8,46,1,2,45,1,3,32,1,2,35,1,2,32,1,3,43,1,3,38,1,3
4,28,18,10,11,7,4,2,27.9,45,2,2,37,1,3,36,2,2,37,1,2,36,1,3,30,2,3,30,2,3
0,18,18,0,7,7,0,1,30,36,1,2,38,1,3,49,1,2,31,1,2,49,1,3,33,1,3,32,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
1,24,18,6,9,7,2,2,32.27777778,47,1,2,39,1,3,30,1,2,31,1,2,30,1,3,30,3,3,35,1,3
1,21,18,3,8,7,1,2,40.8,48,1,2,32,1,3,33,1,2,40,1,2,33,1,3,32,2,3,31,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
