GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO
0;2;11;1;20;5;469.67;60.48;60.48;63.43;47.6;59.11;59.11;74.35;0;49.58;49.6;3;5;10;2;2008;2
0;2;1;1;20;5;468.77;62.82;62.82;58.93;52.34;64.21;64.21;62.54;0;48.41;61.22;10;5;10;2;2008;2
0;1;14;1;20;5;486.59;78.22;78.22;58.93;50.66;59.48;59.48;62.54;0;53.1;59.81;20;5;10;3;2008;1
0;2;15;1;20;5;462.85;81.5;81.5;51.73;57.44;53.22;53.22;49.87;0;41.05;58.45;20;2;10;3;2008;1
0;1;8;1;20;5;469.95;72.55;72.55;54.12;55.7;59.48;59.48;62.54;0;46.04;54.57;6;3;10;2;2008;2
0;1;10;1;20;5;482.95;67.54;67.54;61.41;57.44;57.32;57.32;60.25;0;41.05;62.69;20;3;10;3;2008;
0;1;0;1;214;12;422.02;47.67;47.67;64.0;52.34;53.22;53.22;51.92;0;48.41;39.54;2;2;5;1;2008;
1;1;20;1;169;21;477.39;60.49;60.49;64.0;61.18;59.48;59.48;62.54;0;46.04;62.69;12;6;10;2;2008;2
0;2;13;1;20;5;463.42;65.16;65.16;66.74;59.25;66.94;66.94;65.0;0;28.53;76.45;13;3;10;3;2008;2
0;2;20;1;51;23;472.02;67.77;67.77;56.34;65.03;57.14;57.14;59.24;0;47.3;53.56;20;6;10;4;2008;2
0;1;21;1;222;21;475.59;72.55;72.55;54.12;57.44;61.76;61.76;58.09;0;43.59;44.74;13;7;10;2;2008;2
0;0;18;0;0;0;488.96;78.22;78.22;64.0;63.27;61.76;61.76;62.54;0;43.59;64.23;18;3;10;2;2008;2
1;2;15;1;20;5;495.09;67.54;67.54;61.41;57.44;55.25;55.25;65.0;0;60.41;97.34;4;3;10;3;2008;2
0;1;14;1;20;5;471.3;75.27;75.27;61.41;52.34;64.21;64.21;47.79;0;50.76;57.13;8;3;10;3;2008;2
0;2;17;1;20;5;460.37;72.55;72.55;58.93;57.44;55.25;55.25;55.99;0;48.41;47.21;16;4;10;3;2008;1
0;2;12;1;20;5;474.45;69.99;69.99;61.41;55.7;66.94;66.94;62.54;0;38.35;58.45;21;3;10;3;2008;2
0;2;0;1;20;5;465.56;78.22;78.22;72.97;50.66;61.76;61.76;53.95;0;50.76;88.67;14;4;10;3;2008;1
0;1;10;1;20;5;460.6;67.54;67.54;61.41;55.7;55.25;55.25;55.99;0;41.05;58.45;14;3;10;3;2008;1
0;0;10;0;0;0;463.88;81.5;81.5;51.73;48.97;59.48;59.48;51.92;0;50.76;57.13;21;3;10;3;2008;2
0;1;0;1;20;5;489.88;72.55;72.55;72.97;59.25;57.32;57.32;58.09;0;46.04;44.74;8;4;10;3;2008;2
0;2;11;1;20;5;487.35;78.22;78.22;64.0;57.44;53.22;53.22;74.54;0;55.47;55.84;20;5;10;3;2008;2
0;2;12;3;20;5;513.66;89.86;89.86;72.97;75.87;55.25;55.25;58.09;0;46.04;97.34;10;3;10;3;2008;2
0;0;13;0;0;0;391.91;50.54;50.54;46.84;50.66;55.25;55.25;47.79;0;43.59;43.48;8;1;7;2;2008;1
1;1;11;1;20;5;493.94;75.27;75.27;64.0;71.54;59.48;59.48;58.09;0;46.04;50.87;10;3;10;3;2008;3
0;2;20;1;122;18;509.82;70.42;70.42;74.2;54.05;61.16;61.16;59.24;0;62.81;69.4;20;6;10;1;2008;2
0;2;20;1;51;23;499.0;105.63;105.63;66.74;55.7;61.76;61.76;53.95;0;50.76;76.45;8;6;10;3;2008;2
0;2;18;1;20;5;461.1;62.82;62.82;66.74;65.59;49.19;49.19;60.25;0;48.41;67.6;11;5;10;3;2008;1
0;1;20;1;56;7;476.19;69.99;69.99;66.74;61.18;55.25;55.25;51.92;0;38.35;67.6;8;6;10;3;2008;2
1;2;3;1;20;5;507.55;85.28;85.28;58.93;52.34;64.21;64.21;58.09;0;50.76;79.55;8;1;10;4;2008;3
0;2;16;1;20;5;473.52;65.16;65.16;64.0;59.25;57.32;57.32;58.09;0;57.9;49.65;3;3;10;3;2008;1
0;2;10;1;20;5;477.41;78.22;78.22;58.93;55.7;61.76;61.76;58.09;0;41.05;69.48;18;1;10;5;2008;2
0;1;20;1;56;7;489.84;75.91;75.91;73.07;63.23;66.67;66.67;62.46;0;41.62;52.42;16;6;10;2;2008;2
1;2;0;1;20;5;461.67;75.27;75.27;61.41;61.18;57.32;57.32;55.99;0;46.04;61.22;8;1;10;4;2008;1
1;2;18;1;20;5;530.42;81.5;81.5;58.93;61.18;70.06;70.06;67.71;0;53.1;71.53;20;3;10;3;2008;2
0;2;17;1;20;5;470.95;60.49;60.49;61.41;54.01;66.94;66.94;62.54;0;46.04;65.86;15;4;10;3;2008;2
0;2;10;1;20;5;514.21;81.5;81.5;81.3;63.27;66.94;66.94;58.09;0;43.59;79.55;20;3;10;3;2008;2
0;1;16;1;20;5;479.19;60.49;60.49;64.0;55.7;64.21;64.21;55.99;0;50.76;48.43;9;2;10;3;2008;2
1;1;21;1;56;7;454.65;81.5;81.5;56.51;47.22;53.22;53.22;55.99;0;48.41;67.6;20;7;10;0;2008;2
0;1;14;1;20;5;478.74;72.55;72.55;64.0;59.25;53.22;53.22;58.09;0;43.59;71.53;20;2;10;3;2008;2
0;1;14;1;20;5;455.25;72.55;72.55;64.0;55.7;53.22;53.22;58.09;0;43.59;61.22;21;2;10;3;2008;1
0;1;21;1;208;7;450.12;72.55;72.55;66.74;54.01;53.22;53.22;58.09;0;41.05;64.23;11;7;10;3;2008;
0;0;8;0;0;0;450.22;72.55;72.55;66.74;54.01;57.32;57.32;53.95;0;48.41;53.32;11;3;10;3;2008;2
0;1;20;1;225;10;466.72;67.54;67.54;64.0;52.34;59.48;59.48;60.25;0;43.59;76.45;11;6;10;3;2008;1
0;2;10;1;20;5;447.85;67.54;67.54;72.97;52.34;55.25;55.25;62.54;0;43.59;69.48;11;3;10;3;2008;2
0;1;10;1;20;5;454.59;67.54;67.54;64.0;59.25;53.22;53.22;53.95;0;41.05;50.87;11;3;10;2;2008;2
