CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,PROMEDIO_DOS,NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB
1,14,8,6,5,4,1,1,3.54167E+14,22.5,2,4,30,1,3,40,1,1,0,0,2,35,1,1,30,1,3
1,14,12,2,5,4,1,1,3.29167E+14,32.5,2,4,35,1,3,40,1,1,0,0,2,40,1,1,35,1,3
0,14,11,3,4,4,0,2,33.75,30,1,4,35,1,3,35,1,1,0,0,2,0,0,1,35,1,3
0,14,11,3,4,4,0,2,2.58333E+14,30,1,4,40,1,3,40,1,1,0,0,2,0,0,1,35,1,3
0,14,12,2,5,5,0,1,37.5,30,1,4,40,1,3,35,1,1,0,0,2,40,1,1,30,1,3
1,14,9,5,5,4,1,1,33.75,35,1,4,35,1,3,35,1,1,0,0,2,45,1,1,21.66666667,3,3
3,14,1,13,4,1,3,2,8.5,18,5,4,20.66666667,6,3,35,1,1,0,0,2,0,0,1,28.5,2,3
0,14,12,2,5,5,0,1,3.58333E+14,40,1,4,30,1,3,40,1,1,0,0,2,45,1,1,35,1,3
1,14,12,2,5,4,1,1,32.5,32.5,2,4,30,1,3,40,1,1,0,0,2,40,1,1,35,1,3
1,14,12,2,5,4,1,1,3.31944E+14,40,1,4,30,2,3,40,1,1,0,0,2,35,1,1,35,1,3
1,14,8,6,5,4,1,1,3.19444E+14,25,2,4,30,1,3,35,1,1,0,0,2,45,1,1,35,1,3
0,14,12,2,5,5,0,1,4.08333E+14,40,1,4,35,1,3,40,1,1,0,0,2,45,1,1,40,1,3
1,14,12,2,5,4,1,1,31.25,32.5,2,4,30,1,3,35,1,1,0,0,2,45,1,1,35,1,3
0,14,12,2,5,5,0,1,32.5,40,1,4,40,1,3,35,1,1,0,0,2,40,1,1,30,1,3
0,14,0,14,4,4,0,2,2.5,15,1,4,15,1,3,15,1,1,0,0,2,0,0,1,15,1,3
1,14,12,2,5,4,1,1,33.75,30,2,4,30,1,3,40,1,1,0,0,2,45,1,1,35,1,3
0,14,0,14,4,4,0,2,3.33333E+14,20,1,4,15,1,3,15,1,1,0,0,2,0,0,1,20,1,3
0,14,8,6,4,4,0,2,1.66667E+14,30,1,4,30,1,3,35,1,1,0,0,2,0,0,1,15,1,3
0,14,12,2,5,5,0,1,35,30,1,4,30,1,3,40,1,1,0,0,2,45,1,1,35,1,3
0,14,12,2,5,5,0,1,3.83333E+14,45,1,4,40,1,3,40,1,1,0,0,2,35,1,1,35,1,3
1,14,11,3,5,4,1,1,32.5,30,1,4,40,1,3,35,1,1,0,0,2,25,2,1,35,1,3
1,14,11,3,5,4,1,1,3.08333E+14,40,1,4,35,1,3,25,3,1,0,0,2,30,1,1,30,1,3
3,14,4,10,5,2,3,2,2.54167E+14,23.33333333,3,4,22.5,2,3,35,1,1,0,0,2,25,1,1,31.66666667,3,3
0,14,12,2,5,5,0,1,40,50,1,4,40,1,3,40,1,1,0,0,2,40,1,1,45,1,3
0,14,12,2,5,5,0,1,3.20833E+14,30,1,4,40,1,3,35,1,1,0,0,2,35,1,1,35,1,3
0,14,12,2,5,5,0,1,3.58333E+14,30,1,4,40,1,3,40,1,1,0,0,2,40,1,1,35,1,3
0,14,4,10,4,4,0,2,2.5,20,1,4,25,1,3,35,1,1,0,0,2,0,0,1,30,1,3
2,14,8,6,5,3,2,1,3.15278E+14,22.5,2,4,32.5,2,3,35,1,1,0,0,2,40,1,1,30,1,3
0,14,12,2,5,5,0,1,3.66667E+14,35,1,4,40,1,3,40,1,1,0,0,2,50,1,1,40,1,3
0,14,0,14,4,4,0,2,2.5,15,1,4,15,1,3,25,1,1,0,0,2,0,0,1,15,1,3
0,14,12,2,5,5,0,1,3.33333E+14,30,1,4,35,1,3,40,1,1,0,0,2,40,1,1,40,1,3
0,14,12,2,5,5,0,1,3.41667E+14,40,1,4,35,1,3,40,1,1,0,0,2,40,1,1,30,1,3
0,14,7,7,4,4,0,2,5,20,1,4,30,1,3,40,1,1,0,0,2,0,0,1,35,1,3
0,14,12,2,5,5,0,1,3.45833E+14,40,1,4,40,1,3,40,1,1,0,0,2,45,1,1,35,1,3
0,14,12,2,5,5,0,1,3.16667E+14,30,1,4,30,1,3,35,1,1,0,0,2,45,1,1,35,1,3
0,14,12,2,5,5,0,1,3.83333E+14,40,1,4,40,1,3,40,1,1,0,0,2,45,1,1,30,1,3
