CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO,NOTA_L_UNO,VECES_L_UNO,CREDITOS_L_UNO,NOTA_PYE_UNO,VECES_PYE_UNO,CREDITOS_PYE_UNO,NOTA_VARCOM,VECES_VARCOM,CREDITOS_VARCOM,NOTA_EL_DOS,VECES_EL_DOS,CREDITOS_EL_DOS,NOTA_PROGAPL,VECES_PROGAPL,CREDITOS_PROGAPL,NOTA_CAMPOS,VECES_CAMPOS,CREDITOS_CAMPOS,NOTA_FCD,VECES_FCD,CREDITOS_FCD
2,17,11,6,6,4,2,1,3.79167E+14,0,0,2,30,1,2,25,2,2,30,1,3,45,1,3,27.5,2,2,35,1,3
0,17,15,2,6,6,0,1,31,0,0,2,30,1,2,40,1,2,45,1,3,40,1,3,35,1,2,35,1,3
1,17,5,12,5,4,1,2,0,0,0,2,35,1,2,25,1,2,0,0,3,32.5,2,3,20,1,2,25,1,3
0,17,2,15,2,2,0,2,6.66667E+14,0,0,2,35,1,2,0,0,2,0,0,3,20,1,3,0,0,2,0,0,3
0,17,15,2,6,6,0,1,3.46667E+14,0,0,2,30,1,2,40,1,2,40,1,3,40,1,3,35,1,2,45,1,3
0,17,5,12,3,3,0,2,2.5,0,0,2,30,1,2,0,0,2,0,0,3,40,1,3,0,0,2,25,1,3
1,17,0,17,1,0,1,2,0,0,0,2,17.5,2,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
0,17,15,2,6,6,0,1,4.06667E+14,0,0,2,35,1,2,30,1,2,45,1,3,50,1,3,30,1,2,40,1,3
0,17,15,2,6,6,0,1,41,0,0,2,30,1,2,30,1,2,35,1,3,40,1,3,30,1,2,45,1,3
1,17,13,4,6,5,1,1,1.80611E+14,0,0,2,35,1,2,22.5,2,2,44,1,3,40,1,3,30,1,2,30,1,3
1,17,13,4,6,5,1,1,2.76667E+14,0,0,2,30,1,2,22.5,2,2,38,1,3,45,1,3,30,1,2,45,1,3
0,17,15,2,6,6,0,1,41.5,0,0,2,40,1,2,40,1,2,40,1,3,45,1,3,35,1,2,45,1,3
0,17,12,5,5,5,0,1,5.83333E+14,0,0,2,40,1,2,30,1,2,0,0,3,35,1,3,35,1,2,40,1,3
1,17,15,2,6,5,1,1,3.95833E+14,0,0,2,32.5,2,2,35,1,2,40,1,3,40,1,3,35,1,2,45,1,3
