NOTA_L_TRES,VECES_L_TRES,CREDITOS_L_TRES,NOTA_COMDIG,VECES_COMDIG,CREDITOS_COMDIG,NOTA_FDS,VECES_FDS,CREDITOS_FDS,NOTA_HSE,VECES_HSE,CREDITOS_HSE,NOTA_SISDIN,VECES_SISDIN,CREDITOS_SISDIN,NOTA_ELECPOT,VECES_ELECPOT,CREDITOS_ELECPOT,NOTA_ECO,VECES_ECO,CREDITOS_ECO,CAR_SIETE,NCC_SIETE,NCA_SIETE,NCP_SIETE,NAC_SIETE,NAA_SIETE,NAP_SIETE,EPA_SIETE,PROMEDIO_OCHO
0,0,2,32.5,2,3,34,1,2,0,0,1,30,1,2,31,1,3,37,1,2,1,15,12,3,5,4,1,1,3.61667E+14
0,0,2,21,2,3,35,1,2,0,0,1,30,1,2,33,1,3,40,1,2,1,15,9,6,5,4,1,1,350625
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,40,1,3,30,1,2,0,0,1,40,1,2,40,1,3,40,1,2,0,15,12,3,5,5,0,1,41875
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,45,1,3,25,2,2,0,0,1,40,1,2,30,1,3,33,1,2,1,15,10,5,5,4,1,1,42375
0,0,2,41,1,3,46,1,2,0,0,1,30,1,2,35,1,3,37,1,2,0,15,12,3,5,5,0,1,40375
0,0,2,0,0,3,0,0,2,0,0,1,20,3,2,0,0,3,25.33333333,3,2,2,15,0,15,2,0,2,2,6
0,0,2,41,1,3,25.5,2,2,0,0,1,27.5,2,2,25.5,2,3,28.5,2,2,4,15,3,12,5,1,4,2,3240625
40,1,2,45,1,3,34,1,2,0,0,1,40,1,2,40,1,3,45,1,2,0,15,14,1,7,7,0,1,44375
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
