NOTA_DIFERENCIAL,VECES_DIFERENCIAL,CREDITOS_DIFERENCIAL,NOTA_PROG_BASICA,VECES_PROG_BASICA,CREDITOS_PROG_BASICA,NOTA_CATEDRA_FJC,VECES_CATEDRA_FJC,CREDITOS_CATEDRA_FJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEMINARIO,VECES_SEMINARIO,CREDITOS_SEMINARIO,NOTA_CATEDRA_DEM,VECES_CATEDRA_DEM,CREDITOS_CATEDRA_DEM,NOTA_CATEDRA_CON,VECES_CATEDRA_CON,CREDITOS_CATEDRA_CON,NOTA_LOGICA,VECES_LOGICA,CREDITOS_LOGICA,NOTA_EE_UNO,VECES_EE_UNO,CREDITOS_EE_UNO,PROMEDIO_UNO,CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,RENDIMIENTO_1
15,2,4,20,2,3,40,1,1,30,1,2,35,1,1,40,1,1,0,0,0,22.5,2,3,0,0,0,14.5,3,25,5,20,10,4,6,2,1
22.5,2,4,35,1,3,40,1,1,45,1,2,45,1,1,35,1,1,46,1,1,30,1,3,42,1,2,28.40909091,1,22,14,8,10,8,2,2,1
22.5,2,4,45,1,3,45,1,1,40,1,2,45,1,1,45,1,1,0,0,0,30,1,3,0,0,0,27.89473684,1,19,11,8,8,6,2,2,1
15,1,4,15,1,3,15,1,1,15,1,2,15,1,1,15,1,1,0,0,0,15,1,3,0,0,0,15,0,15,0,15,7,0,7,2,1
20,1,4,20,1,3,0,0,0,20,1,2,15,1,1,20,1,1,0,0,0,20,1,3,0,0,0,19.64285714,0,14,0,14,6,0,6,2,1
22.5,2,4,22.5,2,3,35,1,1,30,1,2,40,1,1,45,1,1,0,0,0,22.5,2,3,0,0,0,16.2,3,25,5,20,10,4,6,2,1
19,4,4,21.66666667,3,3,21.66666667,3,1,30,1,2,20,3,1,20,3,1,0,0,0,21.25,4,3,50,1,2,8.528333333,14,50,4,46,22,2,20,2,1
21.66666667,3,4,32.5,2,3,40,1,1,40,1,2,45,1,1,40,1,1,0,0,0,30,2,3,45,1,2,18.36021505,4,31,13,18,12,7,5,2,1
30,2,4,40,1,3,40,1,1,45,1,2,45,1,1,50,1,1,37,1,1,40,1,3,30,1,2,31,1,22,18,4,10,9,1,2,2
25,2,4,35,1,3,40,1,1,45,1,2,40,1,1,40,1,1,43,1,1,25,2,3,37,1,2,24.28,2,25,11,14,11,7,4,2,1
25,2,4,35,1,3,45,1,1,45,1,2,40,1,1,45,1,1,42,1,1,32.5,2,3,42,1,2,25.94,2,25,14,11,11,8,3,2,1
18.75,4,4,25,3,3,40,1,1,35,1,2,45,1,1,50,1,1,0,0,0,20.25,4,3,0,1,2,9.448863636,8,44,5,39,16,4,12,2,1
