PROMEDIO_DOS,CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,RENDIMIENTO_2,NOTA_SEGUNDA_LENGUA_UNO,VECES_SEGUNDA_LENGUA_UNO,CREDITOS_SEGUNDA_LENGUA_UNO,NOTA_EI_UNO,VECES_EI_UNO,CREDITOS_EI_UNO,NOTA_FISICA_UNO,VECES_FISICA_UNO,CREDITOS_FISICA_UNO,NOTA_INTEGRAL,VECES_INTEGRAL,CREDITOS_INTEGRAL,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA,NOTA_PROG_ORIENTADA,VECES_PROG_ORIENTADA,CREDITOS_PROG_ORIENTADA,NOTA_ETICA,VECES_ETICA,CREDITOS_ETICA,NOTA_GT_UNO,VECES_GT_UNO,CREDITOS_GT_UNO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.92857143,3,28,16,12,11,7,4,2,1,30,1,2,46,1,2,30,2,3,26,3,3,30,1,3,40,1,3,45,1,2,50,1,1
22.04545455,2,22,10,12,8,4,4,2,1,46,1,2,0,0,0,30,1,3,18.5,2,3,22.5,2,3,40,1,3,30,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9,7,35,5,30,12,2,10,2,1,0,0,0,0,0,0,8.75,4,3,0.5,2,3,16.25,4,3,35,1,3,30,1,2,0,0,0
20.625,3,24,9,15,9,4,5,2,1,0,0,0,0,0,0,29,2,3,22.66666667,3,3,32,1,3,38,1,3,40,1,2,50,1,1
17.75862069,4,29,11,18,11,5,6,2,1,32,1,2,0,0,0,19.33333333,3,3,25.5,2,3,34,1,3,31.5,2,3,35,1,2,50,1,1
33.80952381,1,21,17,4,9,7,2,1,2,28,2,2,42,1,2,30,1,3,35,1,3,45,1,3,30,1,3,50,1,2,50,1,1
15.25,8,43,10,33,16,5,11,2,1,30,1,2,44,1,2,24.5,4,3,23.75,4,3,26,3,3,45,1,3,50,1,2,50,1,1
19.9516129,4,31,10,21,12,5,7,2,1,30,1,2,46,1,2,25,2,3,22.5,2,3,24.66666667,3,3,40,1,3,40,1,2,50,1,1
5.397058824,6,34,4,30,12,2,10,2,1,30,1,2,0,0,0,4.666666667,3,3,3.333333333,3,3,8,2,3,2.5,2,3,34,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.2037037,4,27,5,22,10,2,8,2,1,0,0,0,0,0,0,13,3,3,13,2,3,8.5,2,3,34,1,3,35,1,2,0,1,1
23.66071429,3,28,13,15,11,6,5,2,1,38,1,2,46,1,2,28,3,3,31,1,3,22.5,2,3,40,1,3,40,1,2,50,1,1
23.96428571,3,28,13,15,11,6,5,2,1,34,1,2,44,1,2,26.66666667,3,3,40,1,3,25,2,3,40,1,3,35,1,2,50,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.64,2,25,19,6,10,8,2,2,1,34,1,2,46,1,2,30,1,3,30,1,3,31.33333333,3,3,35,1,3,40,1,2,47,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.45454545,1,22,16,6,9,7,2,2,2,45,1,2,40,1,2,30,1,3,35,1,3,35,1,3,25,2,3,45,1,2,35,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.02,2,25,16,9,10,7,3,2,1,40,1,2,40,1,2,29.5,2,3,30,1,3,34,2,3,30,1,3,35,1,2,50,1,1
3.590909091,3,22,0,22,8,0,8,2,1,0,0,0,0,0,0,0,1,3,0,1,3,10.5,2,3,8.5,2,3,11,2,2,0,0,0
20,0,2,0,2,1,0,1,2,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.2962963,3,27,11,16,11,5,6,2,1,26,2,2,46,1,2,27.5,2,3,30,1,3,27.5,2,3,30,1,3,45,1,2,50,1,1
41.10526316,0,19,19,0,8,8,0,1,3,45,1,2,43,1,2,45,1,3,30,1,3,40,1,3,45,1,3,40,1,2,45,1,1
35.47368421,0,19,19,0,8,8,0,1,2,40,1,2,32,1,2,30,1,3,30,1,3,30,1,3,40,1,3,45,1,2,50,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.303030303,7,33,0,33,11,0,11,2,1,0,0,0,0,0,0,3.333333333,3,3,0,2,3,0,3,3,0,3,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.2826087,3,23,11,12,10,4,6,2,1,26.5,2,2,0,0,0,22.5,2,3,30,1,3,30,1,3,40,1,3,45,1,2,25,2,1
30.63636364,0,11,7,4,5,3,2,2,2,40,1,2,0,0,0,0,0,0,0,0,0,21,1,3,38,1,3,40,1,2,0,1,1
17.41216216,6,37,10,27,14,5,9,2,1,33,1,2,44,1,2,27.5,2,3,24.25,4,3,25,3,3,40,1,3,45,1,2,50,1,1
1.125,0,8,0,8,3,0,3,2,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,1,3,0,1,2,0,0,0
12.5625,5,32,4,28,12,2,10,2,1,39,1,2,0,0,0,28,2,3,9.5,2,3,22.5,2,3,21.33333333,3,3,40,1,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.18421053,2,19,11,8,8,4,4,2,1,0,0,0,0,0,0,30,1,3,27.5,2,3,30,1,3,40,1,3,45,1,2,25,2,1
21.51785714,3,28,10,18,11,5,6,2,1,40,1,2,35,1,2,27.5,2,3,25,2,3,25,2,3,30,1,3,40,1,2,50,1,1
26.22,2,25,13,12,10,6,4,2,1,35,1,2,44,1,2,25,2,3,22.5,2,3,45,1,3,30,1,3,40,1,2,50,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.85714286,0,14,2,12,5,1,4,2,1,0,0,0,0,0,0,15,1,3,15,1,3,15,1,3,15,1,3,35,1,2,0,0,0
10.63636364,2,11,2,9,4,1,3,2,1,0,0,0,0,0,0,15.66666667,3,3,0,0,0,0,0,0,0,0,0,35,1,2,0,0,0
26.32,2,25,13,12,10,6,4,2,1,45,1,2,40,1,2,22.5,2,3,27.5,2,3,35,1,3,35,1,3,45,1,2,38,1,1
23.02631579,2,19,9,10,7,3,4,2,1,0,0,0,0,0,0,30,1,3,27.5,2,3,30,1,3,40,1,3,27.5,2,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.35,5,30,8,22,11,3,8,2,1,10,2,2,0,0,0,26.66666667,3,3,31,2,3,27.5,2,3,35,1,3,40,1,2,0,0,0
25.17857143,3,28,13,15,11,6,5,2,1,47,1,2,44,1,2,29.33333333,3,3,25,2,3,30,1,3,40,1,3,50,1,2,50,1,1
17.80434783,3,23,8,15,8,3,5,2,1,0,0,0,0,0,0,22.5,2,3,12.33333333,3,3,40,1,3,35,1,3,40,1,2,0,0,0
18.36764706,5,34,10,24,13,5,8,2,1,40,1,2,39,1,2,26.66666667,3,3,24.66666667,3,3,22.5,2,3,35,1,3,45,1,2,50,1,1
26.26470588,1,17,11,6,6,4,2,2,1,0,0,0,0,0,0,25.5,2,3,31,1,3,32,1,3,33,1,3,41,1,2,0,0,0
17.73214286,4,28,10,18,10,4,6,2,1,32,1,2,0,0,0,30,2,3,26.66666667,3,3,30,1,3,27.5,2,3,45,1,2,0,0,0
15.11290323,5,31,7,24,11,3,8,2,1,37,1,2,0,0,0,26.66666667,3,3,17.33333333,3,3,22.5,2,3,35,1,3,45,1,2,0,0,0
16.42857143,0,14,0,14,5,0,5,2,1,0,0,0,0,0,0,15,1,3,15,1,3,15,1,3,15,1,3,25,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.52631579,0,19,19,0,8,8,0,1,2,50,1,2,46,1,2,30,1,3,35,1,3,35,1,3,35,1,3,45,1,2,45,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.31578947,0,19,19,0,8,8,0,1,2,50,1,2,49,1,2,30,1,3,30,1,3,35,1,3,35,1,3,45,1,2,50,1,1
27.08,2,25,13,12,10,6,4,2,1,38,1,2,45,1,2,30,1,3,44,1,3,27.5,2,3,25.5,2,3,40,1,2,50,1,1
27.25,2,24,12,12,9,5,4,2,1,40,1,2,31,1,2,42,1,3,22.5,2,3,27.5,2,3,50,1,3,43,1,2,0,0,0
39.15,1,20,18,2,9,7,2,1,2,45,1,2,49,1,2,30,1,3,40,1,3,45,1,3,45,1,3,45,1,2,25,2,1
12.38461538,4,26,2,24,9,1,8,2,1,0,0,0,0,0,0,18,2,3,20.5,2,3,27,2,3,14.5,2,3,41,1,2,0,0,0
