CAR_TRES,NCC_TRES,NCA_TRES,NCP_TRES,NAC_TRES,NAA_TRES,NAP_TRES,EPA_TRES,PROMEDIO_CUATRO,NOTA_SEGUNDA_LENGUA_DOS,VECES_SEGUNDA_LENGUA_DOS,CREDITOS_SEGUNDA_LENGUA_DOS,NOTA_EE_DOS,VECES_EE_DOS,CREDITOS_EE_DOS,NOTA_FISICA_DOS,VECES_FISICA_DOS,CREDITOS_FISICA_DOS,NOTA_MULTIVARIADO,VECES_MULTIVARIADO,CREDITOS_MULTIVARIADO,NOTA_ECUACIONES,VECES_ECUACIONES,CREDITOS_ECUACIONES,NOTA_TGS,VECES_TGS,CREDITOS_TGS,NOTA_PROG_AVANZADA,VECES_PROG_AVANZADA,CREDITOS_PROG_AVANZADA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,33,9,24,12,4,8,2,37.05555556,41,1,2,47,1,2,22.66666667,3,3,23,3,3,24,2,3,35,1,2,35,1,3
1,7,3,4,3,1,2,2,36.90909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,2,2,35,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0,7,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,1,3
0,7,5,2,3,2,1,1,34.75,44,1,2,0,0,0,0,0,0,0,0,0,0,0,0,25,1,2,30,1,3
1,19,7,12,7,3,4,2,34.66666667,34,1,2,0,0,0,31,1,3,28,1,3,23,2,3,41,1,2,16,1,3
5,33,12,21,12,5,7,2,40.61111111,42,1,2,39,1,2,26.33333333,3,3,31,3,3,23.5,2,3,30,1,2,35,1,3
1,21,18,3,8,7,1,1,35.16666667,40,1,2,41,1,2,37,1,3,31,2,3,41,1,3,41,1,2,35,1,3
0,18,18,0,7,7,0,1,38.5,37,1,2,43,1,2,40,1,3,30,1,3,34,1,3,34,1,2,40,1,3
2,10,2,8,5,1,4,2,0,0,1,2,35,1,2,0,0,0,0,0,0,0,0,0,11.66666667,3,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,0,10,4,0,4,2,23.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,2,2,9,2,3
3,26,13,13,10,5,5,2,40.66666667,38,1,2,44,1,2,30,2,3,40,1,3,29,2,3,27.5,2,2,41,1,3
3,26,10,16,10,4,6,2,38.72222222,36,1,2,40,1,2,28.5,2,3,34,1,3,27.5,2,3,27.5,2,2,43,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,18,3,8,7,1,2,40,33,1,2,46,1,2,31.5,2,3,36,1,3,39,1,3,30,1,2,40,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,15,6,8,6,2,2,27.875,44,1,2,40,1,2,29.5,2,3,40,1,3,30,1,3,35,1,2,39,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,18,0,7,7,0,1,35.4,41,1,2,43,1,2,34,1,3,30,1,3,33,1,3,38,1,2,39,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24,12,12,9,5,4,2,32.07142857,42,1,2,38,1,2,29,2,3,25,2,3,31,1,3,39,1,2,47,1,3
1,21,18,3,8,7,1,2,34.73684211,40,1,2,40,1,2,30,1,3,32.5,2,3,42,1,3,30,1,2,30,1,3
1,21,15,6,8,6,2,1,40.55555556,43,1,2,40,1,2,38,1,3,25.5,2,3,40,1,3,40,1,2,40,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
