CAR_CINCO,NCC_CINCO,NCA_CINCO,NCP_CINCO,NAC_CINCO,NAA_CINCO,NAP_CINCO,EPA_CINCO,PROMEDIO_SIES,NOTA_EE_TRES,VECES_EE_TRES,CREDITOS_EE_TRES,NOTA_FISICA_TRES,VECES_FISICA_TRES,CREDITOS_FISICA_TRES,NOTA_ARQ_COMP,VECES_ARQ_COMP,CREDITOS_ARQ_COMP,NOTA_MOD_PROG_DOS,VECES_MOD_PROG_DOS,CREDITOS_MOD_PROG_DOS,NOTA_CIENCIAS_COMP_UNO,VECES_CIENCIAS_COMP_UNO,CREDITOS_CIENCIAS_COMP_UNO,NOTA_INV_OP_UNO,VECES_INV_OP_UNO,CREDITOS_INV_OP_UNO,NOTA_PROB,VECES_PROB,CREDITOS_PROB
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,7,7,0,1,38.55555556,50,1,2,36,1,3,35,1,2,41,1,3,33,1,3,35,1,3,38,1,3
0,8,8,0,3,3,0,1,0,0,0,0,0,0,0,38,1,2,45,1,3,34,1,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,34,10,24,12,4,8,2,36.3,50,1,2,24.33333333,3,3,31,1,2,43,1,3,29,2,3,31.5,2,3,28,2,3
1,22,19,3,8,7,1,2,41,45,1,2,32,1,3,45,1,2,43,1,3,38,1,3,30,1,3,31,2,3
0,19,19,0,7,7,0,1,43.27777778,50,1,2,36,1,3,38,1,2,39,1,3,42,1,3,35,1,3,32,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,19,2,8,7,1,1,42.72222222,50,1,2,30,1,3,37,2,2,47,1,3,45,1,3,42,1,3,32,1,3
3,27,16,11,10,6,4,2,40.88888889,44,1,2,28.5,2,3,37.5,2,2,47,1,3,34.5,2,3,32,1,3,30,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
