NOTA_HISTORIA_COL,VECES_HISTORIA_COL,CREDITOS_HISTORIA_COL,NOTA_GI_UNO,VECES_GI_UNO,CREDITOS_GI_UNO,NOTA_CIBERNETICA_UNO,VECES_CIBERNETICA_UNO,CREDITOS_CIBERNETICA_UNO,NOTA_REDES_COM_UNO,VECES_REDES_COM_UNO,CREDITOS_REDES_COM_UNO,NOTA_CIENCIAS_COMP_DOS,VECES_CIENCIAS_COMP_DOS,CREDITOS_CIENCIAS_COMP_DOS,NOTA_INV_OP_DOS,VECES_INV_OP_DOS,CREDITOS_INV_OP_DOS,NOTA_ESTADISTICA,VECES_ESTADISTICA,CREDITOS_ESTADISTICA,CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,PROMEDIO_SIETE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,2,50,1,3,30,1,2,36,1,2,32,1,3,46,1,3,38,1,3,0,18,18,0,7,7,0,1,36.68421053
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,2,50,1,3,21.5,2,2,40,1,2,41,1,3,44,1,3,34,1,3,1,20,16,4,8,6,2,1,40.47368421
33,1,2,50,1,3,32,1,2,40,1,2,36,1,3,49,1,3,41,1,3,0,18,18,0,7,7,0,1,30.47916667
37,1,2,50,1,3,46,1,2,44,1,2,41,1,3,48,1,3,36,1,3,0,18,18,0,7,7,0,1,44.05263158
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,3,1,0,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,1,2,44,1,3,37,1,2,41,1,2,41,1,3,50,1,3,38,1,3,0,18,18,0,7,7,0,1,41.42105263
43,1,2,44,1,3,32,1,2,41,1,2,40,1,3,48,1,3,36,1,3,0,18,18,0,7,7,0,1,41.68421053
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,2,43,1,3,50,1,2,30,1,2,41,1,3,45,1,3,36,1,3,0,18,18,0,7,7,0,1,42.05263158
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,2,50,1,3,31,1,2,39,1,2,32,1,3,40,1,3,37,1,3,0,18,18,0,7,7,0,1,39.10526316
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,2,43,1,3,28.33333333,3,2,39,1,2,33,1,3,38,1,3,33,1,3,2,22,16,6,9,6,3,2,39.10526316
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,2,50,1,3,35,1,2,33,1,2,40,1,3,46,1,3,38,1,3,0,18,18,0,7,7,0,1,41.94736842
36,1,2,47,1,3,40,1,2,29,2,2,40,1,3,42,1,3,36,1,3,1,20,16,4,8,6,2,1,39.10526316
20,2,2,50,1,3,36,1,2,44,1,2,39,1,3,46,1,3,25.5,2,3,2,23,13,10,9,5,4,2,41.05263158
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.5,2,2,44,1,3,28.5,2,2,30,1,2,38,1,3,36,1,3,32,1,3,2,22,16,6,9,6,3,2,36.47619048
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,2,0,0,0,32,1,2,41,1,2,35,1,3,43,1,3,32,1,3,0,15,15,0,6,6,0,1,35.14285714
30,1,2,45,1,3,40,1,2,41,1,2,37,1,3,40,1,3,29.5,2,3,1,21,15,6,8,6,2,1,41
30,1,2,43,1,3,50,1,2,48,1,2,40,1,3,49,1,3,33,1,3,0,18,18,0,7,7,0,1,42.26315789
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,2,50,1,3,38,1,2,39,1,2,37,1,3,40,1,3,40,1,3,0,18,18,0,7,7,0,1,35.19047619
