CAR_SIETE,NCC_SIETE,NCA_SIETE,NCP_SIETE,NAC_SIETE,NAA_SIETE,NAP_SIETE,EPA_SIETE,PROMEDIO_OCHO,NOTA_EI_DOS,VECES_EI_DOS,CREDITOS_EI_DOS,NOTA_ECONOMIA,VECES_ECONOMIA,CREDITOS_ECONOMIA,NOTA_GT_TRES,VECES_GT_TRES,CREDITOS_GT_TRES,NOTA_CIBERNETICA_UDOS,VECES_CIBERNETICA_DOS,CREDITOS_CIBERNETICA_DOS,NOTA_REDES_COM_DOS,VECES_REDES_COM_DOS,CREDITOS_REDES_COM_DOS,NOTA_INV_OP_TRES,VECES_INV_OP_TRES,CREDITOS_INV_OP_TRES,NOTA_F_ING_SOF,VECES_F_ING_SOF,CREDITOS_F_ING_SOF,NOTA_GI_DOS,VECES_GI_DOS,CREDITOS_GI_DOS,NOTA_FUND_IA,VECES_FUND_IA,CREDITOS_FUND_IA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,17,2,9,8,1,1,43.625,19,1,2,30,1,2,40,1,1,36,1,2,39,1,3,42,1,2,34,1,3,50,1,3,34,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,32.18421053,35,1,2,39,1,2,45,1,1,32,1,2,38,1,3,44,1,2,41,1,3,50,1,3,37,1,1
2,24,17,7,11,8,3,2,42.61111111,35,1,2,28.5,2,2,50,1,1,36,1,2,40,1,3,43,1,2,31.5,2,3,50,1,3,32,1,1
0,19,17,2,9,8,1,1,42.375,27,1,2,50,1,2,50,1,1,43,1,2,44,1,3,50,1,2,41,1,3,50,1,3,42,1,1
0,2,0,2,1,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,4,2,0,2,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,33.94736842,45,1,2,39,1,2,50,1,1,32,1,2,40,1,3,41,1,2,37,1,3,50,1,3,42,1,1
0,19,19,0,9,9,0,1,33,44,1,2,38,1,2,50,1,1,35,1,2,41,1,3,41,1,2,37,1,3,50,1,3,42,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,41.38888889,34,1,2,42,1,2,50,1,1,45,1,2,41,1,3,40,1,2,38,1,3,50,1,3,40,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,41.5,32,1,2,30,1,2,45,1,1,39,1,2,42,1,3,45,1,2,32,1,3,50,1,3,34,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,41.5625,41,1,2,31,1,2,45,1,1,34,1,2,34,1,3,44,1,2,35,1,3,50,1,3,41,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,44.66666667,32,1,2,47,1,2,50,1,1,35,1,2,45,1,3,43,1,2,36,1,3,50,1,3,40,1,1
0,19,17,2,9,8,1,1,33.80952381,20.5,1,2,32,1,2,50,1,1,37,1,2,44,1,3,42,1,2,41,1,3,47,1,3,34,1,1
0,19,19,0,9,9,0,1,45.76923077,34,1,2,38,1,2,50,1,1,41,1,2,33,1,3,44,1,2,42,1,3,50,1,3,41,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,19,2,10,9,1,1,33.05263158,32,1,2,33.5,2,2,50,1,1,36,1,2,43,1,3,42,1,2,37,1,3,50,1,3,39,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,5,2,4,3,1,1,28.8,0,0,0,0,0,0,50,1,1,0,0,0,0,0,0,25,1,2,38,1,3,0,0,0,32,1,1
0,19,19,0,9,9,0,1,44.30769231,37,1,2,50,1,2,50,1,1,34,1,2,41,1,3,36,1,2,39,1,3,45,1,3,40,1,1
0,19,19,0,9,9,0,1,43.125,34,1,2,38,1,2,50,1,1,47,1,2,40,1,3,44,1,2,38,1,3,50,1,3,43,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,17,4,10,8,2,1,40.9375,31,1,2,24.5,2,2,50,1,1,37,1,2,43,1,3,45,1,2,33,1,3,50,1,3,36,1,1
0,5,0,5,2,0,2,2,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,26,1,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,40.88888889,34,1,2,38,1,2,50,1,1,38,1,2,30,1,3,43,1,2,36,1,3,45,1,3,30,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,23,15,8,11,7,4,2,30.82608696,28.5,1,2,33.5,2,2,50,1,1,29.5,2,2,42,1,3,40,1,2,41,1,3,47,1,3,38,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,43.6875,40,1,2,47,1,2,50,1,1,45,1,2,41,1,3,47,1,2,43,1,3,50,1,3,40,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,41.875,39,1,2,35,1,2,50,1,1,36,1,2,46,1,3,48,1,2,37,1,3,50,1,3,39,1,1
1,21,19,2,10,9,1,1,43.53846154,39,1,2,32.5,2,2,50,1,1,33,1,2,41,1,3,45,1,2,36,1,3,45,1,3,42,1,1
2,10,0,10,4,0,4,2,33,0,0,0,26,2,2,0,0,0,0,0,0,22,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,46,45,1,2,31,1,2,50,1,1,50,1,2,45,1,3,48,1,2,43,1,3,50,1,3,41,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,1,1,0,1,0,0,0,0,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,17,4,10,8,2,1,39,44,1,2,34,1,2,45,1,1,29,2,2,32,1,3,50,1,2,34,1,3,45,1,3,42,1,1
0,16,16,0,8,8,0,1,23.9047619,30,1,2,35,1,2,40,1,1,38,1,2,40,1,3,36,1,2,39,1,3,0,0,0,38,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,40.5,35,1,2,40,1,2,50,1,1,39,1,2,38,1,3,32,1,2,39,1,3,50,1,3,40,1,1
1,22,19,3,10,9,1,1,41.5,33,1,2,40,1,2,50,1,1,47,1,2,36,1,3,45,1,2,33,2,3,50,1,3,35,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,42.75,43,1,2,34,1,2,50,1,1,44,1,2,40,1,3,41,1,2,36,1,3,50,1,3,41,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,17,4,10,8,2,1,41.8125,31,1,2,22,2,2,50,1,1,37,1,2,44,1,3,37,1,2,39,1,3,50,1,3,36,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,35.57894737,35,1,2,48,1,2,50,1,1,49,1,2,42,1,3,44,1,2,40,1,3,50,1,3,43,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,17,4,10,8,2,1,34.44736842,42,1,2,28,2,2,46,1,1,45,1,2,43,1,3,47,1,2,39,1,3,50,1,3,40,1,1
0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,43.0625,33,1,2,36,1,2,45,1,1,43,1,2,40,1,3,30,1,2,37,1,3,50,1,3,40,1,1
0,19,19,0,9,9,0,1,42.75,33,1,2,47,1,2,50,1,1,36,1,2,38,1,3,42,1,2,39,1,3,50,1,3,40,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,17,4,10,8,2,1,41.5625,44,1,2,27.5,2,2,50,1,1,39,1,2,39,1,3,43,1,2,32,1,3,50,1,3,42,1,1
0,19,19,0,9,9,0,1,42.625,40,1,2,47,1,2,50,1,1,44,1,2,42,1,3,37,1,2,36,1,3,50,1,3,38,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,42.125,36,1,2,40,1,2,50,1,1,33,1,2,41,1,3,41,1,2,36,1,3,50,1,3,39,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,41.1875,30,1,2,34,1,2,50,1,1,45,1,2,36,1,3,37,1,2,40,1,3,50,1,3,38,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,43.1875,42,1,2,38,1,2,45,1,1,42,1,2,42,1,3,42,1,2,37,1,3,50,1,3,40,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,25,15,10,12,7,5,2,42,33,1,2,19,2,2,50,1,1,18.33333333,3,2,37,1,3,41,1,2,37,1,3,45,1,3,33,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,10,2,6,5,1,2,26.3125,0,0,0,40,1,2,0,0,0,32.5,2,2,34,1,3,45,1,2,0,0,0,0,0,0,36,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,42.1875,42,1,2,39,1,2,50,1,1,45,1,2,45,1,3,43,1,2,40,1,3,45,1,3,42,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,9,9,0,1,44.75,36,1,2,32,1,2,50,1,1,44,1,2,41,1,3,39,1,2,41,1,3,50,1,3,42,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,17,4,10,8,2,2,41.6875,31,1,2,32,1,2,50,1,1,28,2,2,34,1,3,35,1,2,31,1,3,38,1,3,35,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
