METRICA|VALOR|MODELO|TIPO_DE_DATOS|CARRERA|SEMESTRE
Precision|78.18|KNeighbors|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|77.78|KNeighbors|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|75.7|KNeighbors|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|77.78|KNeighbors|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|41.11|KNeighbors|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|62.05|KNeighbors|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|74.79|KNeighbors|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|78.67|KNeighbors|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|76.28|KNeighbors|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|78.67|KNeighbors|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|44.05|KNeighbors|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|63.21|KNeighbors|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|algorithm: auto, leaf_size: 30, metric: manhattan, metric_params: None, n_jobs: None, n_neighbors: 16, p: 2, weights: uniform|KNeighbors|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|47.39|SVC|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|46.34|SVC|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|46.5|SVC|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|46.34|SVC|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|3.27|SVC|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|14.12|SVC|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|45.79|SVC|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|45.32|SVC|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|45.31|SVC|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|45.32|SVC|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|3.33|SVC|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|11.81|SVC|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|C: 0.0008, break_ties: False, cache_size: 200, class_weight: None, coef0: 0.0, decision_function_shape: ovr, degree: 3, gamma: 0.8, kernel: sigmoid, max_iter: 2, probability: False, random_state: 1, shrinking: True, tol: 0.001, verbose: False|SVC|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|73.96|DecisionTree|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|77.15|DecisionTree|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|75.37|DecisionTree|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|77.15|DecisionTree|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|39.74|DecisionTree|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|61.58|DecisionTree|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|75.7|DecisionTree|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|79.53|DecisionTree|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|77.38|DecisionTree|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|79.53|DecisionTree|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|45.17|DecisionTree|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|65.06|DecisionTree|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
