METRICA|VALOR|MODELO|TIPO_DE_DATOS
Precision|51.16|KNeighbors|Prueba
Exhaustividad|63.93|KNeighbors|Prueba
Puntuacion F1|55.3|KNeighbors|Prueba
Exactitud|63.93|KNeighbors|Prueba
Informacion Mutua Normalizada (NMI)|0.53|KNeighbors|Prueba
Indice Kappa de Cohen|-2.86|KNeighbors|Prueba
Precision|66.48|KNeighbors|Entrenamiento
Exhaustividad|72.86|KNeighbors|Entrenamiento
Puntuacion F1|65.9|KNeighbors|Entrenamiento
Exactitud|72.86|KNeighbors|Entrenamiento
Informacion Mutua Normalizada (NMI)|5.07|KNeighbors|Entrenamiento
Indice Kappa de Cohen|16.04|KNeighbors|Entrenamiento
Mejores Hiperparametros|algorithm: auto, leaf_size: 30, metric: euclidean, metric_params: None, n_jobs: None, n_neighbors: 17, p: 2, weights: uniform|KNeighbors|Hiperparametros del modelo
Precision|56.15|SVC|Prueba
Exhaustividad|67.79|SVC|Prueba
Puntuacion F1|55.92|SVC|Prueba
Exactitud|67.79|SVC|Prueba
Informacion Mutua Normalizada (NMI)|0.26|SVC|Prueba
Indice Kappa de Cohen|0.71|SVC|Prueba
Precision|54.45|SVC|Entrenamiento
Exhaustividad|70.34|SVC|Entrenamiento
Puntuacion F1|59.19|SVC|Entrenamiento
Exactitud|70.34|SVC|Entrenamiento
Informacion Mutua Normalizada (NMI)|1.44|SVC|Entrenamiento
Indice Kappa de Cohen|0.2|SVC|Entrenamiento
Mejores Hiperparametros|C: 0.0008, break_ties: False, cache_size: 200, class_weight: None, coef0: 0.0, decision_function_shape: ovr, degree: 3, gamma: 1.05, kernel: rbf, max_iter: 2, probability: False, random_state: 1, shrinking: True, tol: 0.001, verbose: False|SVC|Hiperparametros del modelo
Precision|56.38|DecisionTree|Prueba
Exhaustividad|67.28|DecisionTree|Prueba
Puntuacion F1|57.49|DecisionTree|Prueba
Exactitud|67.28|DecisionTree|Prueba
Informacion Mutua Normalizada (NMI)|0.44|DecisionTree|Prueba
Indice Kappa de Cohen|3.19|DecisionTree|Prueba
Precision|66.0|DecisionTree|Entrenamiento
Exhaustividad|71.99|DecisionTree|Entrenamiento
Puntuacion F1|62.9|DecisionTree|Entrenamiento
Exactitud|71.99|DecisionTree|Entrenamiento
Informacion Mutua Normalizada (NMI)|4.39|DecisionTree|Entrenamiento
Indice Kappa de Cohen|8.68|DecisionTree|Entrenamiento
Mejores Hiperparametros|ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: 6, max_features: 4, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 2, min_samples_split: 5, min_weight_fraction_leaf: 0.0, monotonic_cst: None, random_state: 2, splitter: random|DecisionTree|Hiperparametros del modelo
Precision|50.97|NaiveBayes|Prueba
Exhaustividad|45.13|NaiveBayes|Prueba
Puntuacion F1|47.33|NaiveBayes|Prueba
Exactitud|45.13|NaiveBayes|Prueba
Informacion Mutua Normalizada (NMI)|3.25|NaiveBayes|Prueba
Indice Kappa de Cohen|4.35|NaiveBayes|Prueba
Precision|56.3|NaiveBayes|Entrenamiento
Exhaustividad|49.17|NaiveBayes|Entrenamiento
Puntuacion F1|52.0|NaiveBayes|Entrenamiento
Exactitud|49.17|NaiveBayes|Entrenamiento
Informacion Mutua Normalizada (NMI)|3.79|NaiveBayes|Entrenamiento
Indice Kappa de Cohen|7.96|NaiveBayes|Entrenamiento
No tiene Hiperparametros|No tiene hiperparametros|NaiveBayes|Hiperparametros del modelo
Precision|46.65|LDA|Prueba
Exhaustividad|68.29|LDA|Prueba
Puntuacion F1|55.43|LDA|Prueba
Exactitud|68.29|LDA|Prueba
Informacion Mutua Normalizada (NMI)|3.02|LDA|Prueba
Indice Kappa de Cohen|0.88|LDA|Prueba
Precision|73.76|LDA|Entrenamiento
Exhaustividad|71.13|LDA|Entrenamiento
Puntuacion F1|59.3|LDA|Entrenamiento
Exactitud|71.13|LDA|Entrenamiento
Informacion Mutua Normalizada (NMI)|2.11|LDA|Entrenamiento
Indice Kappa de Cohen|1.13|LDA|Entrenamiento
Mejores Hiperparametros|covariance_estimator: None, n_components: 1, priors: None, shrinkage: auto, solver: lsqr, store_covariance: False, tol: 0.001|LDA|Hiperparametros del modelo
