METRICA|VALOR|MODELO|TIPO_DE_DATOS
Precision|79.95|KNeighbors|Prueba
Exhaustividad|82.98|KNeighbors|Prueba
Puntuacion F1|80.18|KNeighbors|Prueba
Exactitud|82.98|KNeighbors|Prueba
Informacion Mutua Normalizada (NMI)|59.5|KNeighbors|Prueba
Indice Kappa de Cohen|71.57|KNeighbors|Prueba
Precision|85.59|KNeighbors|Entrenamiento
Exhaustividad|85.41|KNeighbors|Entrenamiento
Puntuacion F1|83.32|KNeighbors|Entrenamiento
Exactitud|85.41|KNeighbors|Entrenamiento
Informacion Mutua Normalizada (NMI)|64.45|KNeighbors|Entrenamiento
Indice Kappa de Cohen|76.11|KNeighbors|Entrenamiento
Mejores Hiperparametros|algorithm: auto, leaf_size: 30, metric: manhattan, metric_params: None, n_jobs: None, n_neighbors: 4, p: 2, weights: uniform|KNeighbors|Hiperparametros del modelo
Precision|70.55|SVC|Prueba
Exhaustividad|70.16|SVC|Prueba
Puntuacion F1|68.93|SVC|Prueba
Exactitud|70.16|SVC|Prueba
Informacion Mutua Normalizada (NMI)|31.87|SVC|Prueba
Indice Kappa de Cohen|52.02|SVC|Prueba
Precision|69.01|SVC|Entrenamiento
Exhaustividad|68.83|SVC|Entrenamiento
Puntuacion F1|67.95|SVC|Entrenamiento
Exactitud|68.83|SVC|Entrenamiento
Informacion Mutua Normalizada (NMI)|32.16|SVC|Entrenamiento
Indice Kappa de Cohen|51.87|SVC|Entrenamiento
Mejores Hiperparametros|C: 0.0008, break_ties: False, cache_size: 200, class_weight: None, coef0: 0.0, decision_function_shape: ovr, degree: 3, gamma: 0.8, kernel: linear, max_iter: 2, probability: False, random_state: 1, shrinking: True, tol: 0.001, verbose: False|SVC|Hiperparametros del modelo
Precision|75.92|DecisionTree|Prueba
Exhaustividad|79.95|DecisionTree|Prueba
Puntuacion F1|76.86|DecisionTree|Prueba
Exactitud|79.95|DecisionTree|Prueba
Informacion Mutua Normalizada (NMI)|54.49|DecisionTree|Prueba
Indice Kappa de Cohen|66.51|DecisionTree|Prueba
Precision|80.57|DecisionTree|Entrenamiento
Exhaustividad|81.72|DecisionTree|Entrenamiento
Puntuacion F1|78.37|DecisionTree|Entrenamiento
Exactitud|81.72|DecisionTree|Entrenamiento
Informacion Mutua Normalizada (NMI)|58.45|DecisionTree|Entrenamiento
Indice Kappa de Cohen|69.7|DecisionTree|Entrenamiento
Mejores Hiperparametros|ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: 6, max_features: 4, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 4, min_samples_split: 2, min_weight_fraction_leaf: 0.0, monotonic_cst: None, random_state: 3, splitter: best|DecisionTree|Hiperparametros del modelo
Precision|81.83|NaiveBayes|Prueba
Exhaustividad|73.66|NaiveBayes|Prueba
Puntuacion F1|76.95|NaiveBayes|Prueba
Exactitud|73.66|NaiveBayes|Prueba
Informacion Mutua Normalizada (NMI)|52.85|NaiveBayes|Prueba
Indice Kappa de Cohen|60.64|NaiveBayes|Prueba
Precision|80.32|NaiveBayes|Entrenamiento
Exhaustividad|70.33|NaiveBayes|Entrenamiento
Puntuacion F1|74.33|NaiveBayes|Entrenamiento
Exactitud|70.33|NaiveBayes|Entrenamiento
Informacion Mutua Normalizada (NMI)|50.11|NaiveBayes|Entrenamiento
Indice Kappa de Cohen|57.19|NaiveBayes|Entrenamiento
No tiene Hiperparametros|No tiene hiperparametros|NaiveBayes|Hiperparametros del modelo
Precision|82.02|LDA|Prueba
Exhaustividad|82.05|LDA|Prueba
Puntuacion F1|81.93|LDA|Prueba
Exactitud|82.05|LDA|Prueba
Informacion Mutua Normalizada (NMI)|58.07|LDA|Prueba
Indice Kappa de Cohen|71.19|LDA|Prueba
Precision|79.47|LDA|Entrenamiento
Exhaustividad|80.02|LDA|Entrenamiento
Puntuacion F1|79.5|LDA|Entrenamiento
Exactitud|80.02|LDA|Entrenamiento
Informacion Mutua Normalizada (NMI)|54.19|LDA|Entrenamiento
Indice Kappa de Cohen|68.34|LDA|Entrenamiento
Mejores Hiperparametros|covariance_estimator: None, n_components: 1, priors: None, shrinkage: 0.001, solver: lsqr, store_covariance: False, tol: 0.001|LDA|Hiperparametros del modelo
Precision|82.67|Bagging|Prueba
Exhaustividad|84.85|Bagging|Prueba
Puntuacion F1|82.13|Bagging|Prueba
Exactitud|84.85|Bagging|Prueba
Informacion Mutua Normalizada (NMI)|61.92|Bagging|Prueba
Indice Kappa de Cohen|74.6|Bagging|Prueba
Precision|100.0|Bagging|Entrenamiento
Exhaustividad|100.0|Bagging|Entrenamiento
Puntuacion F1|100.0|Bagging|Entrenamiento
Exactitud|100.0|Bagging|Entrenamiento
Informacion Mutua Normalizada (NMI)|100.0|Bagging|Entrenamiento
Indice Kappa de Cohen|100.0|Bagging|Entrenamiento
Mejores Hiperparametros|bootstrap: True, bootstrap_features: True, estimator: None, max_features: 0.75, max_samples: 0.7, n_estimators: 750, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|Bagging|Hiperparametros del modelo
Precision|80.77|RandomForest|Prueba
Exhaustividad|84.38|RandomForest|Prueba
Puntuacion F1|81.61|RandomForest|Prueba
Exactitud|84.38|RandomForest|Prueba
Informacion Mutua Normalizada (NMI)|60.31|RandomForest|Prueba
Indice Kappa de Cohen|73.87|RandomForest|Prueba
Precision|85.91|RandomForest|Entrenamiento
Exhaustividad|87.91|RandomForest|Entrenamiento
Puntuacion F1|86.0|RandomForest|Entrenamiento
Exactitud|87.91|RandomForest|Entrenamiento
Informacion Mutua Normalizada (NMI)|66.29|RandomForest|Entrenamiento
Indice Kappa de Cohen|80.3|RandomForest|Entrenamiento
Mejores Hiperparametros|bootstrap: True, ccp_alpha: 0.0, class_weight: None, criterion: log_loss, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 7, min_samples_split: 3, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|RandomForest|Hiperparametros del modelo
Precision|83.17|ExtraTrees|Prueba
Exhaustividad|85.08|ExtraTrees|Prueba
Puntuacion F1|82.53|ExtraTrees|Prueba
Exactitud|85.08|ExtraTrees|Prueba
Informacion Mutua Normalizada (NMI)|62.38|ExtraTrees|Prueba
Indice Kappa de Cohen|75.04|ExtraTrees|Prueba
Precision|100.0|ExtraTrees|Entrenamiento
Exhaustividad|100.0|ExtraTrees|Entrenamiento
Puntuacion F1|100.0|ExtraTrees|Entrenamiento
Exactitud|100.0|ExtraTrees|Entrenamiento
Informacion Mutua Normalizada (NMI)|100.0|ExtraTrees|Entrenamiento
Indice Kappa de Cohen|100.0|ExtraTrees|Entrenamiento
Mejores Hiperparametros|bootstrap: False, ccp_alpha: 0.0, class_weight: None, criterion: entropy, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 1, min_samples_split: 3, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|ExtraTrees|Hiperparametros del modelo
Precision|69.88|AdaBoost|Prueba
Exhaustividad|80.65|AdaBoost|Prueba
Puntuacion F1|74.31|AdaBoost|Prueba
Exactitud|80.65|AdaBoost|Prueba
Informacion Mutua Normalizada (NMI)|57.45|AdaBoost|Prueba
Indice Kappa de Cohen|66.79|AdaBoost|Prueba
Precision|65.86|AdaBoost|Entrenamiento
Exhaustividad|78.32|AdaBoost|Entrenamiento
Puntuacion F1|70.85|AdaBoost|Entrenamiento
Exactitud|78.32|AdaBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|57.04|AdaBoost|Entrenamiento
Indice Kappa de Cohen|62.95|AdaBoost|Entrenamiento
Mejores Hiperparametros|algorithm: SAMME.R, estimator: None, learning_rate: 0.0005, n_estimators: 1, random_state: None|AdaBoost|Hiperparametros del modelo
Precision|80.71|GradientBoosting|Prueba
Exhaustividad|83.22|GradientBoosting|Prueba
Puntuacion F1|81.44|GradientBoosting|Prueba
Exactitud|83.22|GradientBoosting|Prueba
Informacion Mutua Normalizada (NMI)|56.83|GradientBoosting|Prueba
Indice Kappa de Cohen|72.3|GradientBoosting|Prueba
Precision|98.36|GradientBoosting|Entrenamiento
Exhaustividad|98.3|GradientBoosting|Entrenamiento
Puntuacion F1|98.27|GradientBoosting|Entrenamiento
