METRICA|VALOR|MODELO|TIPO_DE_DATOS
Precision|49.2|KNeighbors|Prueba
Exhaustividad|58.93|KNeighbors|Prueba
Puntuacion F1|52.43|KNeighbors|Prueba
Exactitud|58.93|KNeighbors|Prueba
Informacion Mutua Normalizada (NMI)|0.42|KNeighbors|Prueba
Indice Kappa de Cohen|0.95|KNeighbors|Prueba
Precision|59.56|KNeighbors|Entrenamiento
Exhaustividad|66.64|KNeighbors|Entrenamiento
Puntuacion F1|60.88|KNeighbors|Entrenamiento
Exactitud|66.64|KNeighbors|Entrenamiento
Informacion Mutua Normalizada (NMI)|5.11|KNeighbors|Entrenamiento
Indice Kappa de Cohen|18.88|KNeighbors|Entrenamiento
Mejores Hiperparametros|algorithm: auto, leaf_size: 30, metric: manhattan, metric_params: None, n_jobs: None, n_neighbors: 12, p: 2, weights: uniform|KNeighbors|Hiperparametros del modelo
Precision|47.25|SVC|Prueba
Exhaustividad|54.25|SVC|Prueba
Puntuacion F1|50.05|SVC|Prueba
Exactitud|54.25|SVC|Prueba
Informacion Mutua Normalizada (NMI)|0.97|SVC|Prueba
Indice Kappa de Cohen|-2.42|SVC|Prueba
Precision|52.85|SVC|Entrenamiento
Exhaustividad|55.79|SVC|Entrenamiento
Puntuacion F1|52.07|SVC|Entrenamiento
Exactitud|55.79|SVC|Entrenamiento
Informacion Mutua Normalizada (NMI)|0.97|SVC|Entrenamiento
Indice Kappa de Cohen|0.69|SVC|Entrenamiento
Mejores Hiperparametros|C: 0.001, break_ties: False, cache_size: 200, class_weight: None, coef0: 0.0, decision_function_shape: ovr, degree: 3, gamma: 0.95, kernel: poly, max_iter: 2, probability: False, random_state: 1, shrinking: True, tol: 0.001, verbose: False|SVC|Hiperparametros del modelo
Precision|47.05|DecisionTree|Prueba
Exhaustividad|61.53|DecisionTree|Prueba
Puntuacion F1|50.56|DecisionTree|Prueba
Exactitud|61.53|DecisionTree|Prueba
Informacion Mutua Normalizada (NMI)|0.28|DecisionTree|Prueba
Indice Kappa de Cohen|-0.99|DecisionTree|Prueba
Precision|62.88|DecisionTree|Entrenamiento
Exhaustividad|65.3|DecisionTree|Entrenamiento
Puntuacion F1|55.91|DecisionTree|Entrenamiento
Exactitud|65.3|DecisionTree|Entrenamiento
Informacion Mutua Normalizada (NMI)|2.96|DecisionTree|Entrenamiento
Indice Kappa de Cohen|8.76|DecisionTree|Entrenamiento
Mejores Hiperparametros|ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: 4, max_features: 6, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 2, min_samples_split: 5, min_weight_fraction_leaf: 0.0, monotonic_cst: None, random_state: 2, splitter: random|DecisionTree|Hiperparametros del modelo
Precision|54.93|NaiveBayes|Prueba
Exhaustividad|59.1|NaiveBayes|Prueba
Puntuacion F1|54.49|NaiveBayes|Prueba
Exactitud|59.1|NaiveBayes|Prueba
Informacion Mutua Normalizada (NMI)|1.15|NaiveBayes|Prueba
Indice Kappa de Cohen|5.76|NaiveBayes|Prueba
Precision|55.31|NaiveBayes|Entrenamiento
Exhaustividad|60.85|NaiveBayes|Entrenamiento
Puntuacion F1|56.66|NaiveBayes|Entrenamiento
Exactitud|60.85|NaiveBayes|Entrenamiento
Informacion Mutua Normalizada (NMI)|2.36|NaiveBayes|Entrenamiento
Indice Kappa de Cohen|9.96|NaiveBayes|Entrenamiento
No tiene Hiperparametros|No tiene hiperparametros|NaiveBayes|Hiperparametros del modelo
Precision|49.94|LDA|Prueba
Exhaustividad|63.43|LDA|Prueba
Puntuacion F1|49.87|LDA|Prueba
Exactitud|63.43|LDA|Prueba
Informacion Mutua Normalizada (NMI)|0.71|LDA|Prueba
Indice Kappa de Cohen|0.17|LDA|Prueba
Precision|55.04|LDA|Entrenamiento
Exhaustividad|64.19|LDA|Entrenamiento
Puntuacion F1|50.33|LDA|Entrenamiento
Exactitud|64.19|LDA|Entrenamiento
Informacion Mutua Normalizada (NMI)|0.06|LDA|Entrenamiento
Indice Kappa de Cohen|0.15|LDA|Entrenamiento
Mejores Hiperparametros|covariance_estimator: None, n_components: 1, priors: None, shrinkage: 0.1, solver: lsqr, store_covariance: False, tol: 0.001|LDA|Hiperparametros del modelo
Precision|52.85|Bagging|Prueba
Exhaustividad|63.08|Bagging|Prueba
Puntuacion F1|53.42|Bagging|Prueba
Exactitud|63.08|Bagging|Prueba
Informacion Mutua Normalizada (NMI)|0.96|Bagging|Prueba
Indice Kappa de Cohen|4.35|Bagging|Prueba
Precision|99.63|Bagging|Entrenamiento
Exhaustividad|99.63|Bagging|Entrenamiento
Puntuacion F1|99.63|Bagging|Entrenamiento
Exactitud|99.63|Bagging|Entrenamiento
Informacion Mutua Normalizada (NMI)|97.24|Bagging|Entrenamiento
Indice Kappa de Cohen|99.26|Bagging|Entrenamiento
Mejores Hiperparametros|bootstrap: True, bootstrap_features: True, estimator: None, max_features: 0.75, max_samples: 0.7, n_estimators: 750, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|Bagging|Hiperparametros del modelo
Precision|49.19|RandomForest|Prueba
Exhaustividad|62.56|RandomForest|Prueba
Puntuacion F1|51.1|RandomForest|Prueba
Exactitud|62.56|RandomForest|Prueba
Informacion Mutua Normalizada (NMI)|0.38|RandomForest|Prueba
Indice Kappa de Cohen|0.59|RandomForest|Prueba
Precision|69.17|RandomForest|Entrenamiento
Exhaustividad|69.39|RandomForest|Entrenamiento
Puntuacion F1|60.88|RandomForest|Entrenamiento
Exactitud|69.39|RandomForest|Entrenamiento
Informacion Mutua Normalizada (NMI)|11.12|RandomForest|Entrenamiento
Indice Kappa de Cohen|19.41|RandomForest|Entrenamiento
Mejores Hiperparametros|bootstrap: True, ccp_alpha: 0.0, class_weight: None, criterion: entropy, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 9, min_samples_split: 20, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|RandomForest|Hiperparametros del modelo
Precision|52.53|ExtraTrees|Prueba
Exhaustividad|63.08|ExtraTrees|Prueba
Puntuacion F1|53.01|ExtraTrees|Prueba
Exactitud|63.08|ExtraTrees|Prueba
Informacion Mutua Normalizada (NMI)|0.83|ExtraTrees|Prueba
Indice Kappa de Cohen|3.73|ExtraTrees|Prueba
Precision|91.39|ExtraTrees|Entrenamiento
Exhaustividad|91.31|ExtraTrees|Entrenamiento
Puntuacion F1|90.23|ExtraTrees|Entrenamiento
Exactitud|91.31|ExtraTrees|Entrenamiento
Informacion Mutua Normalizada (NMI)|66.23|ExtraTrees|Entrenamiento
Indice Kappa de Cohen|81.29|ExtraTrees|Entrenamiento
Mejores Hiperparametros|bootstrap: False, ccp_alpha: 0.0, class_weight: None, criterion: entropy, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 2, min_samples_split: 2, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|ExtraTrees|Hiperparametros del modelo
Precision|40.68|AdaBoost|Prueba
Exhaustividad|63.78|AdaBoost|Prueba
Puntuacion F1|49.67|AdaBoost|Prueba
Exactitud|63.78|AdaBoost|Prueba
