METRICA|VALOR|MODELO|TIPO_DE_DATOS
Error Cuadratico Medio (MSE)|79.76|Bagging|Prueba
Raiz del Error Cuadratico Medio (RMSE)|8.93|Bagging|Prueba
Error Absoluto Medio (MAE)|6.89|Bagging|Prueba
Coeficiente de Determinacion|-0.96|Bagging|Prueba
Coeficiente de Determinacion Ajustado|-1.98|Bagging|Prueba
Error Logaritmico Cuadratico Medio (MSLE)|24.35|Bagging|Prueba
Raiz del Error Logaritmico Cuadratico Medio (RMSLE)|49.34|Bagging|Prueba
Error Cuadratico Medio (MSE)|26.64|Bagging|Entrenamiento
Raiz del Error Cuadratico Medio (RMSE)|5.16|Bagging|Entrenamiento
Error Absoluto Medio (MAE)|3.83|Bagging|Entrenamiento
Coeficiente de Determinacion|68.43|Bagging|Entrenamiento
Coeficiente de Determinacion Ajustado|68.3|Bagging|Entrenamiento
Error Logaritmico Cuadratico Medio (MSLE)|19.57|Bagging|Entrenamiento
Raiz del Error Logaritmico Cuadratico Medio (RMSLE)|44.24|Bagging|Entrenamiento
Mejores Hiperparametros|bootstrap: True, bootstrap_features: True, estimator: None, max_features: 0.75, max_samples: 0.8, n_estimators: 750, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|Bagging|Hiperparametros del modelo
