NUMERO;PROMEDIO_CINCO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NOTA_GRAFOS;PROMEDIO_OCHO;NCC_OCHO;NOTA_LOG_UNO;NOTA_CALIDAD_DOS;NOTA_LENGUA_DOS;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_LOG_DOS;VECES_LOG_DOS;CREDITOS_LOG_DOS;NOTA_DECISION;VECES_DECISION;CREDITOS_DECISION;NOTA_PRODUCCION;VECES_PRODUCCION;CREDITOS_PRODUCCION;NOTA_FINANZAS;VECES_FINANZAS;CREDITOS_FINANZAS;NOTA_GIT;VECES_GIT;CREDITOS_GIT;NOTA_GTH;VECES_GTH;CREDITOS_GTH;NOTA_HISTORIA;VECES_HISTORIA;CREDITOS_HISTORIA;RENDIMIENTO_DIEZ
2;34.0625;30.375;40.0;30.5;41.0;27.0;19;28.5;29.0;0.0;31.714285714285715;1;15;13;2;6;6;0;1;0.0;0;1;31.0;1;2;32.0;2;2;32.0;1;3;30.0;1;2;40.0;1;2;41.0;1;2;0.0;0;2;2
5;30.416666666666668;33.25;40.0;33.2;46.0;34.2;9;40.0;33.0;0.0;33.0;1;15;13;2;6;6;0;1;0.0;0;1;32.0;1;2;40.0;1;2;38.0;1;3;31.0;2;2;31.0;1;2;40.0;1;2;0.0;0;2;2
6;38.333333333333336;36.0625;40.0;35.5;50.0;36.6;9;45.0;39.0;0.0;36.142857142857146;0;13;13;0;6;6;0;1;0.0;0;1;34.0;1;2;42.0;1;2;40.0;1;3;35.0;1;2;37.0;1;2;45.0;1;2;0.0;0;2;2
9;32.857142857142854;34.0;30.0;36.1;45.0;34.583333333333336;11;40.0;38.0;40.0;37.142857142857146;2;17;13;4;6;5;1;1;0.0;0;1;34.5;2;2;42.0;1;2;44.0;1;3;27.5;2;2;45.0;1;2;45.0;1;2;0.0;0;2;2
10;30.625;32.5;30.0;35.5;40.0;34.8;9;32.0;42.0;0.0;33.57142857142857;2;19;13;6;6;5;1;1;0.0;0;1;31.0;1;2;26.0;3;2;46.0;1;3;30.0;2;2;40.0;1;2;39.0;1;2;0.0;0;2;2
11;32.2;33.16666666666667;21.666666666666668;33.9;37.0;31.6;9;38.0;41.0;0.0;32.57142857142857;1;15;13;2;6;5;1;1;0.0;0;1;31.0;1;2;28.5;2;2;37.0;1;3;31.0;1;2;40.0;1;2;42.0;1;2;0.0;0;2;1
12;31.642857142857142;33.0625;30.0;34.9;49.0;27.9;11;28.5;30.0;0.0;32.333333333333336;1;17;13;4;6;5;1;1;0.0;0;1;32.0;1;2;31.0;1;2;42.0;1;3;23.333333333333332;3;2;38.0;1;2;39.0;1;2;0.0;0;2;2
15;40.42857142857143;39.5;40.0;39.0;40.0;41.5;11;45.0;47.0;46.0;37.42857142857143;0;13;13;0;6;6;0;1;0.0;0;1;39.0;1;2;40.0;1;2;40.0;1;3;35.0;1;2;39.0;1;2;49.0;1;2;0.0;0;2;2
16;38.05882352941177;36.64705882352941;30.0;35.4;40.0;31.444444444444446;18;25.666666666666668;41.0;39.0;35.357142857142854;1;15;13;2;6;5;1;1;0.0;0;1;38.0;1;2;23.0;2;2;47.0;1;3;30.0;1;2;43.0;1;2;43.0;1;2;0.0;0;2;2
18;32.4;30.625;30.0;35.0;49.0;30.7;12;34.0;31.0;0.0;33.57142857142857;0;13;13;0;6;6;0;1;0.0;0;1;33.0;1;2;31.0;1;2;42.0;1;3;30.0;1;2;38.0;1;2;40.0;1;2;0.0;0;2;2
20;34.0;34.375;40.0;36.4;40.0;37.4;9;39.0;42.0;0.0;36.42857142857143;0;13;13;0;6;6;0;1;0.0;0;1;38.0;1;2;32.0;1;2;40.0;1;3;35.0;1;2;45.0;1;2;45.0;1;2;0.0;0;2;2
21;31.785714285714285;30.5;30.0;33.4;36.0;30.9;11;23.5;32.0;0.0;35.142857142857146;0;13;13;0;6;6;0;1;0.0;0;1;40.0;1;2;36.0;1;2;40.0;1;3;30.0;1;2;40.0;1;2;40.0;1;2;0.0;0;2;2
23;34.583333333333336;33.875;35.0;33.0;35.0;37.0;9;35.0;38.0;0.0;36.785714285714285;1;15;13;2;6;6;0;1;0.0;0;1;42.0;1;2;31.5;2;2;46.0;1;3;30.0;1;2;40.0;1;2;45.0;1;2;0.0;0;2;2
24;30.208333333333332;25.866666666666667;35.0;27.875;0.0;12.4;6;17.0;14.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;0.0;1;2;0.0;0;2;1
26;30.416666666666668;30.84375;26.25;32.5;41.0;27.8;19;21.0;40.0;0.0;33.857142857142854;0;13;13;0;6;6;0;1;0.0;0;1;35.0;1;2;41.0;1;2;36.0;1;3;30.0;1;2;37.0;1;2;40.0;1;2;0.0;0;2;2
27;32.5;31.0;35.0;29.6;33.0;31.5;9;32.0;30.0;0.0;30.0;1;15;13;2;6;5;1;1;0.0;0;1;32.0;1;2;26.5;2;2;33.0;1;3;35.0;1;2;32.0;1;2;35.0;1;2;0.0;0;2;2
28;33.642857142857146;34.375;45.0;35.8;45.0;38.916666666666664;11;45.0;38.0;41.0;34.642857142857146;1;15;13;2;6;6;0;1;0.0;0;1;36.0;1;2;35.0;2;2;39.0;1;3;30.0;1;2;43.0;1;2;40.0;1;2;0.0;0;2;2
30;37.07142857142857;33.8125;40.0;29.4;27.0;29.4;9;30.0;31.0;0.0;34.42857142857143;2;19;13;6;6;4;2;1;0.0;0;1;41.0;1;2;27.0;2;2;46.0;1;3;25.0;3;2;43.0;1;2;36.0;1;2;0.0;0;2;2
31;37.714285714285715;33.71875;35.0;36.8;38.0;34.5;11;37.0;37.0;44.0;32.785714285714285;1;15;13;2;6;5;1;1;0.0;0;1;37.0;1;2;27.5;2;2;36.0;1;3;30.0;1;2;33.0;1;2;48.0;1;2;0.0;0;2;2
32;31.714285714285715;32.3125;27.5;31.3;31.0;32.666666666666664;11;30.0;37.0;44.0;33.5;1;17;13;4;6;5;1;1;0.0;0;1;39.0;1;2;40.0;1;2;35.0;1;3;25.0;3;2;38.0;1;2;40.0;1;2;0.0;0;2;2
34;26.5;28.875;27.5;32.0;40.0;22.625;17;28.0;26.5;0.0;28.969696969696965;1;14;10;4;5;4;1;2;0.0;0;1;18.333333333333332;3;2;30.0;1;2;0.0;0;3;35.0;1;2;37.0;1;2;39.0;1;2;0.0;0;2;1
35;30.813333333333333;29.25;35.0;32.0;27.0;31.4;11;17.0;42.0;0.0;30.071428571428573;2;19;13;6;6;4;2;1;0.0;0;1;44.0;1;2;31.0;1;2;37.0;1;3;20.0;3;2;22.0;2;2;38.0;1;2;0.0;0;2;2
38;31.25;33.5625;40.0;33.9;35.0;29.5;17;22.5;37.0;0.0;32.57142857142857;1;17;13;4;6;5;1;1;0.0;0;1;31.0;1;2;28.0;3;2;38.0;1;3;30.0;1;2;42.0;1;2;40.0;1;2;0.0;0;2;2
39;36.285714285714285;35.0625;35.0;37.4;41.0;34.6;9;45.0;43.0;0.0;36.07142857142857;0;13;13;0;6;6;0;1;0.0;0;1;38.0;1;2;34.0;1;2;41.0;1;3;30.0;1;2;42.0;1;2;47.0;1;2;0.0;0;2;3
40;34.8125;33.59375;40.0;34.6;36.0;28.7;12;31.0;32.0;0.0;33.57142857142857;1;15;13;2;6;5;1;1;0.0;0;1;36.0;1;2;38.0;1;2;32.0;1;3;28.0;2;2;39.0;1;2;46.0;1;2;0.0;0;2;2
41;32.8;30.15625;35.0;28.4;32.5;33.1;9;35.0;38.0;0.0;35.857142857142854;0;13;13;0;6;6;0;1;0.0;0;1;37.0;1;2;32.0;1;2;46.0;1;3;30.0;1;2;43.0;1;2;40.0;1;2;0.0;0;2;2
44;36.166666666666664;31.1875;30.0;34.1;41.0;32.6;11;32.0;32.5;0.0;33.714285714285715;1;15;13;2;6;5;1;1;0.0;0;1;39.0;1;2;31.0;1;2;42.0;1;3;29.0;2;2;32.0;1;2;42.0;1;2;0.0;0;2;2
45;31.071428571428573;34.9375;35.0;36.0;35.0;32.333333333333336;11;30.0;39.0;40.0;35.42857142857143;2;17;13;4;6;4;2;1;0.0;0;1;28.0;2;2;40.0;1;2;41.0;1;3;28.5;2;2;45.0;1;2;45.0;1;2;0.0;0;2;2
46;35.5;33.5;40.0;34.0;45.0;36.8;9;45.0;44.0;0.0;36.42857142857143;0;13;13;0;6;6;0;1;0.0;0;1;31.0;1;2;40.0;1;2;42.0;1;3;30.0;1;2;46.0;1;2;45.0;1;2;0.0;0;2;2
52;32.59375;31.3125;30.0;36.6;43.0;32.625;14;38.0;35.0;39.0;33.857142857142854;1;15;13;2;6;6;0;1;0.0;0;1;37.0;1;2;31.0;1;2;38.0;1;3;32.0;2;2;39.0;1;2;41.0;1;2;0.0;0;2;2
53;32.5;36.25;45.0;37.9;50.0;34.4;9;40.0;41.0;0.0;36.785714285714285;0;13;13;0;6;6;0;1;0.0;0;1;34.0;1;2;31.0;1;2;43.0;1;3;40.0;1;2;43.0;1;2;45.0;1;2;0.0;0;2;2
54;28.928571428571427;30.875;22.5;33.5;34.0;27.1;15;35.0;30.0;0.0;30.785714285714285;2;21;13;8;6;4;2;1;0.0;0;1;35.0;1;2;25.0;2;2;36.0;1;3;24.5;4;2;39.0;1;2;38.0;1;2;0.0;0;2;1
55;33.857142857142854;31.1875;40.0;35.3;35.0;31.3;9;37.0;32.0;0.0;36.214285714285715;1;17;13;4;6;5;1;1;0.0;0;1;42.0;1;2;42.0;1;2;45.0;1;3;23.0;3;2;39.0;1;2;40.0;1;2;0.0;0;2;2
56;32.57142857142857;32.59375;30.0;33.8;35.0;30.3;9;34.0;31.0;0.0;34.642857142857146;0;13;13;0;6;6;0;1;0.0;0;1;43.0;1;2;38.0;1;2;31.0;1;3;30.0;1;2;46.0;1;2;39.0;1;2;0.0;0;2;2
57;34.42857142857143;34.3125;35.0;39.1;45.0;34.0;9;35.0;43.0;0.0;36.42857142857143;0;13;13;0;6;6;0;1;0.0;0;1;30.0;1;2;40.0;1;2;42.0;1;3;35.0;1;2;42.0;1;2;45.0;1;2;0.0;0;2;2
58;32.642857142857146;33.8125;40.0;34.6;40.0;36.083333333333336;11;35.0;40.0;42.0;34.642857142857146;1;15;13;2;6;5;1;1;0.0;0;1;33.0;1;2;42.0;1;2;38.0;1;3;29.5;2;2;36.0;1;2;45.0;1;2;0.0;0;2;2
60;35.42857142857143;32.0625;30.0;32.0;33.0;32.3;11;25.5;38.0;0.0;32.285714285714285;1;15;13;2;6;5;1;1;0.0;0;1;36.0;1;2;25.5;2;2;35.0;1;3;30.0;1;2;38.0;1;2;44.0;1;2;0.0;0;2;2
61;33.625;30.9375;30.0;33.9;38.0;31.05;12;30.0;34.0;0.0;33.285714285714285;1;15;13;2;6;5;1;1;0.0;0;1;36.0;1;2;30.0;1;2;46.0;1;3;25.0;2;2;35.0;1;2;38.0;1;2;0.0;0;2;1
