NUMERO;PROMEDIO_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_TEXTOS;NOTA_EE_UNO;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;NOTA_MULTIVARIADO;VECES_MULTIVARIADO;CREDITOS_MULTIVARIADO;NOTA_ESTADISTICA_UNO;VECES_ESTADISTICA_UNO;CREDITOS_ESTADISTICA_UNO;NOTA_TERMODINAMICA;VECES_TERMODINAMICA;CREDITOS_TERMODINAMICA;NOTA_TGS;VECES_TGS;CREDITOS_TGS;NOTA_ETICA;VECES_ETICA;CREDITOS_ETICA;NOTA_PORIENTADA;VECES_PORIENTADA;CREDITOS_PORIENTADA;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
2;31.8;6;22.5;30.0;30.0;36.0;31.65625;19;16;5;22.5;30.0;30.0;40.0;32.0;0;15;15;0;6;6;0;1;35.0;1;3;40.0;1;3;0.0;0;3;35.0;1;2;38.0;1;2;40.0;1;3;39.0;1;2;2;30.13888888888889
3;30.833333333333332;5;30.0;23.75;15.0;40.0;26.53846153846154;28;13;2;25.0;20.0;0.0;35.0;0.0;0;11;11;0;4;4;0;1;35.0;1;3;35.0;1;3;0.0;0;3;40.0;1;2;0.0;0;2;30.0;1;3;0.0;0;2;1;15.0625
4;31.153846153846153;5;20.0;40.0;30.0;0.0;33.333333333333336;9;9;3;30.0;0.0;0.0;40.0;0.0;0;3;3;0;1;1;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;40.0;1;3;0.0;0;2;1;0.0
5;36.333333333333336;7;30.0;35.0;35.0;45.0;34.78125;19;16;6;35.0;32.5;35.0;35.0;37.0;1;17;15;2;7;5;2;1;35.0;1;3;45.0;1;3;0.0;0;3;40.0;1;2;40.0;1;2;35.0;1;3;25.0;2;2;2;38.05555555555556
6;35.333333333333336;7;30.0;40.0;40.0;40.0;35.0;16;16;6;30.0;30.0;35.0;40.0;35.0;0;15;15;0;6;6;0;1;35.0;1;3;40.0;1;3;0.0;0;3;40.0;1;2;43.0;1;2;40.0;1;3;50.0;1;2;2;36.55555555555556
7;23.846153846153847;4;15.0;15.0;30.0;0.0;25.714285714285715;6;6;2;0.0;0.0;0.0;30.0;0.0;0;3;3;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;30.0;1;3;0.0;0;2;1;10.0
8;38.07692307692308;6;45.0;30.0;35.0;0.0;36.25;12;12;4;30.0;35.0;0.0;45.0;0.0;0;9;9;0;3;3;0;1;30.0;1;3;40.0;1;3;0.0;0;3;0.0;0;2;0.0;0;2;45.0;1;3;0.0;0;2;1;23.333333333333332
9;38.666666666666664;7;30.0;40.0;40.0;50.0;34.3125;16;16;6;35.0;30.0;35.0;35.0;37.0;0;15;15;0;6;6;0;1;35.0;1;3;45.0;1;3;0.0;0;3;45.0;1;2;43.0;1;2;35.0;1;3;45.0;1;2;2;36.388888888888886
10;33.666666666666664;6;22.5;40.0;35.0;40.0;34.5625;18;16;5;35.0;30.0;28.5;40.0;38.0;0;15;15;0;6;6;0;1;35.0;1;3;30.0;1;3;0.0;0;3;40.0;1;2;44.0;1;2;40.0;1;3;40.0;1;2;2;35.888888888888886
11;32.53333333333333;6;23.75;30.0;35.0;39.0;30.833333333333332;32;16;3;22.5;27.5;28.666666666666668;35.0;38.0;1;16;13;3;6;4;2;2;25.0;2;3;30.0;1;3;0.0;0;3;30.0;1;2;32.0;1;2;35.0;1;3;0.0;0;2;2;31.63888888888889
12;34.2;7;30.0;30.0;35.0;39.0;33.09375;19;16;5;27.5;35.0;30.0;40.0;36.0;0;15;15;0;6;6;0;1;30.0;1;3;35.0;1;3;0.0;0;3;33.0;1;2;40.0;1;2;40.0;1;3;45.0;1;2;2;33.5
14;36.15384615384615;6;30.0;0.0;35.0;45.0;37.5;12;12;4;40.0;30.0;0.0;40.0;0.0;0;6;6;0;2;1;1;2;15.0;1;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;40.0;1;3;0.0;0;2;1;10.0
15;37.93333333333333;7;35.0;35.0;45.0;32.0;39.0625;16;16;6;40.0;30.0;45.0;35.0;50.0;0;15;15;0;6;6;0;1;40.0;1;3;40.0;1;3;0.0;0;3;45.0;1;2;43.0;1;2;35.0;1;3;42.0;1;2;3;43.611111111111114
16;35.4;7;30.0;50.0;35.0;33.0;33.3125;19;16;6;30.0;30.0;30.0;45.0;34.0;1;18;15;3;7;6;1;1;30.0;2;3;35.0;1;3;0.0;0;3;45.0;1;2;43.0;1;2;45.0;1;3;40.0;1;2;2;35.27777777777778
17;26.818181818181817;2;25.0;0.0;0.0;45.0;17.666666666666668;7;5;1;0.0;0.0;0.0;15.0;30.5;0;2;2;0;1;1;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;50.0;1;2;1;0.0
