NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_TERMODINAMICA;NOTA_ECONOMIA_UNO;NOTA_ECUACIONES;NOTA_ESTADISTICA_DOS;NOTA_FISICA_DOS;NOTA_MECANICA;NOTA_PROCESOSQ;NOTA_EE_CUATRO;PROMEDIO_CINCO;CAR_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;NOTA_METODOLOGIA;VECES_METODOLOGIA;CREDITOS_METODOLOGIAS;NOTA_FISICA_TRES;VECES_FISICA_TRES;CREDITOS_FISICA_TRES;NOTA_CONTABILIDAD;VECES_CONTABILIDAD;CREDITOS_CONTABILIDAD;NOTA_PROCESOSM;VECES_PROCESOSM;CREDITOS_PROCESOSM;NOTA_ADMINISTRACION;VECES_ADMINISTRACION;CREDITOS_ADMINISTRACION;NOTA_LENGUA_UNO;VECES_LENGUA_UNO;CREDITOS_LENGUA_UNO;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;RENDIMIENTO_SEIS
2;31.8;36.0;31.65625;22.5;30.0;30.0;32.0;37.93333333333333;6;35.0;0.0;22.5;35.0;30.0;30.0;35.0;27.5;30;34.0625;3;25;15;10;7;6;1;1;35.0;1;1;30.0;3;3;35.0;1;2;40.0;1;3;27.5;2;2;42.5;2;2;45.0;1;2;0.0;0;2;2
3;30.833333333333332;40.0;26.53846153846154;25.0;20.0;0.0;0.0;31.666666666666668;4;35.0;0.0;30.0;15.0;4.0;0.0;0.0;21.25;0;27.916666666666668;1;6;5;1;3;2;1;2;27.5;2;1;0.0;0;3;0.0;0;2;0.0;0;3;30.0;1;2;0.0;0;2;40.0;1;2;0.0;0;2;1
5;36.333333333333336;45.0;34.78125;35.0;32.5;35.0;37.0;37.0;5;35.0;0.0;30.0;40.0;35.0;40.0;35.0;40.0;45;30.416666666666668;0;11;11;0;5;5;0;1;30.0;1;1;35.0;1;3;35.0;1;2;30.0;1;3;35.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;2
6;35.333333333333336;40.0;35.0;30.0;30.0;35.0;35.0;40.733333333333334;6;35.0;0.0;35.0;40.0;35.0;30.0;40.0;35.0;44;38.333333333333336;0;11;11;0;5;5;0;1;35.0;1;1;40.0;1;3;45.0;1;2;45.0;1;3;40.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;2
8;38.07692307692308;0.0;36.25;30.0;35.0;0.0;0.0;34.5;3;30.0;0.0;35.0;0.0;0.0;0.0;0.0;0.0;0;26.25;0;3;3;0;1;1;0;2;0.0;0;1;35.0;1;3;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;1
9;38.666666666666664;50.0;34.3125;35.0;30.0;35.0;37.0;40.733333333333334;6;35.0;0.0;35.0;35.0;35.0;35.0;35.0;40.0;40;32.857142857142854;1;15;13;2;6;6;0;1;40.0;1;1;35.0;1;3;40.0;1;2;30.0;1;3;30.0;1;2;42.5;2;2;0.0;0;2;0.0;0;2;2
10;33.666666666666664;40.0;34.5625;35.0;30.0;28.5;38.0;37.53333333333333;6;35.0;0.0;40.0;30.0;45.0;35.0;30.0;30.0;43;30.625;1;14;11;3;5;4;1;1;35.0;1;1;27.5;2;3;30.0;1;2;40.0;1;3;35.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;2
11;32.53333333333333;39.0;30.833333333333332;22.5;27.5;28.666666666666668;38.0;28.142857142857142;4;25.0;0.0;30.0;28.5;35.0;30.0;30.0;35.0;32;32.2;1;17;15;2;7;7;0;1;35.0;1;1;30.0;1;3;32.5;2;2;31.0;1;3;35.0;1;2;0.0;0;2;35.0;1;2;30.0;1;2;2
12;34.2;39.0;33.09375;27.5;35.0;30.0;36.0;36.733333333333334;6;30.0;0.0;30.0;40.0;30.0;30.0;40.0;25.0;44;31.642857142857142;1;14;13;1;6;5;1;1;25.0;2;1;35.0;1;3;30.0;1;2;33.0;1;3;35.0;1;2;42.0;1;2;0.0;0;2;0.0;0;2;2
14;36.15384615384615;45.0;37.5;40.0;30.0;0.0;0.0;23.571428571428573;1;15.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0;15.0;0;3;3;0;1;0;1;2;0.0;0;1;20.0;1;3;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;1
15;37.93333333333333;32.0;39.0625;40.0;30.0;45.0;50.0;40.333333333333336;6;40.0;0.0;35.0;50.0;50.0;40.0;35.0;45.0;45;40.42857142857143;1;15;13;2;6;6;0;1;40.0;1;1;40.0;1;3;45.0;1;2;45.0;1;3;45.0;1;2;45.5;2;2;0.0;0;2;0.0;0;2;2
16;35.4;33.0;33.3125;30.0;30.0;30.0;34.0;39.06666666666667;6;30.0;0.0;30.0;30.0;30.0;35.0;40.0;40.0;45;38.05882352941177;1;19;17;2;8;8;0;1;30.0;1;1;35.0;1;3;35.0;1;2;40.0;1;3;40.0;1;2;40.0;2;2;45.0;1;2;36.0;1;2;2
18;32.733333333333334;33.0;32.03125;32.5;25.0;30.0;35.0;33.766666666666666;5;27.5;0.0;40.0;30.0;25.0;30.0;32.5;27.5;35;32.4;1;21;15;6;7;6;1;1;35.0;1;1;25.0;3;3;30.0;1;2;30.0;1;3;35.0;1;2;0.0;0;2;40.0;1;2;38.0;1;2;2
19;31.153846153846153;0.0;28.125;30.0;27.5;0.0;0.0;24.25;3;7.0;0.0;40.0;1.6666666666666667;30.0;0.0;0.0;30.0;0;10.285714285714286;4;32;9;23;3;0;3;1;19.0;4;1;10.0;6;3;0.0;0;2;0.0;2;3;11.5;2;2;0.0;0;2;0.0;0;2;0.0;0;2;1
20;37.2;39.0;36.375;30.0;30.0;35.0;46.0;42.2;6;35.0;0.0;40.0;40.0;50.0;40.0;35.0;40.0;45;34.0;0;13;13;0;6;6;0;1;35.0;1;1;30.0;1;3;40.0;1;2;35.0;1;3;35.0;1;2;0.0;0;2;48.0;1;2;0.0;0;2;2
21;33.4;38.0;36.34375;32.5;40.0;30.0;47.0;37.06666666666667;6;30.0;0.0;40.0;35.0;40.0;35.0;30.0;35.0;40;31.785714285714285;0;13;13;0;6;6;0;1;40.0;1;1;30.0;1;3;30.0;1;2;35.0;1;3;35.0;1;2;0.0;0;2;40.0;1;2;0.0;0;2;2
22;41.666666666666664;45.0;40.892857142857146;45.0;40.0;0.0;50.0;38.333333333333336;3;40.0;0.0;35.0;35.0;40.0;0.0;40.0;40.0;0;31.428571428571427;0;6;6;0;3;3;0;1;40.0;1;1;40.0;1;3;30.0;1;2;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;1
23;34.666666666666664;30.0;33.1875;35.0;30.0;30.0;18.0;36.6;6;30.0;0.0;30.0;50.0;40.0;35.0;30.0;40.0;33;34.583333333333336;0;11;11;0;5;5;0;1;40.0;1;1;40.0;1;3;40.0;1;2;35.0;1;3;35.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;2
24;35.333333333333336;35.0;32.3125;30.0;22.5;38.0;33.0;33.15384615384615;3;25.0;0.0;30.0;20.666666666666668;30.0;30.0;35.0;30.0;0;30.208333333333332;3;21;13;8;5;3;2;1;22.5;2;1;25.0;2;3;40.0;1;2;35.0;1;3;40.0;1;2;0.0;0;2;0.0;3;2;0.0;0;2;1
26;33.833333333333336;40.0;30.3125;22.5;22.5;40.0;45.0;34.93333333333333;6;30.0;0.0;35.0;25.0;30.0;25.0;27.5;30.0;45;30.416666666666668;1;12;11;1;5;4;1;1;25.0;2;1;30.0;1;3;44.0;1;2;34.0;1;3;30.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;2
