NUMERO;PROMEDIO_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_LENGUA_UNO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;NOTA_LOG_UNO;VECES_LOG_UNO;CREDITOS_LOG_UNO;NOTA_GOPERACIONES;VECES_GOPERACIONES;CREDITOS_GOPERACIONES;NOTA_CALIDAD_DOS;VECES_CALIDAD_DOS;CREDITOS_CALIDAD_DOS;NOTA_GAMBIENTAL;VECES_GAMBIENTAL;CREDITOS_GAMBIENTAL;NOTA_LENGUA_DOS;VECES_LENGUA_DOS;CREDITOS_LENGUA_DOS;NOTA_CONTEXTO;VECES_CONTEXTO;CREDITOS_CONTEXTO;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_EI_SIETE;VECES_EI_SIETE;CREDITOS_EI_SIETE;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
2;31.65625;30;34.0625;42.5;30.375;40.0;30.5;5;41.0;31.0;30.0;0.0;27.0;3;19;9;10;4;1;3;1;28.5;2;2;25.666666666666668;3;3;29.0;2;2;39;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;31.714285714285715
5;34.78125;45;30.416666666666668;0.0;33.25;40.0;33.2;5;46.0;35.0;35.0;0.0;34.2;0;9;9;0;4;4;0;1;40.0;1;2;36.0;1;3;33.0;1;2;44;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;33.0
6;35.0;44;38.333333333333336;0.0;36.0625;40.0;35.5;5;50.0;35.0;40.0;0.0;36.6;0;9;9;0;4;4;0;1;45.0;1;2;36.0;1;3;39.0;1;2;45;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;36.142857142857146
9;34.3125;40;32.857142857142854;42.5;34.0;30.0;36.1;5;45.0;45.0;35.0;0.0;34.583333333333336;0;11;11;0;5;5;0;1;40.0;1;2;33.0;1;3;38.0;1;2;40;1;2;40.0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;2;37.142857142857146
10;34.5625;43;30.625;0.0;32.5;30.0;35.5;5;40.0;45.0;40.0;0.0;34.8;0;9;9;0;4;4;0;1;32.0;1;2;38.0;1;3;42.0;1;2;43;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;33.57142857142857
11;30.833333333333332;32;32.2;0.0;33.16666666666667;21.666666666666668;33.9;5;37.0;41.0;41.0;0.0;31.6;0;9;9;0;4;4;0;1;38.0;1;2;30.0;1;3;41.0;1;2;34;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;32.57142857142857
12;33.09375;44;31.642857142857142;42.0;33.0625;30.0;34.9;5;49.0;37.0;40.0;0.0;27.9;1;11;9;2;4;3;1;2;28.5;2;2;32.0;1;3;30.0;1;2;33;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;32.333333333333336
15;39.0625;45;40.42857142857143;45.5;39.5;40.0;39.0;5;40.0;45.0;45.0;0.0;41.5;0;11;11;0;5;5;0;1;45.0;1;2;44.0;1;3;47.0;1;2;45;1;2;46.0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;2;37.42857142857143
16;33.3125;45;38.05882352941177;40.0;36.64705882352941;30.0;35.4;5;40.0;40.0;45.0;0.0;31.444444444444446;2;18;11;7;5;3;2;1;25.666666666666668;3;2;26.0;2;3;41.0;1;2;44;1;2;39.0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;2;35.357142857142854
18;32.03125;35;32.4;0.0;30.625;30.0;35.0;5;49.0;35.0;41.0;0.0;30.7;1;12;9;3;4;4;0;1;34.0;1;2;31.0;2;3;31.0;1;2;42;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;33.57142857142857
