CAR_NUEVE,NCC_NUEVE,NCA_NUEVE,NCP_NUEVE,NAC_NUEVE,NAA_NUEVE,NAP_NUEVE,EPA_NUEVE,PROMEDIO_DIEZ,NOTA_EI_TRES,VECES_EI_TRES,CREDITOS_EI_TRES,NOTA_L_TRES,VECES_L_TRES,CREDITOS_L_TRES,NOTA_EE_DOS,VECES_EE_DOS,CREDITOS_EE_DOS,NOTA_EI_CUATRO,VECES_EI_CUATRO,CREDITOS_EI_CUATRO,NOTA_HSE,VECES_HSE,CREDITOS_HSE,NOTA_ADMIN,VECES_ADMIN,CREDITOS_ADMIN,NOTA_PROTELEC,VECES_PROTELEC,CREDITOS_PROTELEC,NOTA_TGUNO,VECES_TGUNO,CREDITOS_TGUNO
0,17,17,0,8,8,0,1,42.9,34,1,3,46,1,2,47,1,2,42,1,3,41,1,1,47,1,2,36,1,2,50,1,2
0,17,17,0,8,8,0,1,43.2,45,1,3,46,1,2,40,1,2,40,1,3,33,1,1,43,1,2,38,1,2,49,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,36.125,34,1,3,44,1,2,42,1,2,39,1,3,38,1,1,32,1,2,33,1,2,37,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,36.66666667,43,1,3,36,1,2,45,1,2,38,1,3,39,1,1,41,1,2,39,1,2,43,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
1,19,17,2,9,8,1,1,39.2,47,1,3,42,1,2,42,1,2,30,1,3,44,1,1,44,1,2,37,1,2,47,2,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,38.6,38,1,3,44,1,2,50,1,2,41,1,3,46,1,1,48,1,2,39,1,2,44,1,2
0,17,17,0,8,8,0,1,44,44,1,3,42,1,2,48,1,2,38,1,3,44,1,1,46,1,2,38,1,2,47,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
1,19,17,2,9,8,1,1,36.375,38,1,3,48,1,2,47,1,2,38,1,3,40,1,1,44,1,2,30,2,2,45,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,22.23076923,36,1,3,44,1,2,43,1,2,39,1,3,46,1,1,42,1,2,35,1,2,39,1,2
0,17,17,0,8,8,0,1,44.5,40,1,3,42,1,2,45,1,2,35,1,3,44,1,1,45,1,2,37,1,2,40,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,32.25,34,1,3,42,1,2,36,1,2,43,1,3,39,1,1,45,1,2,31,1,2,42,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,42.6,30,1,3,32,1,2,50,1,2,42,1,3,33,1,1,49,1,2,34,1,2,37,1,2
0,17,17,0,8,8,0,1,43.4,43,1,3,40,1,2,42,1,2,37,1,3,41,1,1,48,1,2,37,1,2,48,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,15,15,0,7,7,0,1,41.625,41,1,3,38,1,2,0,0,2,30,1,3,42,1,1,41,1,2,31,1,2,41,1,2
0,17,17,0,8,8,0,1,45.9,45,1,3,46,1,2,50,1,2,44,1,3,42,1,1,48,1,2,45,1,2,44,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,37.2,39,1,3,46,1,2,40,1,2,43,1,3,45,1,1,31,1,2,33,1,2,40,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,15,15,0,7,7,0,1,42.125,44,1,3,39,1,2,0,0,2,43,1,3,42,1,1,47,1,2,39,1,2,36,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,40.5,50,1,3,38,1,2,45,1,2,47,1,3,41,1,1,44,1,2,38,1,2,39,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,42.9,47,1,3,37,1,2,50,1,2,39,1,3,39,1,1,45,1,2,35,1,2,39,1,2
0,15,15,0,7,7,0,1,39.8,35,1,3,0,0,2,37,1,2,42,1,3,48,1,1,48,1,2,30,1,2,32,1,2
0,17,17,0,8,8,0,1,36.625,36,1,3,39,1,2,43,1,2,39,1,3,43,1,1,32,1,2,30,1,2,40,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,42,48,1,3,44,1,2,50,1,2,34,1,3,40,1,1,48,1,2,30,1,2,50,1,2
0,17,17,0,8,8,0,1,33.9,46,1,3,44,1,2,50,1,2,50,1,3,47,1,1,50,1,2,38,1,2,45,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,41,34,1,3,37,1,2,43,1,2,38,1,3,48,1,1,40,1,2,35,1,2,50,1,2
1,23,17,6,11,8,3,2,20.61538462,33,1,3,39,1,2,40,1,2,44,1,3,43,1,1,41,1,2,37,4,2,50,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,36.4,39,1,3,42,1,2,50,1,2,43,1,3,45,1,1,50,1,2,35,1,2,45,1,2
0,17,17,0,8,8,0,1,39.6,44,1,3,39,1,2,49,1,2,36,1,3,41,1,1,40,1,2,39,1,2,45,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,46.625,43,1,3,40,1,2,50,1,2,47,1,3,45,1,1,47,1,2,40,1,2,43,1,2
0,17,17,0,8,8,0,1,31.91666667,41,1,3,38,1,2,44,1,2,37,1,3,48,1,1,32,1,2,32,1,2,42,1,2
0,17,17,0,8,8,0,1,41,46,1,3,40,1,2,45,1,2,45,1,3,45,1,1,48,1,2,34,1,2,50,1,2
0,17,17,0,8,8,0,1,34,39,1,3,34,1,2,44,1,2,44,1,3,44,1,1,50,1,2,42,1,2,43,1,2
0,17,17,0,8,8,0,1,41,40,1,3,43,1,2,49,1,2,49,1,3,45,1,1,46,1,2,40,1,2,33,1,2
0,17,17,0,8,8,0,1,31.71428571,40,1,3,38,1,2,50,1,2,40,1,3,40,1,1,45,1,2,38,1,2,49,1,2
1,19,17,2,9,8,1,1,41.25,43,1,3,39,1,2,39,1,2,41,1,3,44,1,1,43,1,2,32,2,2,43,1,2
0,17,17,0,8,8,0,1,43.25,49,1,3,44,1,2,50,1,2,37,1,3,44,1,1,45,1,2,37,1,2,50,1,2
0,15,15,0,7,7,0,1,41.75,47,1,3,41,1,2,0,0,2,41,1,3,43,1,1,50,1,2,42,1,2,47,1,2
0,1,1,0,1,1,0,1,0,0,0,3,0,0,2,0,0,2,0,0,3,45,1,1,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,17,17,0,8,8,0,1,40.6,37,1,3,35,1,2,47,1,2,43,1,3,47,1,1,46,1,2,32,1,2,42,1,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,2
