NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;NOTA_ECONOMIA_DOS;VECES_ECONOMIA_DOS;CREDITOS_ECONOMIA_DOS;NOTA_PLINEAL;VECES_PLINEAL;CREDITOS_PLINEAL;NOTA_DERECHO;VECES_DERECHO;CREDITOS_DERECHO;NOTA_IECONOMICA;VECES_IECONOMICA;CREDITOS_IECONOMICA;NOTA_DISENO;VECES_DISENO;CREDITOS_DISENO;NOTA_METODOS;VECES_METODOS;CREDITOS_METODOS;NOTA_SEGURIDAD;VECES_SEGURIDAD;CREDITOS SEGURIDAD;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;RENDIMIENTO_SIETE;PROMEDIO_SIETE
2;31.8;31.65625;30.0;32.0;37.93333333333333;35.0;30.0;30;34.0625;40.0;27.5;42.5;45.0;0.0;30.375;1;17;15;2;7;7;0;1;30.0;1;2;30.0;1;3;42.0;1;1;40.0;1;2;30.0;1;2;30.0;1;3;32.0;2;2;0;0;2;2;30.5
3;30.833333333333332;26.53846153846154;0.0;0.0;31.666666666666668;35.0;0.0;0;27.916666666666668;0.0;30.0;0.0;40.0;0.0;7.5;0;5;5;0;2;0;2;2;18.0;1;2;0.0;0;3;0.0;0;1;0.0;0;2;0.0;0;2;3.0;1;3;0.0;0;2;0;0;2;1;0.0
5;36.333333333333336;34.78125;35.0;37.0;37.0;35.0;40.0;45;30.416666666666668;30.0;35.0;0.0;0.0;0.0;33.25;1;21;15;6;7;6;1;1;35.0;1;2;25.0;3;3;47.0;1;1;40.0;1;2;45.0;1;2;30.0;1;3;40.0;1;2;0;0;2;2;33.2
6;35.333333333333336;35.0;35.0;35.0;40.733333333333334;35.0;30.0;44;38.333333333333336;45.0;40.0;0.0;0.0;0.0;36.0625;0;15;15;0;7;7;0;1;35.0;1;2;30.0;1;3;47.0;1;1;40.0;1;2;40.0;1;2;40.0;1;3;45.0;1;2;0;0;2;2;35.5
9;38.666666666666664;34.3125;35.0;37.0;40.733333333333334;35.0;35.0;40;32.857142857142854;30.0;30.0;42.5;0.0;0.0;34.0;1;17;15;2;7;7;0;1;40.0;1;2;35.0;1;3;35.0;1;1;30.0;2;2;35.0;1;2;40.0;1;3;37.0;1;2;0;0;2;2;36.1
10;33.666666666666664;34.5625;28.5;38.0;37.53333333333333;35.0;35.0;43;30.625;40.0;35.0;0.0;0.0;0.0;32.5;0;15;15;0;7;7;0;1;35.0;1;2;30.0;1;3;46.0;1;1;30.0;1;2;35.0;1;2;40.0;1;3;32.0;1;2;0;0;2;2;35.5
11;32.53333333333333;30.833333333333332;28.666666666666668;38.0;28.142857142857142;25.0;30.0;32;32.2;31.0;35.0;0.0;35.0;30.0;33.16666666666667;3;26;17;9;8;5;3;1;27.5;2;2;29.5;2;3;37.0;1;1;21.666666666666668;3;2;40.0;1;2;36.0;1;3;36.0;1;2;40;1;2;2;33.9
12;34.2;33.09375;30.0;36.0;36.733333333333334;30.0;30.0;44;31.642857142857142;33.0;35.0;42.0;0.0;0.0;33.0625;1;18;15;3;7;7;0;1;30.0;1;2;30.0;2;3;50.0;1;1;30.0;1;2;40.0;1;2;35.0;1;3;42.0;1;2;0;0;2;2;34.9
15;37.93333333333333;39.0625;45.0;50.0;40.333333333333336;40.0;40.0;45;40.42857142857143;45.0;45.0;45.5;0.0;0.0;39.5;0;15;15;0;7;7;0;1;50.0;1;2;35.0;1;3;45.0;1;1;40.0;1;2;35.0;1;2;50.0;1;3;41.0;1;2;0;0;2;2;39.0
16;35.4;33.3125;30.0;34.0;39.06666666666667;30.0;35.0;45;38.05882352941177;40.0;40.0;40.0;45.0;36.0;36.64705882352941;0;17;17;0;8;8;0;1;35.0;1;2;30.0;1;3;37.0;1;1;30.0;1;2;40.0;1;2;40.0;1;3;40.0;1;2;43;1;2;2;35.4
