iter	RMSE
0	11.9412078
1	11.6342396
2	11.34266717
3	11.07574559
4	10.82421733
5	10.58120992
6	10.36625101
7	10.1478006
8	9.943503857
9	9.743485148
10	9.535500024
11	9.359767252
12	9.186055258
13	9.029264517
14	8.893798443
15	8.74677581
16	8.609087923
17	8.49899481
18	8.356155116
19	8.2338087
20	8.119922363
21	8.012572662
22	7.906125682
23	7.825603712
24	7.73859896
25	7.657648534
26	7.572946523
27	7.497782547
28	7.418892641
29	7.369476889
30	7.308775656
31	7.246310625
32	7.188533763
33	7.140673856
34	7.096183323
35	7.056724209
36	7.011492672
37	6.964649282
38	6.927331151
39	6.889628919
40	6.8501371
41	6.815988238
42	6.788807789
43	6.752403514
44	6.716471776
45	6.687167665
46	6.661611944
47	6.63342962
48	6.608595197
49	6.582877297
50	6.558377376
51	6.534324797
52	6.506628694
53	6.4915686
54	6.470931728
55	6.45512618
56	6.432386175
57	6.412187401
58	6.398091039
59	6.381696627
60	6.363187771
61	6.343166385
62	6.335220303
63	6.31961315
64	6.298649042
65	6.279028863
66	6.258720082
67	6.239559516
68	6.223094045
69	6.203572232
70	6.189897918
71	6.173930798
72	6.164456736
73	6.151849832
74	6.140752076
75	6.126275289
76	6.109936888
77	6.095625327
78	6.08799798
79	6.071132886
80	6.062401642
81	6.05457991
82	6.0474804
83	6.03651736
84	6.032179593
85	6.016790081
86	6.007582916
87	6.00242137
88	5.993221589
89	5.987560851
90	5.977547457
91	5.970651056
92	5.964531576
93	5.955906054
94	5.952440815
95	5.945415647
96	5.938846202
97	5.922793326
98	5.910403571
99	5.898454609
100	5.893001656
101	5.888017891
102	5.881665643
103	5.875939488
104	5.867921116
105	5.864230769
106	5.860897833
107	5.850269557
108	5.842082945
109	5.833994297
110	5.82884162
111	5.823125585
112	5.81251543
113	5.807630337
114	5.804743503
115	5.798879486
116	5.786081472
117	5.772800605
118	5.76551548
119	5.754432292
120	5.750651441
121	5.743284787
122	5.737926373
123	5.731426483
124	5.723244686
125	5.718617424
126	5.711212965
127	5.705498315
128	5.696818958
129	5.687635129
130	5.68573005
131	5.680078853
132	5.669421164
133	5.65886386
134	5.655959208
135	5.644498924
136	5.635884139
137	5.629335732
138	5.621828343
139	5.616541271
140	5.613907589
141	5.605866619
142	5.600361705
143	5.597521147
144	5.595349285
145	5.592172319
146	5.587931001
147	5.585062598
148	5.58147981
149	5.574872805
150	5.567246944
151	5.560998725
152	5.550771174
153	5.540905725
154	5.5369038
155	5.532872366
156	5.527570042
157	5.5216642
158	5.518773195
159	5.511947069
160	5.509339834
161	5.499108603
162	5.494734793
163	5.486217663
164	5.48389217
165	5.477935628
166	5.47449445
167	5.467722987
168	5.454884723
169	5.449852165
170	5.443856491
171	5.442631081
172	5.438451371
173	5.437816298
174	5.434212336
175	5.429896494
176	5.427269348
177	5.42440333
178	5.412651251
179	5.408094468
180	5.400548711
181	5.397878579
182	5.386479726
183	5.381659615
184	5.373757206
185	5.366297373
186	5.363356554
187	5.356003867
188	5.34345503
189	5.333734571
190	5.330719884
191	5.328566311
192	5.325280585
193	5.32315958
194	5.314305465
195	5.311387854
196	5.307581544
197	5.306259906
198	5.304123289
199	5.298093207
200	5.292400865
201	5.291264412
202	5.289165096
203	5.284390782
204	5.280164742
205	5.276428469
206	5.273942851
207	5.270110883
208	5.266432536
209	5.261457942
210	5.25737029
211	5.243039089
212	5.234584378
213	5.2335661
214	5.23189762
215	5.230070031
216	5.226398731
217	5.224257155
218	5.217901592
219	5.21727313
220	5.210685574
221	5.205964305
222	5.200969286
223	5.191348796
224	5.186761048
225	5.176379705
226	5.165406869
227	5.163737625
228	5.161865402
229	5.152676095
230	5.145442171
231	5.137107763
232	5.128517433
233	5.124942798
234	5.121800653
235	5.114618349
236	5.111632658
237	5.107997457
238	5.107539089
239	5.100751323
240	5.091932807
241	5.086003077
242	5.083422913
243	5.076839444
244	5.076411617
245	5.073256378
246	5.070941874
247	5.069870529
248	5.062071907
249	5.055649262
250	5.053984477
251	5.04416281
252	5.040637701
253	5.040004519
254	5.038981867
255	5.030679322
256	5.023503082
257	5.013129727
258	5.007761156
259	5.003119686
260	4.99555908
261	4.986405646
262	4.985659649
263	4.981776598
264	4.975662317
265	4.974057738
266	4.972517747
267	4.967206764
268	4.963923429
269	4.962596983
270	4.956706378
271	4.953511907
272	4.948369279
273	4.941864742
274	4.941168419
275	4.931808555
276	4.925085916
277	4.921714543
278	4.910029102
279	4.903266438
280	4.895866678
281	4.89153895
282	4.891245203
283	4.887990948
284	4.887496533
285	4.881821296
286	4.880394998
287	4.875286105
288	4.866555409
289	4.865168215
290	4.86107462
291	4.854358259
292	4.848372761
293	4.847271733
294	4.843272609
295	4.839873532
296	4.836152658
297	4.834533455
298	4.827298556
299	4.822125954
300	4.81845417
301	4.81726189
302	4.816160086
303	4.815123236
304	4.808828133
305	4.803956174
306	4.796489166
307	4.790599434
308	4.789163619
309	4.784582124
310	4.776347753
311	4.775809123
312	4.77357114
313	4.768858259
314	4.766532508
315	4.766226393
316	4.764150614
317	4.761740046
318	4.754297619
319	4.745513089
320	4.74341589
321	4.737957283
322	4.737284178
323	4.731294011
324	4.726030913
325	4.720812083
326	4.715571493
327	4.714129648
328	4.706726788
329	4.705654241
330	4.699709212
331	4.694603206
332	4.690776167
333	4.684312884
334	4.678668396
335	4.673363035
336	4.667753501
337	4.666644358
338	4.665572453
339	4.663705877
340	4.660253704
341	4.65813434
342	4.650276926
343	4.645811892
344	4.635686791
345	4.634061762
346	4.629678376
347	4.624816605
348	4.622840071
349	4.620021604
350	4.613887815
351	4.612598218
352	4.609237611
353	4.608304373
354	4.604887209
355	4.601390928
356	4.600603929
357	4.598414798
358	4.58929866
359	4.58715247
360	4.585653067
361	4.581307155
362	4.57685089
363	4.567416575
364	4.559024097
365	4.557094505
366	4.550533175
367	4.545676544
368	4.544624401
369	4.536420309
370	4.533114403
371	4.525683276
372	4.521650244
373	4.520508564
374	4.514752147
375	4.513710885
376	4.508165688
377	4.502025971
378	4.497776843
379	4.490713597
380	4.488276965
381	4.486553685
382	4.483885341
383	4.481084191
384	4.478447266
385	4.471990154
386	4.466348313
387	4.462253078
388	4.46006927
389	4.453923828
390	4.450060149
391	4.44732361
392	4.442654273
393	4.433364226
394	4.428422305
395	4.423708893
396	4.420628444
397	4.416600617
398	4.415484067
399	4.414717739
400	4.40871737
401	4.407344915
402	4.402782423
403	4.397308247
404	4.393846092
405	4.389057749
406	4.384648119
407	4.379234773
408	4.375275792
409	4.370456049
410	4.361948296
411	4.359315561
412	4.35773568
413	4.352594484
414	4.351946964
415	4.348226748
416	4.341565207
417	4.338083655
418	4.336598426
419	4.332717813
420	4.330353944
421	4.323886107
422	4.320443142
423	4.316452074
424	4.311265795
425	4.306878384
426	4.301704383
427	4.298762747
428	4.296664095
429	4.28883215
430	4.284208717
431	4.277783093
432	4.27036883
433	4.266731273
434	4.2660952
435	4.262356196
436	4.260342192
437	4.252818883
438	4.24603482
439	4.242927014
440	4.239991951
441	4.233988539
442	4.231628078
443	4.228390388
444	4.223403044
445	4.220715051
446	4.21445224
447	4.209719192
448	4.206013795
449	4.201272408
450	4.194740827
451	4.19084136
452	4.187995347
453	4.187114314
454	4.180631707
455	4.172894715
456	4.17010672
457	4.16695877
458	4.164712261
459	4.162128029
460	4.160394346
461	4.156916163
462	4.152862087
463	4.146858658
464	4.14475648
465	4.141302142
466	4.138602386
467	4.135641608
468	4.134863703
469	4.131796128
470	4.127943635
471	4.121466661
472	4.115348393
473	4.113317791
474	4.111601436
475	4.108834087
476	4.106712424
477	4.102700022
478	4.095555621
479	4.090653464
480	4.086881845
481	4.086036632
482	4.080993742
483	4.077171198
484	4.069789523
485	4.068028062
486	4.066070209
487	4.064756494
488	4.062170244
489	4.059719881
490	4.056158517
491	4.052732631
492	4.051556211
493	4.046330116
494	4.040501187
495	4.036070072
496	4.031276543
497	4.028795808
498	4.026279487
499	4.02100413
500	4.018411286
501	4.017910573
502	4.008315942
503	4.004084624
504	3.999922099
505	3.995140933
506	3.992808275
507	3.986603157
508	3.980303162
509	3.977747006
510	3.971476887
511	3.964985207
512	3.961630835
513	3.958395705
514	3.957824676
515	3.955507624
516	3.953243308
517	3.950734005
518	3.946284009
519	3.944525305
520	3.940990712
521	3.937834052
522	3.932241449
523	3.930388884
524	3.922985045
525	3.9200766
526	3.91242641
527	3.909838797
528	3.905422079
529	3.901015918
530	3.894289659
531	3.890838904
532	3.886764566
533	3.881236329
534	3.876698412
535	3.870977411
536	3.868870839
537	3.866360816
538	3.862932512
539	3.855502271
540	3.854388806
541	3.847002477
542	3.839040339
543	3.835565277
544	3.831183315
545	3.827688888
546	3.822763779
547	3.821218618
548	3.816626591
549	3.81410362
550	3.812173749
551	3.807133907
552	3.802244668
553	3.797722282
554	3.796641141
555	3.792015504
556	3.790992737
557	3.788043613
558	3.782968656
559	3.780027274
560	3.777091579
561	3.774123284
562	3.770567225
563	3.76432538
564	3.761412816
565	3.756693688
566	3.751145208
567	3.749460914
568	3.747061464
569	3.745505184
570	3.739945025
571	3.737907211
572	3.733935339
573	3.731153884
574	3.728227754
575	3.724365
576	3.721744523
577	3.715253538
578	3.712612447
579	3.709182516
580	3.707193093
581	3.705603097
582	3.701352059
583	3.698176824
584	3.694660762
585	3.694449696
586	3.690007777
587	3.685107452
588	3.679994622
589	3.674658333
590	3.669921668
591	3.667613016
592	3.66360954
593	3.658973807
594	3.652844781
595	3.649417412
596	3.644284213
597	3.641324243
598	3.638121533
599	3.637096137
600	3.632164705
601	3.628976496
602	3.627373776
603	3.624370404
604	3.621612983
605	3.621322141
606	3.61805006
607	3.615323661
608	3.613011991
609	3.609637466
610	3.607022365
611	3.606632242
612	3.602215212
613	3.599224306
614	3.596130103
615	3.594184563
616	3.592091084
617	3.588739131
618	3.586508529
619	3.583389614
620	3.578031639
621	3.576342925
622	3.571291043
623	3.571016301
624	3.568010626
625	3.565515632
626	3.562032298
627	3.560272786
628	3.558521816
629	3.553610905
630	3.552095713
631	3.54873301
632	3.546153952
633	3.54503845
634	3.541454084
635	3.536278669
636	3.53225954
637	3.528219817
638	3.524383077
639	3.521137469
640	3.517345429
641	3.511604759
642	3.509412736
643	3.505417392
644	3.504042426
645	3.501354492
646	3.501186781
647	3.496721657
648	3.491425581
649	3.490904241
650	3.490555056
651	3.485218946
652	3.481271155
653	3.478755304
654	3.47595934
655	3.474726887
656	3.469786487
657	3.465506194
658	3.462479468
659	3.458240851
660	3.455905626
661	3.454643682
662	3.452387364
663	3.450883952
664	3.448256693
665	3.444092813
666	3.437992029
667	3.435910442
668	3.433084704
669	3.431323057
670	3.428600102
671	3.42147359
672	3.419150642
673	3.414846422
674	3.413524192
675	3.410310649
676	3.409846242
677	3.409401845
678	3.407291998
679	3.403543283
680	3.401828273
681	3.399921816
682	3.398276785
683	3.393759521
684	3.389712234
685	3.386819865
686	3.38259011
687	3.379410766
688	3.378079275
689	3.375566796
690	3.374217279
691	3.368649946
692	3.365412275
693	3.36381831
694	3.361804507
695	3.356901249
696	3.352056749
697	3.347614108
698	3.343694283
699	3.340387686
700	3.338166418
701	3.336505963
702	3.334730254
703	3.333129262
704	3.331507967
705	3.330804711
706	3.329093397
707	3.324575456
708	3.32019125
709	3.315455232
710	3.314260191
711	3.309598359
712	3.307751627
713	3.304684451
714	3.300163548
715	3.297758205
716	3.292881615
717	3.290624671
718	3.288688006
719	3.285789468
720	3.281626175
721	3.279589546
722	3.274836918
723	3.269905007
724	3.266207568
725	3.263517166
726	3.2619542
727	3.260355628
728	3.256916428
729	3.253460991
730	3.251692899
731	3.24825641
732	3.245545004
733	3.244698987
734	3.240963357
735	3.238231622
736	3.236953422
737	3.236329991
738	3.233678644
739	3.232035004
740	3.229616658
741	3.227255918
742	3.222897989
743	3.219596103
744	3.217409875
745	3.214179375
746	3.210456401
747	3.209518549
748	3.206365874
749	3.203709244
750	3.201545737
751	3.200356919
752	3.19702885
753	3.193870286
754	3.193155683
755	3.191730596
756	3.18882285
757	3.184258397
758	3.18354736
759	3.178908333
760	3.175822258
761	3.171523012
762	3.168976152
763	3.165716211
764	3.161513866
765	3.15861152
766	3.156712104
767	3.15444284
768	3.151063238
769	3.148276859
770	3.145770591
771	3.143940638
772	3.141160171
773	3.140129295
774	3.137571223
775	3.137399399
776	3.136767926
777	3.134508902
778	3.133103785
779	3.131274655
780	3.128010699
781	3.126272288
782	3.125361715
783	3.123997295
784	3.118471963
785	3.115051519
786	3.112712844
787	3.111931928
788	3.108923131
789	3.10569067
790	3.104796682
791	3.102747416
792	3.099839336
793	3.097665296
794	3.09599958
795	3.094111666
796	3.09011071
797	3.086063975
798	3.083772269
799	3.080130599
800	3.0767956
801	3.072355681
802	3.070230927
803	3.069283045
804	3.066137774
805	3.063802061
806	3.063310386
807	3.06259958
808	3.061408878
809	3.057505508
810	3.05249818
811	3.048025785
812	3.047867093
813	3.046279506
814	3.045807579
815	3.043855389
816	3.04241959
817	3.038980779
818	3.03674949
819	3.034149785
820	3.032713533
821	3.029477156
822	3.02627303
823	3.026184534
824	3.024248516
825	3.023712461
826	3.020766249
827	3.020526408
828	3.018570662
829	3.015163046
830	3.014722445
831	3.012180845
832	3.008175814
833	3.006401535
834	3.001796155
835	3.000688285
836	2.997806418
837	2.997736956
838	2.994781962
839	2.9899217
840	2.9850513
841	2.984951226
842	2.981802452
843	2.979272315
844	2.979219327
845	2.975801634
846	2.973833147
847	2.971296374
848	2.967652597
849	2.964838145
850	2.963696549
851	2.960362982
852	2.956084378
853	2.955613555
854	2.953147632
855	2.94934322
856	2.945639961
857	2.944779793
858	2.94097864
859	2.938254161
860	2.93533809
861	2.932845213
862	2.929119373
863	2.924882331
864	2.921607953
865	2.919725987
866	2.91670313
867	2.913805969
868	2.911074689
869	2.908654807
870	2.906844487
871	2.903690593
872	2.902508994
873	2.898780005
874	2.894412724
875	2.891240253
876	2.888526912
877	2.885446843
878	2.883058936
879	2.880887659
880	2.878992099
881	2.876246631
882	2.874430444
883	2.872420987
884	2.87040179
885	2.86915173
886	2.866482485
887	2.864799131
888	2.859930397
889	2.856131488
890	2.85571826
891	2.853585839
892	2.852123479
893	2.850986078
894	2.848273324
895	2.847834421
896	2.84401501
897	2.842168863
898	2.837462814
899	2.834043929
900	2.833999075
901	2.833560288
902	2.829885596
903	2.827208515
904	2.824761073
905	2.821987954
906	2.821411702
907	2.819193928
908	2.818489579
909	2.815677675
910	2.814144078
911	2.809978951
912	2.806887565
913	2.805447099
914	2.802221496
915	2.800037846
916	2.798148278
917	2.796653498
918	2.794352689
