iter	Passed	Remaining
0	4	4597
1	8	4140
2	11	3982
3	15	3882
4	19	3841
5	22	3716
6	26	3709
7	29	3623
8	32	3568
9	36	3575
10	39	3540
11	42	3476
12	45	3433
13	48	3406
14	52	3416
15	55	3398
16	58	3364
17	60	3326
18	64	3312
19	67	3312
20	70	3301
21	73	3283
22	77	3281
23	80	3279
24	83	3270
25	86	3256
26	90	3247
27	93	3233
28	96	3224
29	99	3228
30	103	3232
31	106	3222
32	110	3230
33	113	3221
34	116	3219
35	119	3210
36	123	3204
37	126	3203
38	130	3203
39	133	3201
40	136	3201
41	139	3191
42	142	3176
43	146	3173
44	149	3172
45	152	3158
46	155	3144
47	157	3129
48	160	3116
49	163	3113
50	165	3088
51	168	3077
52	171	3063
53	174	3059
54	177	3049
55	180	3047
56	183	3037
57	186	3027
58	189	3016
59	191	3006
60	194	2999
61	197	2991
62	200	2982
63	203	2973
64	206	2965
65	208	2957
66	212	2953
67	215	2950
68	218	2945
69	221	2937
70	223	2927
71	227	2928
72	230	2926
73	233	2921
74	236	2922
75	240	2925
76	244	2926
77	247	2922
78	250	2916
79	253	2909
80	255	2902
81	259	2899
82	262	2897
83	265	2890
84	267	2884
85	270	2878
86	273	2872
87	277	2872
88	280	2868
89	283	2863
90	286	2861
91	289	2860
92	293	2863
93	296	2858
94	299	2854
95	302	2851
96	306	2851
97	309	2850
98	312	2847
99	316	2845
100	319	2846
101	322	2843
102	326	2840
103	329	2835
104	331	2829
105	335	2825
106	338	2821
107	341	2819
108	344	2817
109	347	2814
110	351	2812
111	354	2814
112	358	2813
113	361	2810
114	364	2805
115	367	2800
116	370	2796
117	374	2796
118	377	2793
119	380	2790
120	384	2791
121	388	2796
122	392	2796
123	395	2794
124	398	2791
125	402	2789
126	405	2786
127	408	2785
128	412	2784
129	415	2781
130	419	2782
131	423	2781
132	426	2777
133	428	2771
134	431	2765
135	434	2761
136	437	2758
137	440	2753
138	443	2749
139	447	2745
140	449	2740
141	453	2740
142	456	2734
143	459	2729
144	462	2724
145	464	2719
146	468	2717
147	471	2713
148	474	2709
149	477	2705
150	480	2702
151	483	2700
152	486	2696
153	489	2690
154	492	2685
155	495	2679
156	498	2674
157	501	2670
158	504	2667
159	507	2663
160	510	2660
161	514	2659
162	517	2657
163	520	2653
164	523	2648
165	526	2644
166	529	2639
167	532	2637
168	536	2637
169	539	2632
170	541	2626
171	544	2621
172	547	2617
173	550	2613
174	553	2609
175	556	2605
176	559	2600
177	562	2596
178	565	2593
179	568	2590
180	571	2586
181	574	2582
182	577	2579
183	581	2578
184	584	2576
185	587	2572
186	591	2571
187	594	2567
188	597	2565
189	600	2561
190	603	2557
191	607	2554
192	610	2551
193	613	2550
194	616	2546
195	619	2542
196	622	2538
197	625	2533
198	628	2530
199	631	2527
200	634	2523
201	637	2520
202	641	2518
203	645	2517
204	648	2513
205	651	2510
206	654	2507
207	657	2503
208	660	2501
209	664	2498
210	667	2494
211	670	2490
212	672	2485
213	675	2481
214	678	2478
215	681	2473
216	684	2468
217	686	2463
218	689	2459
219	692	2455
220	695	2452
221	698	2448
222	701	2443
223	704	2439
224	707	2435
225	710	2432
226	713	2428
227	716	2425
228	719	2422
229	722	2418
230	725	2415
231	728	2412
232	731	2408
233	734	2403
234	737	2399
235	739	2395
236	743	2393
237	746	2389
238	749	2385
239	752	2383
240	755	2380
241	759	2377
242	762	2374
243	765	2370
244	767	2366
245	770	2362
246	773	2359
247	776	2354
248	779	2350
249	782	2346
250	785	2342
251	787	2338
252	791	2336
253	794	2333
254	797	2329
255	800	2325
256	803	2321
257	806	2318
258	809	2314
259	811	2310
260	814	2306
261	817	2301
262	819	2297
263	822	2293
264	825	2290
265	828	2285
266	831	2281
267	833	2277
268	836	2273
269	839	2270
270	842	2266
271	845	2263
272	848	2258
273	851	2254
274	854	2251
275	856	2247
276	859	2243
277	862	2239
278	865	2235
279	868	2232
280	870	2228
281	873	2224
282	876	2219
283	878	2215
284	881	2211
285	884	2207
286	887	2204
287	890	2200
288	892	2196
289	895	2191
290	897	2187
291	900	2183
292	903	2180
