PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO
419;65;60;66;75;20;24.175636
425;72;65;55;65;15;24.610598
425;76;60;59;50;9;23.915346
454;79;62;65;83;10;25.997469
523;99;69;78;60;1;25.272896
528;88;69;78;75;19;26.600046
478;78;69;66;69;8;24.101349
505;74;75;72;75;11;27.586409
491;74;66;66;73;9;18.288794
482;75;66;75;66;11;26.526943
498;63;66;93;77;8;26.43414
447;78;60;75;61;7;25.961853
478;78;69;59;58;10;23.86753
466;71;79;61;60;8;23.112963
516;75;66;93;60;4;21.363333
442;63;66;54;50;19;22.709433
484;83;57;75;75;8;26.010796
492;78;69;69;68;8;26.542967
468;72;82;59;67;19;23.917585
525;79;69;93;68;11;25.662733
498;66;86;75;79;13;28.306534
480;66;73;69;55;10;25.771685
496;71;63;72;77;9;27.081213
358;58;53;54;48;8;23.955809
489;72;63;69;75;11;26.483551
488;72;69;78;77;19;24.45347
455;71;76;69;94;11;27.200357
478;68;82;59;68;4;24.09998
491;71;73;82;73;16;27.543789
491;78;63;82;79;8;27.329971
506;78;75;93;85;15;28.671137
477;78;69;78;66;10;26.05002
508;74;66;69;68;4;24.746767
473;83;69;66;59;8;23.830452
490;74;66;66;58;19;21.637274
468;89;69;66;48;9;24.09499
504;88;66;78;61;8;25.757174
428;63;66;54;50;10;22.65227
474;74;69;72;70;12;26.406107
496;79;69;86;52;10;25.498104
486;78;66;66;47;16;20.92453
491;79;73;75;88;20;29.55195
491;78;69;87;73;11;26.053036
518;75;69;86;79;8;26.335838
500;68;73;82;58;18;24.142607
516;79;69;82;89;10;26.8266
494;74;73;75;81;8;26.776793
427;63;57;59;66;8;23.994991
485;68;79;75;88;5;28.834526
474;69;76;69;50;6;23.269112
471;75;76;63;50;7;21.536787
523;88;76;69;88;11;25.8545
489;60;72;66;79;11;24.74849
480;78;63;63;63;14;19.142536
517;82;86;82;62;7;24.265144
480;65;76;66;85;4;24.652952
478;68;73;78;61;8;29.49732
492;98;63;63;62;10;30.583557
464;69;79;75;77;10;29.82135
466;69;75;66;51;4;24.168077
480;69;69;82;55;17;28.592546
472;78;69;64;68;9;23.77203
507;79;60;75;66;10;26.008198
474;98;66;66;65;20;29.570377
492;75;66;72;75;4;27.408361
518;65;75;61;61;9;24.150833
544;89;69;82;71;18;24.223335
475;69;73;71;53;6;23.470463
514;79;63;87;56;10;22.103584
490;66;72;78;65;16;29.301788
475;83;72;66;64;8;24.901045
492;75;63;61;65;10;20.850073
486;82;66;75;69;18;25.32323
504;78;66;86;59;5;23.3894
491;78;60;75;82;1;27.062613
462;75;75;69;71;16;26.613419
492;72;76;69;68;10;22.634459
523;82;72;103;77;16;25.598848
489;63;73;71;85;1;26.765503
475;82;66;72;65;7;25.464771
478;69;69;78;85;16;21.29252
489;71;69;75;81;9;26.58468
475;71;66;75;71;16;24.256876
481;79;60;66;55;5;24.294132
490;79;60;69;64;11;27.005884
466;75;69;61;57;7;24.861635
478;63;73;86;77;1;28.04169
447;77;55;56;62;11;26.418156
439;64;61;66;89;16;24.771173
429;76;55;66;79;14;23.824053
440;79;49;57;64;19;26.922438
429;69;56;68;79;19;25.033909
413;74;59;63;75;8;24.321444
429;62;63;60;57;8;25.16693
425;73;57;53;77;20;25.427025
438;64;61;66;59;8;24.332819
412;67;59;61;63;8;24.30289
421;69;56;55;64;10;24.844942
431;64;58;59;72;9;23.405502
413;74;54;57;55;11;24.512598
415;67;59;59;59;15;23.416529
416;79;52;59;81;3;25.134735
407;60;59;66;46;4;23.70469
410;79;49;61;53;6;22.335028
420;67;54;63;71;15;24.861345
411;70;56;52;58;7;24.961102
405;67;59;61;66;10;27.676357
414;66;54;61;62;18;24.879526
406;69;54;52;77;8;26.370956
398;60;66;54;40;20;18.896667
