iter	MultiClass
0	1.597573445
1	1.59191577
2	1.582528596
3	1.574954029
4	1.566479424
5	1.55805439
6	1.549903894
7	1.542254578
8	1.535812132
9	1.527064914
10	1.520753807
11	1.513355936
12	1.502878008
13	1.499492312
14	1.493113276
15	1.483060356
16	1.475091896
17	1.464915273
18	1.457854146
19	1.451123439
20	1.444942115
21	1.439287891
22	1.432704427
23	1.425593002
24	1.418870042
25	1.411551379
26	1.404540689
27	1.39881651
28	1.392298071
29	1.38607197
30	1.380258463
31	1.37531962
32	1.36773302
33	1.360481502
34	1.353788349
35	1.349148001
36	1.343252251
37	1.337569808
38	1.332393299
39	1.326513865
40	1.321421445
41	1.315495798
42	1.309697689
43	1.301663621
44	1.295105407
45	1.28973599
46	1.283473555
47	1.277788662
48	1.273059023
49	1.266921308
50	1.257594723
51	1.251704329
52	1.243455772
53	1.240214824
54	1.236254944
55	1.230978836
56	1.225672363
57	1.221050599
58	1.215872473
59	1.212785344
60	1.207232018
61	1.204635851
62	1.199197511
63	1.193118125
64	1.188518105
65	1.184441155
66	1.179902062
67	1.175121749
68	1.172045316
69	1.16896237
70	1.164875154
71	1.160401628
72	1.155797466
73	1.151510461
74	1.147420589
75	1.142994916
76	1.13981724
77	1.137262002
78	1.133861711
79	1.128211023
80	1.122867309
81	1.118529655
82	1.114805582
83	1.111687464
84	1.107312216
85	1.104071991
86	1.100193353
87	1.096701451
88	1.094375517
89	1.090800384
90	1.087120992
91	1.083882925
92	1.08156411
93	1.078205938
94	1.074882672
95	1.072208463
96	1.06808871
97	1.064853321
98	1.062276993
99	1.059585648
100	1.056159164
101	1.05274374
102	1.049857543
103	1.046448784
104	1.044041953
105	1.040080437
106	1.036945547
107	1.034616323
108	1.032288977
109	1.028054106
110	1.025147614
111	1.021831402
112	1.018127832
113	1.015189686
114	1.012746511
115	1.009241957
116	1.006599361
117	1.003572079
118	0.9999937897
119	0.9969853444
120	0.9948470517
121	0.9926294353
122	0.9905862625
123	0.9877466606
124	0.9842638661
125	0.9809356042
126	0.9780768787
127	0.9746731704
128	0.9732710029
129	0.9706814108
130	0.9680348473
131	0.9644549559
132	0.9626775021
133	0.9597227252
134	0.9564853352
135	0.954233207
136	0.9518016592
137	0.9490608673
138	0.946993153
139	0.9455474056
140	0.9429966471
141	0.9411270261
142	0.9388740985
143	0.9366491078
144	0.9337796951
145	0.9319877078
146	0.9288690633
147	0.9274592883
148	0.9253251372
149	0.9240615331
150	0.9222789021
151	0.9199401973
152	0.9180048943
153	0.9157965842
154	0.9140321894
155	0.9109403376
156	0.9085865079
157	0.9066865079
158	0.9047915199
159	0.9026782819
160	0.9010874841
161	0.8996614485
162	0.8972032678
163	0.8952124043
164	0.893962918
165	0.8913867716
166	0.8890176479
167	0.8867289017
168	0.8851794063
169	0.8835041489
170	0.8811979946
171	0.8798865673
172	0.8778866044
173	0.8759593091
174	0.8735659343
175	0.8714727792
176	0.8700630551
177	0.8688325219
178	0.866379714
179	0.8646999355
180	0.8633076597
181	0.8615900256
182	0.8607799496
183	0.8590259471
184	0.8575082537
185	0.8554033044
186	0.854547106
187	0.8523080468
188	0.8511769831
189	0.8495414213
190	0.8480583976
191	0.8463577573
192	0.8456256177
193	0.8442094904
194	0.8426523126
195	0.8410033979
196	0.8387096558
197	0.835803261
198	0.834720047
199	0.8331660133
200	0.8319363652
201	0.8305432321
202	0.8289830961
203	0.8273018256
204	0.8259023833
205	0.8241983317
206	0.822677692
207	0.820810307
208	0.8193701797
209	0.8184037956
210	0.8160164635
211	0.8149736715
212	0.8139947258
213	0.8123012335
214	0.8104683805
215	0.8080463815
216	0.8071071887
217	0.8051702949
218	0.803914791
